indice,t_s
0,0.000000
1,0.019397
2,0.043782
3,0.066915
4,0.094309
5,0.117828
6,0.139065
7,0.162258
8,0.183881
9,0.209571
10,0.234295
11,0.255580
12,0.283489
13,0.308426
14,0.338767
15,0.363462
16,0.389408
17,0.416594
18,0.439625
19,0.466389
20,0.494204
21,0.515554
22,0.541735
23,0.570733
24,0.595198
25,0.617991
26,0.642089
27,0.670000
28,0.695394
29,0.717118
30,0.741861
31,0.766375
32,0.796232
33,0.819028
34,0.844564
35,0.869186
36,0.896501
37,0.918891
38,0.943301
39,0.969950
40,0.991660
41,1.019086
42,1.041794
43,1.069521
44,1.095250
45,1.118869
46,1.147494
47,1.174852
48,1.197798
49,1.222503
50,1.245517
51,1.267060
52,1.289627
53,1.316389
54,1.344531
55,1.367069
56,1.396976
57,1.424170
58,1.457174
59,1.487065
60,1.507047
61,1.531034
62,1.558835
63,1.580703
64,1.604971
65,1.630675
66,1.655548
67,1.682774
68,1.709244
69,1.733809
70,1.755940
71,1.781367
72,1.811394
73,1.836886
74,1.865039
75,1.890609
76,1.918562
77,1.943869
78,1.966679
79,1.993122
80,2.016593
81,2.040873
82,2.066548
83,2.093582
84,2.119062
85,2.142910
86,2.169747
87,2.195493
88,2.219138
89,2.241721
90,2.270720
91,2.297183
92,2.322057
93,2.345969
94,2.372858
95,2.400990
96,2.427147
97,2.452814
98,2.479590
99,2.499577
100,2.525158
101,2.549264
102,2.572918
103,2.598321
104,2.622176
105,2.647225
106,2.671329
107,2.700090
108,2.722982
109,2.749970
110,2.776370
111,2.797336
112,2.818780
113,2.842199
114,2.874507
115,2.900514
116,2.927287
117,2.952108
118,2.976527
119,2.998653
120,3.023926
121,3.049752
122,3.076624
123,3.102689
124,3.130606
125,3.154612
126,3.182448
127,3.209244
128,3.235061
129,3.257803
130,3.286447
131,3.308616
132,3.335892
133,3.360523
134,3.384699
135,3.412100
136,3.435589
137,3.460937
138,3.485585
139,3.512286
140,3.535271
141,3.556808
142,3.585831
143,3.609278
144,3.634490
145,3.661407
146,3.685247
147,3.711147
148,3.732745
149,3.756693
150,3.781372
151,3.806980
152,3.833774
153,3.857536
154,3.882192
155,3.906236
156,3.930727
157,3.958207
158,3.984203
159,4.009365
160,4.033474
161,4.059905
162,4.081519
163,4.105138
164,4.128496
165,4.151893
166,4.181497
167,4.207981
168,4.231677
169,4.256273
170,4.284351
171,4.306620
172,4.332620
173,4.359831
174,4.382908
175,4.408084
176,4.436573
177,4.460730
178,4.484627
179,4.507950
180,4.537528
181,4.558293
182,4.585226
183,4.610197
184,4.634512
185,4.660596
186,4.685258
187,4.708700
188,4.734729
189,4.761541
190,4.782549
191,4.812551
192,4.833372
193,4.862003
194,4.884379
195,4.911585
196,4.933980
197,4.963460
198,4.986894
199,5.011931
200,5.033869
201,5.056657
202,5.084512
203,5.107570
204,5.131399
205,5.158718
206,5.188417
207,5.212508
208,5.234768
209,5.259750
210,5.284153
211,5.309123
212,5.336077
213,5.358316
214,5.382481
215,5.411827
216,5.434852
217,5.459897
218,5.484741
219,5.510496
220,5.533404
221,5.561791
222,5.584137
223,5.605620
224,5.633763
225,5.660274
226,5.685565
227,5.711730
228,5.735522
229,5.760923
230,5.785970
231,5.811084
232,5.832791
233,5.859949
234,5.884704
235,5.910388
236,5.935512
237,5.959477
238,5.987142
239,6.010377
240,6.034932
241,6.058015
242,6.085505
243,6.105768
244,6.129093
245,6.153382
246,6.177475
247,6.203202
248,6.227314
249,6.253658
250,6.277037
251,6.300274
252,6.323050
253,6.352740
254,6.375873
255,6.400496
256,6.423143
257,6.447769
258,6.474608
259,6.503630
260,6.527324
261,6.551434
262,6.576129
263,6.600414
264,6.626597
265,6.648908
266,6.673888
267,6.705115
268,6.729492
269,6.756225
270,6.782854
271,6.810042
272,6.832963
273,6.854175
274,6.876545
275,6.899203
276,6.926371
277,6.953061
278,6.980471
279,7.008140
280,7.037551
281,7.060869
282,7.084563
283,7.106959
284,7.135195
285,7.158704
286,7.185033
287,7.212060
288,7.235723
289,7.262279
290,7.287540
291,7.312594
292,7.334120
293,7.357627
294,7.377640
295,7.397115
296,7.419219
297,7.443804
298,7.464562
299,7.485867
300,7.511881
301,7.545400
302,7.580381
303,7.604665
304,7.627823
305,7.652539
306,7.675887
307,7.700921
308,7.727642
309,7.753073
310,7.778120
311,7.807543
312,7.830334
313,7.853864
314,7.874967
315,7.901689
316,7.922916
317,7.946611
318,7.969845
319,7.994421
320,8.018318
321,8.045872
322,8.077050
323,8.103109
324,8.127290
325,8.151834
326,8.174406
327,8.198200
328,8.226065
329,8.253443
330,8.278088
331,8.305174
332,8.329503
333,8.350914
334,8.375601
335,8.397468
336,8.426082
337,8.455115
338,8.478496
339,8.503142
340,8.527395
341,8.551285
342,8.577941
343,8.603494
344,8.626626
345,8.649755
346,8.676917
347,8.703356
348,8.728144
349,8.754273
350,8.779959
351,8.810671
352,8.835355
353,8.858791
354,8.881312
355,8.904656
356,8.926156
357,8.952192
358,8.978550
359,9.006185
360,9.028648
361,9.056621
362,9.087934
363,9.110811
364,9.136997
365,9.158346
366,9.184931
367,9.208375
368,9.238718
369,9.262671
370,9.286427
371,9.311160
372,9.336748
373,9.359175
374,9.384364
375,9.406213
376,9.428375
377,9.454265
378,9.477700
379,9.504720
380,9.528491
381,9.560302
382,9.585586
383,9.611314
384,9.637074
385,9.658747
386,9.683837
387,9.705620
388,9.731624
389,9.760466
390,9.786151
391,9.811756
392,9.839558
393,9.860963
394,9.885695
395,9.908383
396,9.934559
397,9.959979
398,9.982699
399,10.009916
400,10.035622
401,10.063232
402,10.090459
403,10.116497
404,10.140822
405,10.167000
406,10.192959
407,10.215858
408,10.240082
409,10.265685
410,10.295722
411,10.319326
412,10.344609
413,10.373450
414,10.400455
415,10.424501
416,10.452253
417,10.474809
418,10.498053
419,10.522890
420,10.550742
421,10.576115
422,10.606541
423,10.628567
424,10.654470
425,10.679168
426,10.705139
427,10.726163
428,10.749279
