indice,t_s,xc_px,yc_px
0,0.000000,601.733,360.468
1,0.026458,601.983,359.949
2,0.063059,602.356,359.230
3,0.095172,602.710,358.600
4,0.126445,603.076,357.986
5,0.158987,603.481,357.348
6,0.187380,603.854,356.792
7,0.218517,604.284,356.183
8,0.251512,604.763,355.539
9,0.283025,605.242,354.925
10,0.314693,605.745,354.308
11,0.347697,606.292,353.668
12,0.378827,606.829,353.065
13,0.410386,607.393,352.456
14,0.445098,608.036,351.787
15,0.474950,608.609,351.215
16,0.502741,609.158,350.683
17,0.535836,609.830,350.052
18,0.565013,610.440,349.499
19,0.595886,611.102,348.915
20,0.628392,611.817,348.303
21,0.659326,612.515,347.724
22,0.690662,613.238,347.139
23,0.723391,614.011,346.533
24,0.754729,614.768,345.955
25,0.786328,615.546,345.376
26,0.816104,616.292,344.833
27,0.848161,617.111,344.253
28,0.880035,617.939,343.679
29,0.910703,618.749,343.131
30,0.939554,619.523,342.619
31,0.971135,620.381,342.063
32,1.004304,621.296,341.483
33,1.060685,622.879,340.509
34,1.091781,623.767,339.978
35,1.124618,624.715,339.423
36,1.154859,625.598,338.916
37,1.183052,626.427,338.447
38,1.215840,627.401,337.908
39,1.246975,628.333,337.401
40,1.278160,629.273,336.898
41,1.311106,630.274,336.373
42,1.342094,631.221,335.885
43,1.373294,632.180,335.399
44,1.405716,633.181,334.900
45,1.436973,634.151,334.425
46,1.469040,635.149,333.944
47,1.502257,636.186,333.453
48,1.535404,637.224,332.970
49,1.566245,638.191,332.527
50,1.599021,639.220,332.062
51,1.629961,640.192,331.631
52,1.660991,641.167,331.205
53,1.693840,642.198,330.761
54,1.724725,643.166,330.350
55,1.755359,644.125,329.950
56,1.787754,645.135,329.534
57,1.819600,646.126,329.132
58,1.849157,647.042,328.767
59,1.879743,647.986,328.395
60,1.910524,648.931,328.028
61,1.941330,649.871,327.668
62,1.973584,650.850,327.299
63,2.004430,651.779,326.954
64,2.035351,652.704,326.616
65,2.071210,653.767,326.233
66,2.096746,654.518,325.967
67,2.123546,655.299,325.694
68,2.156472,656.249,325.366
69,2.187310,657.130,325.067
70,2.216257,657.947,324.794
71,2.247175,658.810,324.509
72,2.276500,659.618,324.248
73,2.307467,660.460,323.979
74,2.336962,661.250,323.731
75,2.368413,662.081,323.475
76,2.399468,662.888,323.231
77,2.432367,663.728,322.981
78,2.462197,664.476,322.763
79,2.490727,665.178,322.562
80,2.522101,665.936,322.350
81,2.553123,666.671,322.148
82,2.583916,667.384,321.957
83,2.617187,668.136,321.760
84,2.648112,668.818,321.587
85,2.675697,669.413,321.439
86,2.707304,670.076,321.279
87,2.738695,670.717,321.129
88,2.770788,671.353,320.985
89,2.800721,671.929,320.860
90,2.830566,672.484,320.743
91,2.861852,673.048,320.630
92,2.894083,673.608,320.523
93,2.924707,674.120,320.430
94,2.954913,674.605,320.348
95,2.985396,675.076,320.274
96,3.016469,675.535,320.207
97,3.049421,675.998,320.147
98,3.084210,676.461,320.094
99,3.114341,676.840,320.058
100,3.147717,677.236,320.028
101,3.180698,677.602,320.009
102,3.211857,677.924,320.001
103,3.243807,678.231,320.002
104,3.276932,678.524,320.014
105,3.308926,678.783,320.035
106,3.340341,679.013,320.065
107,3.373875,679.232,320.108
108,3.405896,679.415,320.160
109,3.437500,679.572,320.220
110,3.471054,679.712,320.294
111,3.531450,679.895,320.455
112,3.563873,679.956,320.556
113,3.595892,679.990,320.665
114,3.627757,680.000,320.784
115,3.659836,679.984,320.913
116,3.693542,679.940,321.059
117,3.724106,679.876,321.200
118,3.754976,679.788,321.352
119,3.789108,679.663,321.530
120,3.819268,679.530,321.696
121,3.851751,679.361,321.885
122,3.885666,679.157,322.092
123,3.914351,678.963,322.276
124,3.945511,678.730,322.484
125,3.978143,678.461,322.711
126,4.009121,678.183,322.935
127,4.039826,677.884,323.166
128,4.071986,677.548,323.417
129,4.103113,677.199,323.668
130,4.133810,676.834,323.925
131,4.165940,676.429,324.202
132,4.196836,676.017,324.476
133,4.227979,675.581,324.762
134,4.257760,675.144,325.042
135,4.289096,674.663,325.345
136,4.320580,674.159,325.658
137,4.352896,673.620,325.988
138,4.383874,673.083,326.312
139,4.415369,672.516,326.649
140,4.447599,671.916,327.003
141,4.478301,671.326,327.347
142,4.509220,670.712,327.702
