indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.125000
5,0.171875
6,0.203125
7,0.234375
8,0.265625
9,0.296875
10,0.335938
11,0.367188
12,0.398438
13,0.429688
14,0.460938
15,0.492188
16,0.523438
17,0.570312
18,0.601562
19,0.640625
20,0.671875
21,0.703125
22,0.734375
23,0.765625
24,0.796875
25,0.828125
26,0.859375
27,0.890625
28,0.921875
29,0.976562
30,1.007812
31,1.039062
32,1.070312
33,1.101562
34,1.132812
35,1.164062
36,1.195312
37,1.226562
38,1.257812
39,1.289062
40,1.328125
41,1.375000
42,1.406250
43,1.437500
44,1.468750
45,1.500000
46,1.531250
47,1.562500
48,1.593750
49,1.625000
50,1.664062
51,1.695312
52,1.726562
53,1.773438
54,1.804688
55,1.835938
56,1.867188
57,1.898438
58,1.929688
59,1.968750
