indice,t_s
0,0.000000
1,0.046875
2,0.078125
3,0.132812
4,0.179688
5,0.210938
6,0.257812
7,0.289062
8,0.335938
9,0.382812
10,0.414062
11,0.468750
12,0.500000
13,0.546875
14,0.593750
15,0.625000
16,0.671875
17,0.703125
18,0.750000
19,0.804688
20,0.835938
21,0.882812
22,0.914062
23,0.960938
24,1.007812
25,1.039062
26,1.085938
27,1.125000
28,1.171875
29,1.218750
30,1.250000
31,1.296875
32,1.328125
33,1.375000
34,1.421875
35,1.460938
36,1.507812
37,1.539062
38,1.585938
39,1.632812
40,1.664062
41,1.710938
42,1.742188
43,1.796875
44,1.875000
45,1.921875
46,1.953125
47,2.000000
48,2.046875
49,2.078125
50,2.132812
51,2.164062
52,2.210938
53,2.257812
54,2.289062
55,2.335938
56,2.367188
57,2.414062
58,2.468750
59,2.500000
60,2.546875
61,2.578125
62,2.625000
63,2.671875
64,2.703125
65,2.750000
66,2.789062
67,2.835938
68,2.882812
69,2.914062
70,2.960938
71,2.992188
72,3.039062
73,3.085938
74,3.125000
75,3.171875
76,3.203125
77,3.250000
78,3.296875
79,3.328125
80,3.375000
81,3.421875
82,3.460938
83,3.507812
84,3.539062
85,3.585938
86,3.632812
87,3.664062
88,3.710938
89,3.742188
90,3.781250
91,3.812500
92,3.843750
93,3.875000
94,3.906250
95,3.937500
96,3.968750
97,4.000000
98,4.046875
99,4.078125
100,4.117188
101,4.148438
102,4.179688
103,4.210938
104,4.242188
105,4.273438
106,4.304688
107,4.335938
108,4.367188
109,4.398438
110,4.453125
111,4.484375
112,4.515625
113,4.546875
114,4.578125
115,4.609375
116,4.640625
117,4.671875
118,4.703125
119,4.734375
120,4.765625
121,4.804688
122,4.851562
123,4.882812
124,4.914062
125,4.945312
126,4.976562
127,5.007812
128,5.039062
129,5.070312
130,5.109375
131,5.140625
132,5.171875
133,5.203125
134,5.234375
135,5.281250
136,5.312500
137,5.343750
138,5.375000
139,5.406250
140,5.445312
141,5.476562
142,5.507812
143,5.539062
144,5.570312
145,5.601562
146,5.632812
147,5.679688
148,5.710938
149,5.742188
150,5.781250
