indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.171875
5,0.234375
6,0.273438
7,0.304688
8,0.335938
9,0.367188
10,0.398438
11,0.429688
12,0.460938
13,0.492188
14,0.539062
15,0.570312
16,0.609375
17,0.640625
18,0.671875
19,0.703125
20,0.734375
21,0.765625
22,0.796875
23,0.828125
24,0.859375
25,0.890625
26,0.945312
27,0.976562
28,1.007812
29,1.039062
30,1.070312
31,1.101562
32,1.132812
33,1.164062
34,1.195312
35,1.226562
36,1.265625
37,1.296875
38,1.343750
39,1.375000
40,1.406250
41,1.437500
42,1.468750
43,1.500000
44,1.531250
45,1.562500
46,1.601562
47,1.632812
48,1.664062
49,1.695312
50,1.742188
51,1.773438
52,1.804688
53,1.835938
54,1.867188
55,1.898438
56,1.937500
57,1.968750
58,2.000000
59,2.031250
60,2.062500
61,2.093750
62,2.140625
63,2.171875
64,2.203125
65,2.234375
66,2.273438
67,2.304688
68,2.335938
69,2.367188
70,2.398438
71,2.429688
72,2.460938
73,2.492188
74,2.523438
75,2.570312
76,2.609375
77,2.640625
78,2.671875
79,2.703125
80,2.734375
81,2.765625
82,2.796875
83,2.828125
84,2.859375
85,2.890625
86,2.921875
87,2.976562
88,3.007812
