indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.187500
5,0.242188
6,0.273438
7,0.304688
8,0.335938
9,0.367188
10,0.398438
11,0.429688
12,0.460938
13,0.492188
14,0.523438
15,0.562500
16,0.593750
17,0.640625
18,0.671875
19,0.703125
20,0.734375
21,0.765625
22,0.796875
23,0.828125
24,0.859375
25,0.898438
26,0.929688
27,0.960938
28,0.992188
29,1.039062
30,1.070312
31,1.101562
32,1.132812
33,1.164062
34,1.203125
35,1.234375
36,1.265625
37,1.296875
38,1.328125
39,1.359375
40,1.390625
41,1.421875
42,1.468750
43,1.500000
44,1.539062
45,1.570312
46,1.601562
47,1.632812
48,1.664062
49,1.695312
50,1.726562
51,1.757812
52,1.789062
53,1.820312
54,1.875000
55,1.906250
56,1.937500
57,1.968750
58,2.000000
59,2.031250
60,2.062500
61,2.093750
62,2.125000
63,2.156250
64,2.187500
65,2.226562
66,2.273438
67,2.304688
68,2.335938
69,2.367188
70,2.398438
71,2.429688
72,2.460938
73,2.492188
74,2.523438
75,2.562500
76,2.593750
77,2.625000
78,2.671875
79,2.703125
80,2.734375
81,2.765625
82,2.796875
83,2.828125
84,2.859375
85,2.898438
86,2.929688
87,2.960938
88,2.992188
89,3.023438
