indice,t_s
0,0.000000
1,0.046875
2,0.093750
3,0.125000
4,0.179688
5,0.210938
6,0.257812
7,0.304688
8,0.335938
9,0.382812
10,0.414062
11,0.460938
12,0.515625
13,0.546875
14,0.593750
15,0.625000
16,0.671875
17,0.718750
18,0.750000
19,0.796875
20,0.835938
21,0.882812
22,0.929688
23,0.960938
24,1.007812
25,1.039062
26,1.085938
27,1.132812
28,1.171875
29,1.218750
30,1.250000
31,1.296875
32,1.343750
33,1.375000
34,1.421875
35,1.453125
36,1.507812
37,1.554688
38,1.585938
39,1.632812
40,1.664062
41,1.710938
42,1.757812
43,1.789062
44,1.843750
45,1.875000
46,1.921875
47,1.968750
48,2.000000
49,2.046875
50,2.078125
51,2.125000
52,2.179688
53,2.210938
54,2.257812
55,2.289062
56,2.335938
57,2.382812
58,2.414062
59,2.460938
60,2.500000
61,2.546875
62,2.593750
63,2.625000
64,2.671875
65,2.703125
66,2.750000
67,2.796875
68,2.835938
69,2.882812
70,2.914062
71,2.960938
72,3.007812
73,3.039062
74,3.085938
75,3.117188
76,3.171875
77,3.218750
78,3.250000
79,3.296875
80,3.328125
81,3.375000
82,3.421875
83,3.453125
84,3.507812
85,3.539062
86,3.585938
87,3.632812
88,3.664062
89,3.710938
90,3.742188
91,3.789062
92,3.843750
93,3.875000
94,3.921875
95,3.953125
96,4.000000
97,4.046875
98,4.078125
99,4.125000
100,4.164062
101,4.210938
102,4.257812
103,4.289062
104,4.335938
105,4.367188
106,4.414062
107,4.460938
108,4.500000
109,4.546875
110,4.578125
111,4.625000
112,4.671875
113,4.703125
114,4.750000
115,4.781250
116,4.835938
117,4.882812
118,4.914062
119,4.960938
120,4.992188
121,5.039062
122,5.085938
123,5.117188
124,5.171875
125,5.203125
126,5.250000
127,5.296875
128,5.328125
129,5.375000
130,5.421875
131,5.453125
132,5.507812
133,5.539062
134,5.585938
135,5.632812
136,5.664062
137,5.710938
138,5.742188
139,5.789062
140,5.843750
141,5.875000
142,5.921875
143,5.953125
144,6.000000
145,6.046875
146,6.078125
147,6.125000
148,6.164062
149,6.210938
150,6.257812
