indice,t_s
0,0.000000
1,0.039062
2,0.070312
3,0.101562
4,0.132812
5,0.164062
6,0.195312
7,0.226562
8,0.257812
9,0.304688
10,0.335938
11,0.375000
12,0.406250
13,0.437500
14,0.468750
15,0.500000
16,0.531250
17,0.562500
18,0.593750
19,0.625000
20,0.656250
21,0.710938
22,0.742188
23,0.773438
24,0.804688
25,0.835938
26,0.867188
27,0.898438
28,0.929688
29,0.960938
30,0.992188
31,1.031250
32,1.062500
33,1.109375
34,1.140625
35,1.171875
36,1.203125
37,1.234375
38,1.265625
39,1.296875
40,1.328125
41,1.367188
42,1.398438
43,1.429688
44,1.460938
45,1.492188
46,1.539062
47,1.570312
48,1.601562
49,1.632812
50,1.664062
51,1.703125
52,1.734375
53,1.765625
54,1.796875
55,1.828125
56,1.859375
57,1.890625
58,1.937500
59,1.968750
60,2.000000
61,2.039062
62,2.070312
63,2.101562
64,2.132812
65,2.164062
66,2.195312
67,2.226562
68,2.257812
69,2.289062
70,2.343750
71,2.375000
72,2.406250
73,2.437500
74,2.468750
75,2.500000
76,2.531250
77,2.562500
78,2.593750
79,2.625000
80,2.656250
81,2.695312
82,2.742188
83,2.773438
84,2.804688
85,2.835938
86,2.867188
87,2.898438
88,2.929688
89,2.960938
90,2.992188
91,3.031250
