indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.117188
4,0.148438
5,0.210938
6,0.242188
7,0.273438
8,0.304688
9,0.335938
10,0.367188
11,0.398438
12,0.429688
13,0.468750
14,0.500000
15,0.546875
16,0.578125
17,0.609375
18,0.640625
19,0.671875
20,0.703125
21,0.734375
22,0.773438
23,0.804688
24,0.835938
25,0.867188
26,0.898438
27,0.945312
28,0.976562
29,1.007812
30,1.039062
31,1.070312
32,1.109375
33,1.140625
34,1.171875
35,1.203125
36,1.234375
37,1.265625
38,1.296875
39,1.343750
40,1.375000
41,1.406250
42,1.445312
43,1.476562
44,1.507812
45,1.539062
46,1.570312
47,1.601562
48,1.632812
49,1.664062
50,1.695312
51,1.742188
52,1.781250
53,1.812500
54,1.843750
55,1.875000
56,1.906250
57,1.937500
58,1.968750
59,2.000000
60,2.031250
61,2.062500
62,2.093750
63,2.148438
64,2.179688
65,2.210938
66,2.242188
67,2.273438
68,2.304688
69,2.335938
70,2.367188
71,2.398438
72,2.437500
73,2.468750
74,2.500000
75,2.546875
76,2.578125
77,2.609375
78,2.640625
79,2.671875
80,2.703125
81,2.734375
82,2.773438
83,2.804688
84,2.835938
85,2.867188
86,2.898438
87,2.929688
88,2.976562
89,3.007812
