indice,t_s
0,0.000000
1,0.031250
2,0.062500
3,0.093750
4,0.132812
5,0.164062
6,0.210938
7,0.242188
8,0.273438
9,0.304688
10,0.335938
11,0.367188
12,0.398438
13,0.429688
14,0.468750
15,0.500000
16,0.531250
17,0.562500
18,0.609375
19,0.640625
20,0.671875
21,0.703125
22,0.734375
23,0.765625
24,0.804688
25,0.835938
26,0.867188
27,0.898438
28,0.929688
29,0.960938
30,0.992188
31,1.039062
32,1.070312
33,1.101562
34,1.140625
35,1.171875
36,1.203125
37,1.234375
38,1.265625
39,1.296875
40,1.328125
41,1.359375
42,1.390625
43,1.437500
44,1.476562
45,1.507812
46,1.539062
47,1.570312
48,1.601562
49,1.632812
50,1.664062
51,1.695312
52,1.726562
53,1.757812
54,1.796875
55,1.843750
56,1.875000
57,1.906250
58,1.937500
59,1.968750
60,2.000000
61,2.031250
62,2.062500
63,2.093750
64,2.132812
65,2.164062
66,2.195312
67,2.242188
68,2.273438
69,2.304688
70,2.335938
71,2.367188
72,2.398438
73,2.429688
74,2.468750
75,2.500000
76,2.531250
77,2.562500
78,2.593750
79,2.640625
80,2.671875
81,2.703125
82,2.734375
83,2.765625
84,2.804688
85,2.835938
86,2.867188
87,2.898438
88,2.929688
89,2.960938
90,2.992188
91,3.039062
