frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,interpolado
0,0.01256,543.5,63.5,103.847,12.133,25.9012,-8.3969,0
0,0.01256,559.5,63.5,106.904,12.133,27.0490,-7.1506,0
0,0.01256,575.5,63.5,109.961,12.133,27.5968,-6.0031,0
0,0.01256,591.5,63.5,113.018,12.133,28.0615,-4.6996,0
0,0.01256,607.5,63.5,116.075,12.133,28.6179,-3.0833,0
0,0.01256,623.5,63.5,119.132,12.133,28.8988,-1.2089,0
0,0.01256,639.5,63.5,122.190,12.133,28.8949,0.1790,0
0,0.01256,655.5,63.5,125.247,12.133,28.7102,1.6077,0
0,0.01256,671.5,63.5,128.304,12.133,28.1635,3.4437,0
0,0.01256,687.5,63.5,131.361,12.133,27.8028,5.0006,0
0,0.01256,703.5,63.5,134.418,12.133,27.4541,6.1631,0
0,0.01256,719.5,63.5,137.475,12.133,26.4988,7.1274,0
0,0.01256,735.5,63.5,140.532,12.133,26.1196,8.2479,0
0,0.01256,511.5,79.5,97.733,15.190,25.1356,-12.2007,0
0,0.01256,527.5,79.5,100.790,15.190,25.9801,-10.9170,0
0,0.01256,543.5,79.5,103.847,15.190,27.3923,-9.2917,0
0,0.01256,559.5,79.5,106.904,15.190,28.3438,-7.9099,0
0,0.01256,575.5,79.5,109.961,15.190,29.2052,-6.6306,0
0,0.01256,591.5,79.5,113.018,15.190,29.7212,-5.3456,0
0,0.01256,607.5,79.5,116.075,15.190,30.5843,-3.8103,0
0,0.01256,623.5,79.5,119.132,15.190,30.7456,-1.8839,0
0,0.01256,639.5,79.5,122.190,15.190,30.6706,0.0927,0
0,0.01256,655.5,79.5,125.247,15.190,30.3319,1.8373,0
0,0.01256,671.5,79.5,128.304,15.190,30.1311,4.2392,0
0,0.01256,687.5,79.5,131.361,15.190,29.7514,5.8052,0
0,0.01256,703.5,79.5,134.418,15.190,29.1272,6.9918,0
0,0.01256,719.5,79.5,137.475,15.190,28.3103,8.0438,0
0,0.01256,735.5,79.5,140.532,15.190,27.5357,9.3201,0
0,0.01256,751.5,79.5,143.589,15.190,26.6102,10.4284,0
0,0.01256,767.5,79.5,146.647,15.190,25.5729,11.5402,0
0,0.01256,479.5,95.5,91.618,18.247,24.1126,-14.8003,0
0,0.01256,495.5,95.5,94.675,18.247,25.0250,-13.8890,0
0,0.01256,511.5,95.5,97.733,18.247,26.5062,-13.1879,0
0,0.01256,527.5,95.5,100.790,18.247,27.3399,-12.1010,0
0,0.01256,543.5,95.5,103.847,18.247,28.4533,-10.2188,0
0,0.01256,559.5,95.5,106.904,18.247,29.4764,-8.3614,0
0,0.01256,575.5,95.5,109.961,18.247,30.5447,-7.0247,0
0,0.01256,591.5,95.5,113.018,18.247,31.1385,-5.3486,0
0,0.01256,607.5,95.5,116.075,18.247,32.2335,-4.0063,0
0,0.01256,623.5,95.5,119.132,18.247,32.4323,-2.1071,0
0,0.01256,639.5,95.5,122.190,18.247,32.4683,0.2452,0
0,0.01256,655.5,95.5,125.247,18.247,32.2965,2.0620,0
0,0.01256,671.5,95.5,128.304,18.247,32.0655,3.7983,0
0,0.01256,687.5,95.5,131.361,18.247,31.4793,5.7463,0
0,0.01256,703.5,95.5,134.418,18.247,30.7405,7.4896,0
0,0.01256,719.5,95.5,137.475,18.247,29.6861,8.7286,0
0,0.01256,735.5,95.5,140.532,18.247,28.7453,10.3593,0
