frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,interpolado
0,0.01323,543.5,63.5,103.847,12.133,16.4916,-6.5155,0
0,0.01323,559.5,63.5,106.904,12.133,16.5844,-6.1438,0
0,0.01323,575.5,63.5,109.961,12.133,17.2584,-5.3549,0
0,0.01323,591.5,63.5,113.018,12.133,17.6102,-3.6615,0
0,0.01323,607.5,63.5,116.075,12.133,17.0696,-3.3991,0
0,0.01323,623.5,63.5,119.132,12.133,17.3041,-2.7138,0
0,0.01323,639.5,63.5,122.190,12.133,17.7699,-2.0104,0
0,0.01323,655.5,63.5,125.247,12.133,17.3016,-1.2510,0
0,0.01323,671.5,63.5,128.304,12.133,16.9564,-0.3297,0
0,0.01323,687.5,63.5,131.361,12.133,16.2763,0.4506,0
0,0.01323,703.5,63.5,134.418,12.133,15.8367,1.0702,0
0,0.01323,719.5,63.5,137.475,12.133,14.9046,1.3759,0
0,0.01323,735.5,63.5,140.532,12.133,14.3416,1.7741,0
0,0.01323,511.5,79.5,97.733,15.190,16.4006,-8.5175,0
0,0.01323,527.5,79.5,100.790,15.190,16.9599,-7.7195,0
0,0.01323,543.5,79.5,103.847,15.190,17.7089,-7.1110,0
0,0.01323,559.5,79.5,106.904,15.190,17.8761,-6.4052,0
0,0.01323,575.5,79.5,109.961,15.190,18.3876,-5.3534,0
0,0.01323,591.5,79.5,113.018,15.190,18.5609,-4.0829,0
0,0.01323,607.5,79.5,116.075,15.190,18.3025,-3.4653,0
0,0.01323,623.5,79.5,119.132,15.190,18.6410,-2.4242,0
0,0.01323,639.5,79.5,122.190,15.190,19.4281,-1.4043,0
0,0.01323,655.5,79.5,125.247,15.190,18.6928,-0.7958,0
0,0.01323,671.5,79.5,128.304,15.190,17.6045,0.0165,0
0,0.01323,687.5,79.5,131.361,15.190,16.9034,0.6982,0
0,0.01323,703.5,79.5,134.418,15.190,16.5655,1.2930,0
0,0.01323,719.5,79.5,137.475,15.190,15.6370,1.7849,0
0,0.01323,735.5,79.5,140.532,15.190,15.2994,2.4930,0
0,0.01323,751.5,79.5,143.589,15.190,14.3438,3.0860,0
