frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.06061,746.507,364.713,218.5112,106.7557,0,0
1,0.10606,746.507,364.713,218.5112,106.7557,0,0
2,0.16667,746.507,364.713,218.5112,106.7557,0,0
3,0.19697,746.507,364.713,218.5112,106.7557,0,0
4,0.24242,746.507,364.713,218.5112,106.7557,0,0
5,0.27273,746.507,364.713,218.5112,106.7557,0,0
6,0.30303,746.507,364.713,218.5112,106.7557,0,0
7,0.33333,746.507,364.713,218.5112,106.7557,0,0
8,0.36364,746.507,364.713,218.5112,106.7557,0,0
9,0.39394,746.507,364.713,218.5112,106.7557,0,0
10,0.42424,746.507,364.713,218.5112,106.7557,0,0
11,0.46970,746.507,364.713,218.5112,106.7557,0,0
12,0.50000,746.507,364.713,218.5112,106.7557,0,0
13,0.54545,746.507,364.713,218.5112,106.7557,0,0
14,0.57576,746.507,364.713,218.5112,106.7557,0,0
15,0.60606,746.507,364.713,218.5112,106.7557,0,0
16,0.63636,746.507,364.713,218.5112,106.7557,0,0
17,0.66667,746.507,364.713,218.5112,106.7557,0,0
18,0.69697,746.507,364.713,218.5112,106.7557,0,0
19,0.72727,746.507,364.713,218.5112,106.7557,0,0
20,0.75758,746.507,364.713,218.5112,106.7557,0,0
21,0.78788,746.507,364.713,218.5112,106.7557,0,0
22,0.81818,746.507,364.713,218.5112,106.7557,0,0
23,0.86364,746.507,364.713,218.5112,106.7557,0,0
24,0.89394,746.507,364.713,218.5112,106.7557,0,0
25,0.93939,746.507,364.713,218.5112,106.7557,0,0
26,0.96970,746.507,364.713,218.5112,106.7557,0,0
27,1.00000,746.507,364.713,218.5112,106.7557,0,0
28,1.03030,746.507,364.713,218.5112,106.7557,0,0
29,1.06061,746.507,364.713,218.5112,106.7557,0,0
30,1.09091,746.507,364.713,218.5112,106.7557,0,0
31,1.12121,746.507,364.713,218.5112,106.7557,0,0
32,1.15152,746.507,364.713,218.5112,106.7557,0,0
33,1.18182,746.507,364.713,218.5112,106.7557,0,0
34,1.21212,746.507,364.713,218.5112,106.7557,0,0
35,1.25758,746.507,364.713,218.5112,106.7557,0,0
36,1.28788,746.507,364.713,218.5112,106.7557,0,0
37,1.33333,746.507,364.713,218.5112,106.7557,0,0
38,1.36364,746.507,364.713,218.5112,106.7557,0,0
39,1.39394,746.507,364.713,218.5112,106.7557,0,0
40,1.42424,746.507,364.713,218.5112,106.7557,0,0
41,1.45455,746.507,364.713,218.5112,106.7557,0,0
42,1.48485,746.507,364.713,218.5112,106.7557,0,0
43,1.51515,746.507,364.713,218.5112,106.7557,0,0
44,1.54545,746.507,364.713,218.5112,106.7557,0,0
45,1.57576,746.507,364.713,218.5112,106.7557,0,0
46,1.60606,746.507,364.713,218.5112,106.7557,0,0
47,1.65152,746.507,364.713,218.5112,106.7557,0,0
48,1.68182,746.507,364.713,218.5112,106.7557,0,0
49,1.72727,746.507,364.713,218.5112,106.7557,0,0
50,1.75758,746.507,364.713,218.5112,106.7557,0,0
51,1.78788,746.507,364.713,218.5112,106.7557,0,0
52,1.81818,746.507,364.713,218.5112,106.7557,0,0
53,1.84848,746.507,364.713,218.5112,106.7557,0,0
54,1.87879,746.507,364.713,218.5112,106.7557,0,0
55,1.90909,746.507,364.713,218.5112,106.7557,0,0
56,1.93939,746.507,364.713,218.5112,106.7557,0,0
57,1.96970,746.507,364.713,218.5112,106.7557,0,0
