frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03125,687.5,95.5,201.239,27.954,33.1048,-3.3146,1
0,0.03125,703.5,95.5,205.923,27.954,37.6426,-2.6398,1
0,0.03125,719.5,95.5,210.606,27.954,35.7009,-2.1487,1
0,0.03125,735.5,95.5,215.289,27.954,32.9866,-0.1086,1
0,0.03125,751.5,95.5,219.973,27.954,34.2703,4.3193,1
0,0.03125,767.5,95.5,224.656,27.954,nan,nan,0
0,0.03125,783.5,95.5,229.340,27.954,32.9402,2.6175,1
0,0.03125,799.5,95.5,234.023,27.954,28.0749,2.8670,1
0,0.03125,639.5,111.5,187.189,32.637,nan,nan,0
0,0.03125,655.5,111.5,191.873,32.637,nan,nan,0
0,0.03125,671.5,111.5,196.556,32.637,33.8797,-5.6974,1
0,0.03125,687.5,111.5,201.239,32.637,35.5703,-2.9632,1
0,0.03125,703.5,111.5,205.923,32.637,35.6950,0.2391,1
0,0.03125,719.5,111.5,210.606,32.637,34.7291,0.5823,1
0,0.03125,735.5,111.5,215.289,32.637,33.5151,1.6612,1
0,0.03125,751.5,111.5,219.973,32.637,35.1643,3.9816,1
0,0.03125,767.5,111.5,224.656,32.637,33.9640,2.4670,1
0,0.03125,783.5,111.5,229.340,32.637,36.9594,2.8570,1
0,0.03125,799.5,111.5,234.023,32.637,28.5475,6.0741,1
0,0.03125,815.5,111.5,238.706,32.637,26.2820,7.0824,1
0,0.03125,831.5,111.5,243.390,32.637,21.3209,7.6595,1
0,0.03125,847.5,111.5,248.073,32.637,27.8605,6.0474,1
0,0.03125,607.5,127.5,177.822,37.321,27.3924,-17.3684,1
0,0.03125,623.5,127.5,182.506,37.321,29.1718,-16.2401,1
0,0.03125,639.5,127.5,187.189,37.321,29.4444,-12.2175,1
0,0.03125,655.5,127.5,191.873,37.321,31.6941,-8.9990,1
0,0.03125,671.5,127.5,196.556,37.321,33.8146,-7.0396,1
0,0.03125,687.5,127.5,201.239,37.321,36.5979,-2.8543,1
0,0.03125,703.5,127.5,205.923,37.321,36.2213,1.1758,1
0,0.03125,719.5,127.5,210.606,37.321,34.7984,0.5067,1
0,0.03125,735.5,127.5,215.289,37.321,34.0833,0.9673,1
0,0.03125,751.5,127.5,219.973,37.321,34.4526,4.1532,1
0,0.03125,767.5,127.5,224.656,37.321,34.3610,4.2587,1
0,0.03125,783.5,127.5,229.340,37.321,38.9964,7.9149,1
0,0.03125,799.5,127.5,234.023,37.321,32.8770,9.2691,1
0,0.03125,815.5,127.5,238.706,37.321,30.3941,9.4433,1
0,0.03125,831.5,127.5,243.390,37.321,26.8280,9.9417,1
0,0.03125,847.5,127.5,248.073,37.321,28.7313,12.4894,1
0,0.03125,863.5,127.5,252.757,37.321,26.1830,15.2775,1
0,0.03125,879.5,127.5,257.440,37.321,23.8419,16.3130,1
0,0.03125,591.5,143.5,173.139,42.004,nan,nan,0
0,0.03125,607.5,143.5,177.822,42.004,27.0593,-21.2223,1
0,0.03125,623.5,143.5,182.506,42.004,30.7719,-20.1613,1
0,0.03125,639.5,143.5,187.189,42.004,30.7484,-15.6059,1
0,0.03125,655.5,143.5,191.873,42.004,32.3326,-12.7248,1
0,0.03125,671.5,143.5,196.556,42.004,34.4642,-10.2647,1
0,0.03125,687.5,143.5,201.239,42.004,35.1885,-7.9810,1
0,0.03125,703.5,143.5,205.923,42.004,36.6064,-1.4183,1
0,0.03125,719.5,143.5,210.606,42.004,35.8940,-0.5980,1
0,0.03125,735.5,143.5,215.289,42.004,36.6300,0.8224,1
0,0.03125,751.5,143.5,219.973,42.004,38.3142,1.1847,1
0,0.03125,767.5,143.5,224.656,42.004,37.8822,4.5075,1
0,0.03125,783.5,143.5,229.340,42.004,35.7153,7.5473,1
0,0.03125,799.5,143.5,234.023,42.004,38.5412,11.3936,1
0,0.03125,815.5,143.5,238.706,42.004,33.3810,13.2275,1
0,0.03125,831.5,143.5,243.390,42.004,30.3136,13.6430,1
0,0.03125,847.5,143.5,248.073,42.004,33.1627,15.2548,1
0,0.03125,863.5,143.5,252.757,42.004,30.7472,17.5285,1
0,0.03125,879.5,143.5,257.440,42.004,29.8755,17.3359,1
0,0.03125,895.5,143.5,262.123,42.004,17.4353,16.6600,1
0,0.03125,911.5,143.5,266.807,42.004,23.1362,18.9645,1
0,0.03125,575.5,159.5,168.456,46.688,23.9171,-23.8100,1
0,0.03125,591.5,159.5,173.139,46.688,27.1427,-24.6652,1
0,0.03125,607.5,159.5,177.822,46.688,27.9227,-20.1264,1
0,0.03125,623.5,159.5,182.506,46.688,33.8811,-21.5975,1
0,0.03125,639.5,159.5,187.189,46.688,30.6393,-20.8263,1
0,0.03125,655.5,159.5,191.873,46.688,31.8953,-17.8527,1
0,0.03125,671.5,159.5,196.556,46.688,35.6047,-12.9791,1
0,0.03125,687.5,159.5,201.239,46.688,37.4116,-8.1774,1
0,0.03125,703.5,159.5,205.923,46.688,39.4260,-2.2405,1
0,0.03125,719.5,159.5,210.606,46.688,41.5300,0.2384,1
0,0.03125,735.5,159.5,215.289,46.688,41.2873,0.7313,1
0,0.03125,751.5,159.5,219.973,46.688,40.3946,2.6883,1
0,0.03125,767.5,159.5,224.656,46.688,39.3579,5.4644,1
0,0.03125,783.5,159.5,229.340,46.688,35.0839,8.6788,1
0,0.03125,799.5,159.5,234.023,46.688,30.9037,11.0743,1
0,0.03125,815.5,159.5,238.706,46.688,35.0078,12.3830,1
0,0.03125,831.5,159.5,243.390,46.688,33.4140,13.0688,1
0,0.03125,847.5,159.5,248.073,46.688,33.5117,19.8415,1
0,0.03125,863.5,159.5,252.757,46.688,30.3559,16.8685,1
0,0.03125,879.5,159.5,257.440,46.688,29.1961,16.3917,1
0,0.03125,895.5,159.5,262.123,46.688,25.8052,21.7464,1
0,0.03125,911.5,159.5,266.807,46.688,27.1630,20.1427,1
0,0.03125,927.5,159.5,271.490,46.688,20.8024,16.2969,1
0,0.03125,559.5,175.5,163.772,51.371,nan,nan,0
0,0.03125,575.5,175.5,168.456,51.371,25.5820,-25.5846,1
0,0.03125,591.5,175.5,173.139,51.371,25.3322,-24.2020,1
0,0.03125,607.5,175.5,177.822,51.371,28.1927,-22.0512,1
0,0.03125,623.5,175.5,182.506,51.371,31.6930,-20.7174,1
0,0.03125,639.5,175.5,187.189,51.371,nan,nan,0
0,0.03125,655.5,175.5,191.873,51.371,31.5657,-22.9989,1
0,0.03125,671.5,175.5,196.556,51.371,37.7344,-15.9233,1
0,0.03125,687.5,175.5,201.239,51.371,40.4566,-9.3601,1
0,0.03125,703.5,175.5,205.923,51.371,41.8761,-4.4614,1
0,0.03125,719.5,175.5,210.606,51.371,42.0257,-1.7118,1
0,0.03125,735.5,175.5,215.289,51.371,41.3320,1.2628,1
0,0.03125,751.5,175.5,219.973,51.371,39.5892,4.1114,1
0,0.03125,767.5,175.5,224.656,51.371,40.5039,7.4395,1
0,0.03125,783.5,175.5,229.340,51.371,33.5465,10.4587,1
0,0.03125,799.5,175.5,234.023,51.371,31.4685,12.9592,1
0,0.03125,815.5,175.5,238.706,51.371,37.5228,11.7736,1
0,0.03125,831.5,175.5,243.390,51.371,35.4891,12.4293,1
0,0.03125,847.5,175.5,248.073,51.371,34.1765,15.6002,1
0,0.03125,863.5,175.5,252.757,51.371,32.0721,17.5988,1
