frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03322,979.891,562.391,187.6199,107.6812,1,393
1,0.06645,979.309,562.204,187.5085,107.6452,1,385
2,0.09967,978.979,562.380,187.4453,107.6791,1,400
3,0.13290,978.235,562.101,187.3027,107.6255,1,413
4,0.16612,978.077,562.063,187.2725,107.6182,1,402
5,0.19935,977.554,561.767,187.1724,107.5616,1,404
6,0.23257,977.071,561.636,187.0800,107.5365,1,385
7,0.26580,976.826,561.343,187.0331,107.4804,1,391
8,0.29902,976.237,561.148,186.9204,107.4430,1,385
9,0.33225,975.906,560.872,186.8568,107.3903,1,399
10,0.36547,975.602,560.545,186.7987,107.3276,1,385
11,0.39870,974.990,560.395,186.6816,107.2989,1,398
12,0.43192,974.397,560.083,186.5680,107.2391,1,380
13,0.46514,973.997,559.914,186.4913,107.2069,1,387
14,0.49837,973.081,559.501,186.3159,107.1277,1,387
15,0.53159,972.630,559.415,186.2296,107.1114,1,393
16,0.56482,972.100,559.027,186.1281,107.0370,1,393
17,0.59804,971.412,558.845,185.9965,107.0021,1,392
18,0.63127,971.120,558.628,185.9405,106.9607,1,408
19,0.66449,970.691,558.181,185.8583,106.8750,1,395
20,0.69772,970.260,557.646,185.7758,106.7725,1,423
21,0.73094,969.885,557.157,185.7041,106.6790,1,396
22,0.76417,969.584,556.456,185.6464,106.5448,1,385
23,0.79739,968.883,556.076,185.5123,106.4720,1,400
24,0.83061,968.585,555.572,185.4551,106.3755,1,388
25,0.86384,967.917,555.155,185.3272,106.2957,1,392
26,0.89706,967.480,554.639,185.2435,106.1968,1,424
27,0.93029,967.026,554.137,185.1566,106.1007,1,420
28,0.96351,966.649,553.451,185.0844,105.9693,1,412
29,0.99674,966.372,552.978,185.0313,105.8788,1,414
30,1.02996,966.053,552.326,184.9703,105.7539,1,384
31,1.06319,965.539,551.870,184.8719,105.6666,1,404
32,1.09641,965.208,551.100,184.8086,105.5192,1,395
33,1.12964,964.917,550.480,184.7528,105.4005,1,396
34,1.16286,964.711,549.540,184.7134,105.2204,1,392
35,1.19609,964.578,548.903,184.6879,105.0985,1,400
36,1.22931,964.501,547.996,184.6733,104.9249,1,372
37,1.26253,964.142,547.337,184.6044,104.7987,1,414
38,1.29576,964.089,546.447,184.5943,104.6282,1,404
39,1.32898,963.859,545.696,184.5503,104.4846,1,392
40,1.36221,963.773,544.839,184.5337,104.3204,1,406
41,1.39543,963.511,544.073,184.4837,104.1738,1,394
42,1.42866,963.384,543.224,184.4594,104.0112,1,408
43,1.46188,963.105,542.571,184.4059,103.8861,1,384
44,1.49511,962.935,541.628,184.3733,103.7056,1,400
45,1.52833,963.096,541.101,184.4041,103.6047,1,363
46,1.56156,962.676,540.129,184.3237,103.4187,1,416
47,1.59478,963.483,539.355,184.4782,103.2704,1,395
48,1.62801,963.198,538.450,184.4237,103.0972,1,409
49,1.66123,963.742,537.452,184.5278,102.9061,1,384
50,1.69445,963.854,536.374,184.5492,102.6996,1,399
51,1.72768,964.020,535.524,184.5811,102.5369,1,396
52,1.76090,964.065,534.589,184.5898,102.3578,1,400
53,1.79413,964.466,533.659,184.6665,102.1798,1,408
54,1.82735,964.372,533.075,184.6484,102.0679,1,422
55,1.86058,964.730,531.985,184.7171,101.8592,1,408
56,1.89380,965.047,531.217,184.7778,101.7122,1,408
57,1.92703,965.394,530.290,184.8441,101.5347,1,408
58,1.96025,965.840,529.423,184.9295,101.3687,1,410
59,1.99348,966.417,528.534,185.0400,101.1984,1,400
60,2.02670,966.611,527.808,185.0772,101.0596,1,400
61,2.05992,967.477,527.003,185.2430,100.9053,1,404
62,2.09315,967.772,526.191,185.2994,100.7499,1,412
63,2.12637,968.553,525.596,185.4490,100.6359,1,405
64,2.15960,969.009,524.585,185.5364,100.4424,1,412
65,2.19282,969.762,523.959,185.6805,100.3224,1,396
66,2.22605,970.229,522.975,185.7699,100.1341,1,420
67,2.25927,971.378,522.358,185.9899,100.0160,1,392
68,2.29250,971.816,521.475,186.0738,99.8470,1,413
69,2.32572,972.679,521.025,186.2390,99.7607,1,400
70,2.35895,973.340,520.233,186.3657,99.6092,1,396
71,2.39217,973.819,519.923,186.4574,99.5498,1,399
72,2.42540,974.834,519.163,186.6516,99.4042,1,403
73,2.45862,975.433,518.946,186.7664,99.3627,1,392
74,2.49184,976.680,518.263,187.0052,99.2320,1,416
75,2.52507,977.485,517.966,187.1592,99.1750,1,392
76,2.55829,978.397,517.470,187.3339,99.0802,1,400
77,2.59152,979.426,517.192,187.5308,99.0268,1,384
78,2.62474,980.308,516.831,187.6997,98.9577,1,418
79,2.65797,981.219,516.684,187.8741,98.9295,1,428
80,2.69119,982.420,516.399,188.1042,98.8751,1,430
81,2.72442,983.215,516.305,188.2564,98.8571,1,408
82,2.75764,984.303,516.097,188.4647,98.8171,1,400
83,2.79087,985.220,516.074,188.6402,98.8128,1,418
84,2.82409,986.239,515.968,188.8353,98.7924,1,405
85,2.85732,987.243,516.120,189.0276,98.8217,1,404
86,2.89054,988.078,516.222,189.1875,98.8411,1,395
87,2.92376,988.981,516.503,189.3603,98.8949,1,397
88,2.95699,989.819,516.707,189.5208,98.9340,1,418
89,2.99021,990.687,517.029,189.6870,98.9957,1,418
