frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
14,0.56190,879.5,127.5,168.403,24.413,nan,nan,0
14,0.56190,895.5,127.5,171.467,24.413,nan,nan,0
14,0.56190,911.5,127.5,174.530,24.413,17.6207,-1.6101,1
14,0.56190,927.5,127.5,177.594,24.413,17.9434,-0.5940,1
14,0.56190,943.5,127.5,180.658,24.413,15.1576,1.6895,1
14,0.56190,959.5,127.5,183.721,24.413,nan,nan,0
14,0.56190,975.5,127.5,186.785,24.413,17.9373,0.8955,1
14,0.56190,991.5,127.5,189.848,24.413,18.1967,0.6962,1
14,0.56190,1007.5,127.5,192.912,24.413,nan,nan,0
14,0.56190,1023.5,127.5,195.976,24.413,nan,nan,0
14,0.56190,1039.5,127.5,199.039,24.413,nan,nan,0
14,0.56190,1055.5,127.5,202.103,24.413,nan,nan,0
14,0.56190,1071.5,127.5,205.167,24.413,23.0952,0.7564,1
14,0.56190,831.5,143.5,159.212,27.477,nan,nan,0
14,0.56190,847.5,143.5,162.276,27.477,nan,nan,0
14,0.56190,863.5,143.5,165.340,27.477,21.7989,-5.8998,1
14,0.56190,879.5,143.5,168.403,27.477,20.8317,-4.3813,1
14,0.56190,895.5,143.5,171.467,27.477,19.6884,-1.3750,1
14,0.56190,911.5,143.5,174.530,27.477,nan,nan,0
14,0.56190,927.5,143.5,177.594,27.477,21.7510,0.0572,1
14,0.56190,943.5,143.5,180.658,27.477,18.1242,1.5740,1
14,0.56190,959.5,143.5,183.721,27.477,18.4893,0.9857,1
14,0.56190,975.5,143.5,186.785,27.477,19.0280,-0.0613,1
14,0.56190,991.5,143.5,189.848,27.477,18.3068,-0.2014,1
14,0.56190,1007.5,143.5,192.912,27.477,19.3047,-0.3273,1
14,0.56190,1023.5,143.5,195.976,27.477,nan,nan,0
14,0.56190,1039.5,143.5,199.039,27.477,20.3825,-0.3389,1
14,0.56190,1055.5,143.5,202.103,27.477,18.2569,-0.4193,1
14,0.56190,1071.5,143.5,205.167,27.477,20.7051,0.8492,1
14,0.56190,1087.5,143.5,208.230,27.477,21.9633,1.4546,1
14,0.56190,1103.5,143.5,211.294,27.477,nan,nan,0
14,0.56190,1119.5,143.5,214.357,27.477,21.5882,3.0750,1
14,0.56190,799.5,159.5,153.085,30.540,18.9554,-8.5883,1
14,0.56190,815.5,159.5,156.149,30.540,18.3821,-12.1943,1
14,0.56190,831.5,159.5,159.212,30.540,nan,nan,0
