frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03460,1009.007,534.140,193.1947,102.2719,1,421
1,0.06920,1008.779,533.800,193.1512,102.2069,1,450
2,0.10381,1008.213,533.663,193.0428,102.1805,1,464
3,0.13841,1008.415,533.536,193.0814,102.1563,1,456
4,0.17301,1008.109,533.590,193.0227,102.1666,1,449
5,0.20761,1008.758,533.753,193.1471,102.1978,1,464
6,0.24221,1008.729,533.825,193.1415,102.2116,1,440
7,0.27682,1009.325,534.147,193.2556,102.2732,1,445
8,0.31142,1009.378,533.994,193.2658,102.2439,1,447
9,0.34602,1009.290,534.003,193.2489,102.2456,1,429
10,0.38062,1009.227,533.797,193.2369,102.2061,1,452
11,0.41522,1008.797,533.466,193.1545,102.1429,1,457
12,0.44983,1008.553,533.273,193.1079,102.1059,1,452
13,0.48443,1008.226,533.053,193.0452,102.0637,1,451
14,0.51903,1008.015,533.042,193.0048,102.0616,1,441
15,0.55363,1008.183,533.071,193.0369,102.0673,1,461
16,0.58824,1008.413,533.176,193.0810,102.0874,1,449
17,0.62284,1008.829,533.306,193.1607,102.1122,1,464
18,0.65744,1009.198,533.533,193.2313,102.1557,1,456
19,0.69204,1009.611,533.401,193.3104,102.1304,1,443
20,0.72664,1009.568,533.496,193.3021,102.1486,1,464
21,0.76125,1009.632,533.159,193.3144,102.0841,1,443
22,0.79585,1009.257,533.007,193.2426,102.0550,1,470
23,0.83045,1008.996,532.802,193.1926,102.0158,1,460
24,0.86505,1008.598,532.508,193.1164,101.9594,1,448
25,0.89965,1008.566,532.595,193.1104,101.9760,1,459
26,0.93426,1008.554,532.374,193.1080,101.9337,1,459
27,0.96886,1008.593,532.521,193.1154,101.9618,1,439
28,1.00346,1009.044,532.661,193.2019,101.9887,1,457
29,1.03806,1009.189,532.718,193.2296,101.9997,1,454
30,1.07266,1009.582,532.935,193.3048,102.0412,1,464
31,1.10727,1009.779,532.806,193.3425,102.0165,1,460
32,1.14187,1009.732,532.670,193.3336,101.9904,1,460
33,1.17647,1009.620,532.394,193.3120,101.9376,1,454
34,1.21107,1009.607,532.071,193.3097,101.8757,1,432
35,1.24567,1009.232,531.903,193.2378,101.8436,1,451
36,1.28028,1009.196,531.668,193.2310,101.7985,1,456
37,1.31488,1009.148,531.611,193.2218,101.7876,1,450
38,1.34948,1009.040,531.621,193.2012,101.7896,1,462
39,1.38408,1009.511,531.754,193.2913,101.8151,1,427
40,1.41869,1009.710,531.933,193.3293,101.8493,1,458
41,1.45329,1010.019,531.985,193.3886,101.8592,1,448
42,1.47059,1010.172,532.029,193.4178,101.8676,1,465
43,1.52249,1010.107,531.829,193.4053,101.8293,1,463
44,1.59170,1009.812,531.386,193.3488,101.7445,1,464
45,1.62630,1010.034,531.231,193.3913,101.7150,1,456
46,1.66090,1009.425,530.898,193.2748,101.6510,1,454
47,1.69550,1009.715,530.654,193.3303,101.6045,1,440
48,1.73010,1009.374,530.742,193.2650,101.6213,1,440
49,1.76471,1009.779,530.719,193.3426,101.6168,1,419
50,1.79931,1009.761,530.876,193.3390,101.6468,1,460
51,1.83391,1010.125,531.194,193.4088,101.7078,1,456
52,1.86851,1010.294,531.046,193.4412,101.6795,1,443
53,1.90311,1010.399,530.879,193.4613,101.6475,1,452
54,1.93772,1010.466,530.586,193.4742,101.5915,1,453
55,1.97232,1010.297,530.118,193.4418,101.5017,1,438
56,2.00692,1010.098,529.704,193.4036,101.4226,1,476
57,2.04152,1009.949,529.586,193.3750,101.3999,1,456
58,2.07612,1009.726,529.300,193.3325,101.3451,1,468
59,2.11073,1009.909,529.296,193.3674,101.3444,1,456
60,2.14533,1009.708,529.240,193.3290,101.3337,1,468
61,2.17993,1010.400,529.357,193.4615,101.3561,1,451
62,2.21453,1010.448,529.466,193.4707,101.3770,1,460
63,2.24913,1010.676,529.556,193.5143,101.3941,1,473
64,2.28374,1010.968,529.635,193.5703,101.4094,1,456
65,2.31834,1010.709,529.255,193.5206,101.3365,1,463
66,2.35294,1010.620,528.991,193.5035,101.2860,1,456
67,2.38754,1010.387,528.578,193.4590,101.2070,1,451
68,2.42215,1010.033,528.162,193.3912,101.1273,1,442
69,2.45675,1009.959,528.114,193.3770,101.1180,1,444
70,2.49135,1009.852,527.917,193.3566,101.0803,1,448
71,2.52595,1010.020,528.029,193.3888,101.1018,1,456
72,2.56055,1010.236,528.117,193.4300,101.1186,1,456
73,2.59516,1010.344,528.070,193.4507,101.1097,1,458
74,2.62976,1010.795,528.475,193.5371,101.1873,1,456
75,2.66436,1010.749,528.202,193.5283,101.1350,1,456
76,2.69896,1010.978,528.242,193.5721,101.1427,1,473
77,2.73356,1010.686,527.832,193.5162,101.0640,1,442
78,2.76817,1010.497,527.560,193.4801,101.0121,1,464
79,2.80277,1010.043,527.099,193.3931,100.9237,1,477
80,2.83737,1009.948,526.963,193.3749,100.8978,1,468
81,2.87197,1009.581,526.651,193.3047,100.8379,1,444
82,2.90657,1009.827,526.762,193.3517,100.8592,1,440
83,2.94118,1009.847,526.674,193.3557,100.8423,1,460
84,2.97578,1010.140,526.923,193.4117,100.8900,1,460
85,3.01038,1010.316,526.844,193.4453,100.8748,1,460
86,3.04498,1010.442,527.008,193.4695,100.9063,1,460
87,3.07958,1010.464,526.745,193.4737,100.8560,1,472
88,3.11419,1010.593,526.786,193.4984,100.8639,1,460
89,3.14879,1010.306,526.224,193.4435,100.7561,1,455
90,3.18339,1010.410,526.154,193.4634,100.7429,1,480
91,3.21799,1010.104,525.625,193.4048,100.6414,1,480
92,3.25260,1009.952,525.481,193.3757,100.6139,1,460
93,3.28720,1009.870,525.341,193.3600,100.5871,1,468
94,3.32180,1009.738,525.127,193.3348,100.5462,1,460
95,3.35640,1009.879,525.233,193.3618,100.5665,1,463
96,3.39100,1009.812,525.178,193.3489,100.5559,1,454
97,3.42561,1010.248,525.130,193.4323,100.5468,1,466
98,3.46021,1010.187,525.326,193.4208,100.5842,1,475
99,3.49481,1010.633,525.209,193.5061,100.5619,1,468
100,3.52941,1010.764,525.115,193.5312,100.5438,1,472
