frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03269,959.5,159.5,183.606,30.521,30.2192,0.0951,1
0,0.03269,975.5,159.5,186.668,30.521,nan,nan,0
0,0.03269,991.5,159.5,189.730,30.521,nan,nan,0
0,0.03269,1007.5,159.5,192.791,30.521,nan,nan,0
0,0.03269,1023.5,159.5,195.853,30.521,42.5053,2.6952,1
0,0.03269,1039.5,159.5,198.915,30.521,nan,nan,0
0,0.03269,1055.5,159.5,201.977,30.521,nan,nan,0
0,0.03269,1071.5,159.5,205.038,30.521,45.5118,5.3174,1
0,0.03269,895.5,175.5,171.360,33.583,nan,nan,0
0,0.03269,911.5,175.5,174.421,33.583,nan,nan,0
0,0.03269,927.5,175.5,177.483,33.583,nan,nan,0
0,0.03269,943.5,175.5,180.545,33.583,nan,nan,0
0,0.03269,959.5,175.5,183.606,33.583,40.9932,-1.5349,1
0,0.03269,975.5,175.5,186.668,33.583,nan,nan,0
0,0.03269,991.5,175.5,189.730,33.583,43.7573,0.1655,1
0,0.03269,1007.5,175.5,192.791,33.583,43.3044,0.2557,1
0,0.03269,1023.5,175.5,195.853,33.583,nan,nan,0
0,0.03269,1039.5,175.5,198.915,33.583,nan,nan,0
0,0.03269,1055.5,175.5,201.977,33.583,nan,nan,0
0,0.03269,1071.5,175.5,205.038,33.583,40.5629,4.2900,1
0,0.03269,1087.5,175.5,208.100,33.583,41.3399,7.1111,1
0,0.03269,1103.5,175.5,211.162,33.583,42.7753,11.9626,1
0,0.03269,1119.5,175.5,214.223,33.583,44.1031,17.1701,1
0,0.03269,1135.5,175.5,217.285,33.583,41.1229,18.6879,1
0,0.03269,847.5,191.5,162.174,36.645,nan,nan,0
0,0.03269,863.5,191.5,165.236,36.645,42.9803,-14.5929,1
0,0.03269,879.5,191.5,168.298,36.645,44.9078,-11.2652,1
0,0.03269,895.5,191.5,171.360,36.645,nan,nan,0
0,0.03269,911.5,191.5,174.421,36.645,35.8748,-4.8761,1
0,0.03269,927.5,191.5,177.483,36.645,38.1732,-3.5624,1
0,0.03269,943.5,191.5,180.545,36.645,36.5614,-4.0515,1
0,0.03269,959.5,191.5,183.606,36.645,37.1569,-3.0666,1
0,0.03269,975.5,191.5,186.668,36.645,36.1656,-1.6980,1
