frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03342,895.5,95.5,169.984,18.128,11.3093,-0.5785,1
0,0.03342,911.5,95.5,173.021,18.128,14.2369,-0.6050,1
0,0.03342,927.5,95.5,176.058,18.128,nan,nan,0
0,0.03342,943.5,95.5,179.096,18.128,nan,nan,0
0,0.03342,959.5,95.5,182.133,18.128,6.2935,-1.0790,1
0,0.03342,975.5,95.5,185.170,18.128,10.8730,-0.6987,1
0,0.03342,991.5,95.5,188.207,18.128,18.1540,0.5287,1
0,0.03342,1007.5,95.5,191.244,18.128,nan,nan,0
0,0.03342,1023.5,95.5,194.281,18.128,nan,nan,0
0,0.03342,1039.5,95.5,197.318,18.128,nan,nan,0
0,0.03342,1055.5,95.5,200.355,18.128,nan,nan,0
0,0.03342,831.5,111.5,157.836,21.165,nan,nan,0
0,0.03342,847.5,111.5,160.873,21.165,nan,nan,0
0,0.03342,863.5,111.5,163.910,21.165,nan,nan,0
0,0.03342,879.5,111.5,166.947,21.165,nan,nan,0
0,0.03342,895.5,111.5,169.984,21.165,nan,nan,0
0,0.03342,911.5,111.5,173.021,21.165,nan,nan,0
0,0.03342,927.5,111.5,176.058,21.165,nan,nan,0
0,0.03342,943.5,111.5,179.096,21.165,nan,nan,0
0,0.03342,959.5,111.5,182.133,21.165,nan,nan,0
0,0.03342,975.5,111.5,185.170,21.165,nan,nan,0
0,0.03342,991.5,111.5,188.207,21.165,nan,nan,0
0,0.03342,1007.5,111.5,191.244,21.165,nan,nan,0
0,0.03342,1023.5,111.5,194.281,21.165,nan,nan,0
0,0.03342,1039.5,111.5,197.318,21.165,nan,nan,0
0,0.03342,1055.5,111.5,200.355,21.165,nan,nan,0
0,0.03342,1071.5,111.5,203.393,21.165,nan,nan,0
0,0.03342,1087.5,111.5,206.430,21.165,nan,nan,0
0,0.03342,1103.5,111.5,209.467,21.165,6.1608,0.3433,1
0,0.03342,1119.5,111.5,212.504,21.165,4.4444,0.3544,1
0,0.03342,783.5,127.5,148.724,24.202,nan,nan,0
0,0.03342,799.5,127.5,151.761,24.202,nan,nan,0
0,0.03342,815.5,127.5,154.799,24.202,-11.0150,-1.0763,1
0,0.03342,831.5,127.5,157.836,24.202,nan,nan,0
0,0.03342,847.5,127.5,160.873,24.202,nan,nan,0
0,0.03342,863.5,127.5,163.910,24.202,nan,nan,0
0,0.03342,879.5,127.5,166.947,24.202,nan,nan,0
0,0.03342,895.5,127.5,169.984,24.202,nan,nan,0
0,0.03342,911.5,127.5,173.021,24.202,nan,nan,0
0,0.03342,927.5,127.5,176.058,24.202,nan,nan,0
0,0.03342,943.5,127.5,179.096,24.202,nan,nan,0
0,0.03342,959.5,127.5,182.133,24.202,nan,nan,0
0,0.03342,975.5,127.5,185.170,24.202,nan,nan,0
0,0.03342,991.5,127.5,188.207,24.202,nan,nan,0
0,0.03342,1007.5,127.5,191.244,24.202,nan,nan,0
0,0.03342,1023.5,127.5,194.281,24.202,nan,nan,0
0,0.03342,1039.5,127.5,197.318,24.202,nan,nan,0
0,0.03342,1055.5,127.5,200.355,24.202,nan,nan,0
0,0.03342,1071.5,127.5,203.393,24.202,nan,nan,0
0,0.03342,1087.5,127.5,206.430,24.202,nan,nan,0
0,0.03342,1103.5,127.5,209.467,24.202,nan,nan,0
0,0.03342,1119.5,127.5,212.504,24.202,4.3673,0.0262,1
0,0.03342,1135.5,127.5,215.541,24.202,3.6593,0.5994,1
0,0.03342,1151.5,127.5,218.578,24.202,3.4512,-0.2935,1
0,0.03342,751.5,143.5,142.650,27.239,nan,nan,0
0,0.03342,767.5,143.5,145.687,27.239,nan,nan,0
0,0.03342,783.5,143.5,148.724,27.239,nan,nan,0
0,0.03342,799.5,143.5,151.761,27.239,-2.5965,-1.9902,1
0,0.03342,815.5,143.5,154.799,27.239,24.2279,-2.0046,1
0,0.03342,831.5,143.5,157.836,27.239,8.0179,-3.0910,1
0,0.03342,847.5,143.5,160.873,27.239,23.5358,-1.6403,1
0,0.03342,863.5,143.5,163.910,27.239,nan,nan,0
0,0.03342,879.5,143.5,166.947,27.239,nan,nan,0
0,0.03342,895.5,143.5,169.984,27.239,18.2185,-1.2599,1
0,0.03342,911.5,143.5,173.021,27.239,nan,nan,0
0,0.03342,927.5,143.5,176.058,27.239,17.3050,-1.0318,1
0,0.03342,943.5,143.5,179.096,27.239,nan,nan,0
0,0.03342,959.5,143.5,182.133,27.239,9.0923,0.9429,1
0,0.03342,975.5,143.5,185.170,27.239,1.0242,-0.0256,1
0,0.03342,991.5,143.5,188.207,27.239,11.4209,1.4523,1
0,0.03342,1007.5,143.5,191.244,27.239,11.6499,-1.2233,1
0,0.03342,1023.5,143.5,194.281,27.239,nan,nan,0
0,0.03342,1039.5,143.5,197.318,27.239,20.2746,1.0486,1
0,0.03342,1055.5,143.5,200.355,27.239,nan,nan,0
0,0.03342,1071.5,143.5,203.393,27.239,nan,nan,0
0,0.03342,1087.5,143.5,206.430,27.239,nan,nan,0
0,0.03342,1103.5,143.5,209.467,27.239,nan,nan,0
0,0.03342,1119.5,143.5,212.504,27.239,4.5371,-0.0524,1
0,0.03342,1135.5,143.5,215.541,27.239,2.9467,-0.2572,1
0,0.03342,1151.5,143.5,218.578,27.239,2.7917,-0.7499,1
0,0.03342,1167.5,143.5,221.615,27.239,nan,nan,0
0,0.03342,1183.5,143.5,224.652,27.239,2.7773,-0.5653,1
0,0.03342,735.5,159.5,139.613,30.276,nan,nan,0
0,0.03342,751.5,159.5,142.650,30.276,2.2060,-1.6623,1
0,0.03342,767.5,159.5,145.687,30.276,6.3036,-2.1035,1
0,0.03342,783.5,159.5,148.724,30.276,11.5893,-2.7665,1
0,0.03342,799.5,159.5,151.761,30.276,8.2580,-1.8288,1
0,0.03342,815.5,159.5,154.799,30.276,26.6725,0.1809,1
0,0.03342,831.5,159.5,157.836,30.276,8.1788,-3.3636,1
0,0.03342,847.5,159.5,160.873,30.276,15.9350,-3.7752,1
0,0.03342,863.5,159.5,163.910,30.276,14.5345,-5.0689,1
0,0.03342,879.5,159.5,166.947,30.276,nan,nan,0
0,0.03342,895.5,159.5,169.984,30.276,nan,nan,0
0,0.03342,911.5,159.5,173.021,30.276,13.5817,0.0496,1
0,0.03342,927.5,159.5,176.058,30.276,14.8323,-1.5886,1
0,0.03342,943.5,159.5,179.096,30.276,12.4736,-1.1502,1
0,0.03342,959.5,159.5,182.133,30.276,nan,nan,0
0,0.03342,975.5,159.5,185.170,30.276,12.9623,-2.6979,1
0,0.03342,991.5,159.5,188.207,30.276,nan,nan,0
0,0.03342,1007.5,159.5,191.244,30.276,nan,nan,0
0,0.03342,1023.5,159.5,194.281,30.276,6.1769,4.3166,1
0,0.03342,1039.5,159.5,197.318,30.276,18.1180,1.0231,1
0,0.03342,1055.5,159.5,200.355,30.276,nan,nan,0
0,0.03342,1071.5,159.5,203.393,30.276,14.7330,1.5339,1
0,0.03342,1087.5,159.5,206.430,30.276,21.5172,-0.2605,1
0,0.03342,1103.5,159.5,209.467,30.276,21.0874,-0.5435,1
0,0.03342,1119.5,159.5,212.504,30.276,5.0048,-0.3472,1
0,0.03342,1135.5,159.5,215.541,30.276,2.8472,-0.2221,1
0,0.03342,1151.5,159.5,218.578,30.276,2.2167,-0.2710,1
0,0.03342,1167.5,159.5,221.615,30.276,2.4323,-0.4189,1
0,0.03342,1183.5,159.5,224.652,30.276,1.9721,-1.1881,1
0,0.03342,1199.5,159.5,227.690,30.276,2.3171,-0.6374,1
0,0.03342,1215.5,159.5,230.727,30.276,1.2180,-0.2782,1
0,0.03342,703.5,175.5,133.539,33.313,1.7074,-3.6524,1
0,0.03342,719.5,175.5,136.576,33.313,nan,nan,0
0,0.03342,735.5,175.5,139.613,33.313,7.3072,-2.8103,1
0,0.03342,751.5,175.5,142.650,33.313,nan,nan,0
0,0.03342,767.5,175.5,145.687,33.313,9.6516,-4.1627,1
0,0.03342,783.5,175.5,148.724,33.313,nan,nan,0
0,0.03342,799.5,175.5,151.761,33.313,nan,nan,0
0,0.03342,815.5,175.5,154.799,33.313,nan,nan,0
0,0.03342,831.5,175.5,157.836,33.313,nan,nan,0
0,0.03342,847.5,175.5,160.873,33.313,12.7799,-1.3067,1
0,0.03342,863.5,175.5,163.910,33.313,12.7311,-1.8129,1
0,0.03342,879.5,175.5,166.947,33.313,12.3584,-3.2907,1
0,0.03342,895.5,175.5,169.984,33.313,8.1980,-1.1332,1
0,0.03342,911.5,175.5,173.021,33.313,nan,nan,0
0,0.03342,927.5,175.5,176.058,33.313,nan,nan,0
0,0.03342,943.5,175.5,179.096,33.313,nan,nan,0
0,0.03342,959.5,175.5,182.133,33.313,nan,nan,0
0,0.03342,975.5,175.5,185.170,33.313,nan,nan,0
0,0.03342,991.5,175.5,188.207,33.313,nan,nan,0
0,0.03342,1007.5,175.5,191.244,33.313,nan,nan,0
0,0.03342,1023.5,175.5,194.281,33.313,7.8159,-0.6085,1
0,0.03342,1039.5,175.5,197.318,33.313,15.8969,0.7432,1
0,0.03342,1055.5,175.5,200.355,33.313,17.5607,1.7072,1
0,0.03342,1071.5,175.5,203.393,33.313,16.4932,2.0237,1
0,0.03342,1087.5,175.5,206.430,33.313,15.2306,1.3540,1
0,0.03342,1103.5,175.5,209.467,33.313,nan,nan,0
0,0.03342,1119.5,175.5,212.504,33.313,15.6195,0.0191,1
0,0.03342,1135.5,175.5,215.541,33.313,nan,nan,0
0,0.03342,1151.5,175.5,218.578,33.313,1.7050,-0.4760,1
0,0.03342,1167.5,175.5,221.615,33.313,1.6207,-0.4490,1
0,0.03342,1183.5,175.5,224.652,33.313,1.4327,-0.3297,1
0,0.03342,1199.5,175.5,227.690,33.313,2.5099,0.0165,1
0,0.03342,1215.5,175.5,230.727,33.313,1.2304,-0.4823,1
0,0.03342,1231.5,175.5,233.764,33.313,1.2527,-0.7349,1
0,0.03342,687.5,191.5,130.502,36.351,4.3461,-5.5621,1
0,0.03342,703.5,191.5,133.539,36.351,3.2463,-3.4794,1
0,0.03342,719.5,191.5,136.576,36.351,7.6475,-3.2542,1
0,0.03342,735.5,191.5,139.613,36.351,7.1238,-2.2147,1
0,0.03342,751.5,191.5,142.650,36.351,6.7080,-3.4530,1
0,0.03342,767.5,191.5,145.687,36.351,nan,nan,0
0,0.03342,783.5,191.5,148.724,36.351,14.8508,-9.5592,1
0,0.03342,799.5,191.5,151.761,36.351,16.4814,-9.5092,1
0,0.03342,815.5,191.5,154.799,36.351,7.2127,-3.8630,1
