frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03322,963.562,511.263,182.9038,97.0481,1,518
1,0.06645,964.163,511.516,183.0178,97.0961,1,502
2,0.09967,964.224,511.686,183.0294,97.1285,1,503
3,0.13290,964.353,511.793,183.0539,97.1488,1,508
4,0.16612,964.228,511.628,183.0301,97.1174,1,524
5,0.19935,964.538,511.337,183.0890,97.0622,1,502
6,0.23257,964.956,511.019,183.1684,97.0018,1,520
7,0.26580,965.568,510.527,183.2845,96.9084,1,528
8,0.29902,966.380,510.372,183.4387,96.8790,1,508
9,0.33225,967.246,509.874,183.6031,96.7845,1,504
10,0.36547,967.800,509.662,183.7082,96.7443,1,521
11,0.39870,968.817,509.575,183.9013,96.7277,1,502
12,0.43192,969.188,509.500,183.9718,96.7136,1,514
13,0.46514,970.149,509.434,184.1541,96.7009,1,520
14,0.49837,970.225,509.434,184.1684,96.7010,1,522
15,0.53159,970.849,508.980,184.2870,96.6149,1,500
16,0.56482,971.008,508.745,184.3171,96.5701,1,525
17,0.59804,971.435,508.156,184.3982,96.4583,1,519
18,0.63127,971.942,507.849,184.4944,96.4000,1,522
19,0.66449,972.789,507.430,184.6552,96.3207,1,537
20,0.69772,973.511,507.264,184.7922,96.2891,1,504
21,0.73094,974.369,507.275,184.9552,96.2912,1,500
22,0.76417,975.194,507.266,185.1118,96.2894,1,518
23,0.79739,975.836,507.484,185.2336,96.3309,1,505
24,0.83061,976.251,507.505,185.3123,96.3349,1,530
25,0.86384,976.722,507.326,185.4017,96.3009,1,508
26,0.89706,976.746,507.166,185.4062,96.2704,1,508
27,0.93029,977.125,506.760,185.4782,96.1935,1,512
28,0.96351,977.607,506.255,185.5697,96.0976,1,505
29,0.99674,977.977,506.214,185.6400,96.0897,1,495
30,1.02996,978.630,506.050,185.7640,96.0586,1,504
31,1.06319,979.096,506.296,185.8524,96.1053,1,524
32,1.09641,979.554,506.748,185.9394,96.1912,1,531
33,1.12964,979.912,506.951,186.0072,96.2297,1,531
34,1.16286,980.373,507.239,186.0948,96.2844,1,524
35,1.19609,980.629,507.390,186.1435,96.3129,1,528
36,1.22931,980.726,507.339,186.1619,96.3033,1,512
37,1.26253,981.067,507.316,186.2266,96.2989,1,506
38,1.29576,981.178,507.320,186.2477,96.2996,1,508
39,1.32898,981.650,507.135,186.3371,96.2645,1,504
40,1.36221,982.118,507.246,186.4260,96.2856,1,502
41,1.39543,982.463,507.374,186.4915,96.3099,1,527
42,1.42866,982.857,507.306,186.5663,96.2971,1,516
43,1.46188,983.159,507.763,186.6237,96.3839,1,511
44,1.49511,983.227,507.826,186.6366,96.3956,1,514
45,1.52833,983.269,507.799,186.6446,96.3906,1,516
46,1.56156,983.182,507.834,186.6279,96.3973,1,508
47,1.59478,983.114,507.209,186.6151,96.2785,1,510
48,1.62801,983.113,506.930,186.6149,96.2257,1,504
49,1.66123,983.480,506.219,186.6845,96.0907,1,531
50,1.69445,984.022,505.916,186.7874,96.0332,1,521
51,1.72768,984.637,505.596,186.9042,95.9725,1,537
52,1.76090,985.527,505.331,187.0732,95.9222,1,524
53,1.79413,986.113,505.193,187.1843,95.8959,1,508
54,1.82735,987.061,505.124,187.3644,95.8828,1,524
55,1.86058,987.438,504.834,187.4358,95.8277,1,535
56,1.89380,988.010,504.740,187.5445,95.8099,1,488
57,1.92703,988.451,504.278,187.6282,95.7223,1,511
58,1.96025,988.536,503.949,187.6442,95.6597,1,512
59,1.99348,989.112,503.419,187.7537,95.5593,1,513
60,2.02670,989.778,503.162,187.8800,95.5104,1,497
61,2.05992,990.439,502.955,188.0055,95.4711,1,507
62,2.09315,991.734,503.089,188.2514,95.4966,1,522
63,2.12637,992.175,503.105,188.3351,95.4995,1,500
64,2.15960,993.174,503.453,188.5247,95.5656,1,492
65,2.19282,993.410,503.440,188.5694,95.5633,1,520
66,2.22605,993.920,503.773,188.6663,95.6264,1,516
67,2.25927,994.231,503.387,188.7254,95.5532,1,496
68,2.29250,994.530,503.861,188.7821,95.6431,1,517
69,2.32572,994.788,503.215,188.8311,95.5206,1,496
70,2.35895,995.035,503.481,188.8780,95.5710,1,512
71,2.39217,995.261,503.195,188.9208,95.5167,1,504
72,2.42540,995.450,503.321,188.9567,95.5407,1,496
73,2.45862,995.604,503.489,188.9860,95.5725,1,500
74,2.49184,995.676,503.698,188.9997,95.6122,1,515
75,2.52507,995.334,503.845,188.9348,95.6400,1,508
76,2.55829,995.434,503.978,188.9536,95.6654,1,489
77,2.59152,994.880,503.874,188.8486,95.6456,1,519
78,2.62474,994.829,503.909,188.8389,95.6523,1,516
79,2.65797,994.792,503.504,188.8319,95.5753,1,532
80,2.69119,994.780,503.317,188.8296,95.5398,1,500
81,2.72442,995.243,503.268,188.9175,95.5305,1,507
82,2.75764,995.514,502.921,188.9689,95.4648,1,509
83,2.79087,996.008,503.710,189.0626,95.6144,1,492
84,2.82409,996.148,503.614,189.0892,95.5961,1,516
85,2.85732,996.341,504.464,189.1259,95.7575,1,535
86,2.89054,996.247,504.649,189.1081,95.7927,1,531
87,2.92376,996.266,505.278,189.1117,95.9121,1,529
88,2.95699,996.214,505.414,189.1017,95.9378,1,537
89,2.99021,996.340,505.942,189.1257,96.0382,1,520
