frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.05860,947.275,552.724,181.2668,105.7669,0,0
1,0.10256,947.275,552.724,181.2668,105.7669,0,0
2,0.16116,947.275,552.724,181.2668,105.7669,0,0
3,0.19046,947.275,552.724,181.2668,105.7669,0,0
4,0.24906,947.275,552.724,181.2668,105.7669,0,0
5,0.29301,947.275,552.724,181.2668,105.7669,0,0
6,0.33697,947.275,552.724,181.2668,105.7669,0,0
7,0.39557,947.275,552.724,181.2668,105.7669,0,0
8,0.42487,947.275,552.724,181.2668,105.7669,0,0
9,0.48347,947.275,552.724,181.2668,105.7669,0,0
10,0.52743,947.275,552.724,181.2668,105.7669,0,0
11,0.57138,947.275,552.724,181.2668,105.7669,0,0
12,0.62998,947.275,552.724,181.2668,105.7669,0,0
13,0.65928,947.275,552.724,181.2668,105.7669,0,0
14,0.71789,947.275,552.724,181.2668,105.7669,0,0
15,0.76184,947.275,552.724,181.2668,105.7669,0,0
16,0.80579,947.275,552.724,181.2668,105.7669,0,0
17,0.86439,947.275,552.724,181.2668,105.7669,0,0
18,0.89369,947.275,552.724,181.2668,105.7669,0,0
19,0.95230,947.275,552.724,181.2668,105.7669,0,0
20,0.99625,947.275,552.724,181.2668,105.7669,0,0
21,1.04020,947.275,552.724,181.2668,105.7669,0,0
22,1.09880,947.275,552.724,181.2668,105.7669,0,0
23,1.12811,947.275,552.724,181.2668,105.7669,0,0
24,1.18671,947.275,552.724,181.2668,105.7669,0,0
25,1.23066,947.275,552.724,181.2668,105.7669,0,0
26,1.27461,947.275,552.724,181.2668,105.7669,0,0
27,1.33322,947.275,552.724,181.2668,105.7669,0,0
28,1.36252,947.275,552.724,181.2668,105.7669,0,0
29,1.42112,947.275,552.724,181.2668,105.7669,0,0
30,1.46507,947.275,552.724,181.2668,105.7669,0,0
31,1.50902,947.275,552.724,181.2668,105.7669,0,0
32,1.56763,947.275,552.724,181.2668,105.7669,0,0
33,1.59693,947.275,552.724,181.2668,105.7669,0,0
34,1.65553,947.275,552.724,181.2668,105.7669,0,0
35,1.69948,947.275,552.724,181.2668,105.7669,0,0
36,1.74344,947.275,552.724,181.2668,105.7669,0,0
37,1.80204,947.275,552.724,181.2668,105.7669,0,0
38,1.83134,947.275,552.724,181.2668,105.7669,0,0
39,1.88994,947.275,552.724,181.2668,105.7669,0,0
40,1.93390,947.275,552.724,181.2668,105.7669,0,0
41,1.97785,947.275,552.724,181.2668,105.7669,0,0
42,2.03645,947.275,552.724,181.2668,105.7669,0,0
43,2.06575,947.275,552.724,181.2668,105.7669,0,0
44,2.12436,947.275,552.724,181.2668,105.7669,0,0
45,2.16831,947.275,552.724,181.2668,105.7669,0,0
46,2.21226,947.275,552.724,181.2668,105.7669,0,0
47,2.27086,947.275,552.724,181.2668,105.7669,0,0
48,2.30016,947.275,552.724,181.2668,105.7669,0,0
49,2.35877,947.275,552.724,181.2668,105.7669,0,0
50,2.40272,947.275,552.724,181.2668,105.7669,0,0
51,2.44667,947.275,552.724,181.2668,105.7669,0,0
52,2.50527,947.275,552.724,181.2668,105.7669,0,0
53,2.53458,947.275,552.724,181.2668,105.7669,0,0
54,2.59318,947.275,552.724,181.2668,105.7669,0,0
55,2.63713,947.275,552.724,181.2668,105.7669,0,0
56,2.68108,947.275,552.724,181.2668,105.7669,0,0
57,2.73969,947.275,552.724,181.2668,105.7669,0,0
58,2.76899,947.275,552.724,181.2668,105.7669,0,0
59,2.82759,947.275,552.724,181.2668,105.7669,0,0
60,2.87154,947.275,552.724,181.2668,105.7669,0,0
61,2.91549,947.275,552.724,181.2668,105.7669,0,0
62,2.97410,947.275,552.724,181.2668,105.7669,0,0
63,3.00340,947.275,552.724,181.2668,105.7669,0,0
64,3.06200,947.275,552.724,181.2668,105.7669,0,0
65,3.10595,947.275,552.724,181.2668,105.7669,0,0
66,3.14991,947.275,552.724,181.2668,105.7669,0,0
67,3.20851,947.275,552.724,181.2668,105.7669,0,0
68,3.23781,947.275,552.724,181.2668,105.7669,0,0
69,3.29641,947.275,552.724,181.2668,105.7669,0,0
70,3.34037,947.275,552.724,181.2668,105.7669,0,0
71,3.38432,947.275,552.724,181.2668,105.7669,0,0
72,3.44292,947.275,552.724,181.2668,105.7669,0,0
73,3.47222,947.275,552.724,181.2668,105.7669,0,0
74,3.53082,947.275,552.724,181.2668,105.7669,0,0
75,3.57478,947.275,552.724,181.2668,105.7669,0,0
76,3.61873,947.275,552.724,181.2668,105.7669,0,0
77,3.67733,947.275,552.724,181.2668,105.7669,0,0
78,3.70663,947.275,552.724,181.2668,105.7669,0,0
79,3.76524,947.275,552.724,181.2668,105.7669,0,0
80,3.80919,947.275,552.724,181.2668,105.7669,0,0
81,3.85314,947.275,552.724,181.2668,105.7669,0,0
82,3.91174,947.275,552.724,181.2668,105.7669,0,0
83,3.94104,947.275,552.724,181.2668,105.7669,0,0
84,3.99965,947.275,552.724,181.2668,105.7669,0,0
85,4.04360,947.275,552.724,181.2668,105.7669,0,0
86,4.08755,947.275,552.724,181.2668,105.7669,0,0
87,4.14616,947.275,552.724,181.2668,105.7669,0,0
88,4.17546,947.275,552.724,181.2668,105.7669,0,0
89,4.23406,947.275,552.724,181.2668,105.7669,0,0
90,4.27801,947.275,552.724,181.2668,105.7669,0,0
91,4.32196,947.275,552.724,181.2668,105.7669,0,0
92,4.38057,947.275,552.724,181.2668,105.7669,0,0
93,4.40987,947.275,552.724,181.2668,105.7669,0,0
94,4.46847,947.275,552.724,181.2668,105.7669,0,0
95,4.51242,947.275,552.724,181.2668,105.7669,0,0
96,4.55638,947.275,552.724,181.2668,105.7669,0,0
97,4.61498,947.275,552.724,181.2668,105.7669,0,0
98,4.64428,947.275,552.724,181.2668,105.7669,0,0
99,4.70288,947.275,552.724,181.2668,105.7669,0,0
100,4.74683,947.275,552.724,181.2668,105.7669,0,0
101,4.79079,947.275,552.724,181.2668,105.7669,0,0
102,4.84939,947.275,552.724,181.2668,105.7669,0,0
103,4.87869,947.275,552.724,181.2668,105.7669,0,0
104,4.93729,947.275,552.724,181.2668,105.7669,0,0
105,4.98125,947.275,552.724,181.2668,105.7669,0,0
106,5.02520,947.275,552.724,181.2668,105.7669,0,0
107,5.08380,947.275,552.724,181.2668,105.7669,0,0
108,5.11310,947.275,552.724,181.2668,105.7669,0,0
109,5.17171,947.275,552.724,181.2668,105.7669,0,0
110,5.21566,947.275,552.724,181.2668,105.7669,0,0
111,5.25961,947.275,552.724,181.2668,105.7669,0,0
112,5.31821,947.275,552.724,181.2668,105.7669,0,0
113,5.34751,947.275,552.724,181.2668,105.7669,0,0
114,5.40612,947.275,552.724,181.2668,105.7669,0,0
115,5.45007,947.275,552.724,181.2668,105.7669,0,0
116,5.49402,947.275,552.724,181.2668,105.7669,0,0
117,5.55262,947.275,552.724,181.2668,105.7669,0,0
118,5.58193,947.275,552.724,181.2668,105.7669,0,0
119,5.64053,947.275,552.724,181.2668,105.7669,0,0
120,5.68448,947.275,552.724,181.2668,105.7669,0,0
121,5.72843,947.275,552.724,181.2668,105.7669,0,0
122,5.78704,947.275,552.724,181.2668,105.7669,0,0
123,5.81634,947.275,552.724,181.2668,105.7669,0,0
124,5.87494,947.275,552.724,181.2668,105.7669,0,0
125,5.91889,947.275,552.724,181.2668,105.7669,0,0
126,5.96285,947.275,552.724,181.2668,105.7669,0,0
127,6.02145,947.275,552.724,181.2668,105.7669,0,0
