frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03251,805.891,538.586,100.6765,67.2832,0,0
1,0.06502,805.891,538.586,100.6765,67.2832,0,0
2,0.11379,805.891,538.586,100.6765,67.2832,0,0
3,0.16255,805.891,538.586,100.6765,67.2832,0,0
4,0.21132,805.891,538.586,100.6765,67.2832,0,0
5,0.26008,805.891,538.586,100.6765,67.2832,0,0
6,0.29259,805.891,538.586,100.6765,67.2832,0,0
7,0.32510,805.891,538.586,100.6765,67.2832,0,0
8,0.35761,805.891,538.586,100.6765,67.2832,0,0
9,0.39012,805.891,538.586,100.6765,67.2832,0,0
10,0.42263,805.891,538.586,100.6765,67.2832,0,0
11,0.45514,805.891,538.586,100.6765,67.2832,0,0
12,0.48765,805.891,538.586,100.6765,67.2832,0,0
13,0.52016,805.891,538.586,100.6765,67.2832,0,0
14,0.55267,805.891,538.586,100.6765,67.2832,0,0
15,0.60144,805.891,538.586,100.6765,67.2832,0,0
16,0.63395,805.891,538.586,100.6765,67.2832,0,0
17,0.68271,805.891,538.586,100.6765,67.2832,0,0
18,0.71522,805.891,538.586,100.6765,67.2832,0,0
19,0.74773,805.891,538.586,100.6765,67.2832,0,0
20,0.78024,805.891,538.586,100.6765,67.2832,0,0
21,0.81275,805.891,538.586,100.6765,67.2832,0,0
22,0.84526,805.891,538.586,100.6765,67.2832,0,0
23,0.87777,805.891,538.586,100.6765,67.2832,0,0
24,0.91028,805.891,538.586,100.6765,67.2832,0,0
25,0.94279,805.891,538.586,100.6765,67.2832,0,0
26,0.97530,805.891,538.586,100.6765,67.2832,0,0
27,1.00781,805.891,538.586,100.6765,67.2832,0,0
28,1.04032,805.891,538.586,100.6765,67.2832,0,0
29,1.07283,805.891,538.586,100.6765,67.2832,0,0
30,1.10534,805.891,538.586,100.6765,67.2832,0,0
31,1.13785,805.891,538.586,100.6765,67.2832,0,0
32,1.17036,805.891,538.586,100.6765,67.2832,0,0
33,1.20287,805.891,538.586,100.6765,67.2832,0,0
34,1.23538,805.891,538.586,100.6765,67.2832,0,0
35,1.26789,805.891,538.586,100.6765,67.2832,0,0
36,1.30040,805.891,538.586,100.6765,67.2832,0,0
37,1.33291,805.891,538.586,100.6765,67.2832,0,0
38,1.36542,805.891,538.586,100.6765,67.2832,0,0
39,1.39793,805.891,538.586,100.6765,67.2832,0,0
40,1.43044,805.891,538.586,100.6765,67.2832,0,0
41,1.46295,805.891,538.586,100.6765,67.2832,0,0
42,1.49546,805.891,538.586,100.6765,67.2832,0,0
43,1.52797,805.891,538.586,100.6765,67.2832,0,0
44,1.56048,805.891,538.586,100.6765,67.2832,0,0
45,1.59299,805.891,538.586,100.6765,67.2832,0,0
46,1.62550,805.891,538.586,100.6765,67.2832,0,0
47,1.65801,805.891,538.586,100.6765,67.2832,0,0
48,1.69052,805.891,538.586,100.6765,67.2832,0,0
49,1.72303,805.891,538.586,100.6765,67.2832,0,0
50,1.75554,805.891,538.586,100.6765,67.2832,0,0
51,1.78805,805.891,538.586,100.6765,67.2832,0,0
52,1.82056,805.891,538.586,100.6765,67.2832,0,0
53,1.85307,805.891,538.586,100.6765,67.2832,0,0
54,1.88558,805.891,538.586,100.6765,67.2832,0,0
55,1.91810,805.891,538.586,100.6765,67.2832,0,0
56,1.95061,805.891,538.586,100.6765,67.2832,0,0
57,1.98312,805.891,538.586,100.6765,67.2832,0,0
58,2.01563,805.891,538.586,100.6765,67.2832,0,0
59,2.04814,805.891,538.586,100.6765,67.2832,0,0
60,2.08065,805.891,538.586,100.6765,67.2832,0,0
61,2.11316,805.891,538.586,100.6765,67.2832,0,0
62,2.14567,805.891,538.586,100.6765,67.2832,0,0
63,2.17818,805.891,538.586,100.6765,67.2832,0,0
64,2.21069,805.891,538.586,100.6765,67.2832,0,0
65,2.24320,805.891,538.586,100.6765,67.2832,0,0
66,2.27571,805.891,538.586,100.6765,67.2832,0,0
67,2.30822,805.891,538.586,100.6765,67.2832,0,0
68,2.34073,805.891,538.586,100.6765,67.2832,0,0
69,2.37324,805.891,538.586,100.6765,67.2832,0,0
70,2.40575,805.891,538.586,100.6765,67.2832,0,0
71,2.43826,805.891,538.586,100.6765,67.2832,0,0
72,2.47077,805.891,538.586,100.6765,67.2832,0,0
73,2.50328,805.891,538.586,100.6765,67.2832,0,0
74,2.53579,805.891,538.586,100.6765,67.2832,0,0
75,2.58455,805.891,538.586,100.6765,67.2832,0,0
76,2.61706,805.891,538.586,100.6765,67.2832,0,0
77,2.66583,805.891,538.586,100.6765,67.2832,0,0
78,2.69834,805.891,538.586,100.6765,67.2832,0,0
79,2.73085,805.891,538.586,100.6765,67.2832,0,0
80,2.76336,805.891,538.586,100.6765,67.2832,0,0
81,2.79587,805.891,538.586,100.6765,67.2832,0,0
82,2.82838,805.891,538.586,100.6765,67.2832,0,0
83,2.86089,805.891,538.586,100.6765,67.2832,0,0
84,2.89340,805.891,538.586,100.6765,67.2832,0,0
85,2.92591,805.891,538.586,100.6765,67.2832,0,0
86,2.95842,805.891,538.586,100.6765,67.2832,0,0
87,2.99093,805.891,538.586,100.6765,67.2832,0,0
