frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03331,703.5,79.5,86.803,9.809,nan,nan,0
0,0.03331,719.5,79.5,88.777,9.809,nan,nan,0
0,0.03331,735.5,79.5,90.751,9.809,nan,nan,0
0,0.03331,751.5,79.5,92.725,9.809,nan,nan,0
0,0.03331,767.5,79.5,94.699,9.809,nan,nan,0
0,0.03331,783.5,79.5,96.674,9.809,10.3637,-0.3531,1
0,0.03331,799.5,79.5,98.648,9.809,11.3236,0.4229,1
0,0.03331,815.5,79.5,100.622,9.809,nan,nan,0
0,0.03331,831.5,79.5,102.596,9.809,11.7725,3.4326,1
0,0.03331,847.5,79.5,104.570,9.809,11.6521,4.7834,1
0,0.03331,863.5,79.5,106.545,9.809,11.3126,4.6163,1
0,0.03331,879.5,79.5,108.519,9.809,nan,nan,0
0,0.03331,639.5,95.5,78.906,11.783,nan,nan,0
0,0.03331,655.5,95.5,80.880,11.783,nan,nan,0
0,0.03331,671.5,95.5,82.854,11.783,nan,nan,0
0,0.03331,687.5,95.5,84.829,11.783,nan,nan,0
0,0.03331,703.5,95.5,86.803,11.783,nan,nan,0
0,0.03331,719.5,95.5,88.777,11.783,nan,nan,0
0,0.03331,735.5,95.5,90.751,11.783,nan,nan,0
0,0.03331,751.5,95.5,92.725,11.783,nan,nan,0
0,0.03331,767.5,95.5,94.699,11.783,nan,nan,0
0,0.03331,783.5,95.5,96.674,11.783,nan,nan,0
0,0.03331,799.5,95.5,98.648,11.783,nan,nan,0
0,0.03331,815.5,95.5,100.622,11.783,13.5766,3.0630,1
0,0.03331,831.5,95.5,102.596,11.783,13.9636,4.5716,1
0,0.03331,847.5,95.5,104.570,11.783,nan,nan,0
0,0.03331,863.5,95.5,106.545,11.783,nan,nan,0
0,0.03331,879.5,95.5,108.519,11.783,20.0870,6.6637,1
0,0.03331,895.5,95.5,110.493,11.783,12.1775,6.5710,1
0,0.03331,911.5,95.5,112.467,11.783,11.5558,6.6860,1
0,0.03331,927.5,95.5,114.441,11.783,14.3813,6.3381,1
0,0.03331,943.5,95.5,116.416,11.783,nan,nan,0
0,0.03331,607.5,111.5,74.958,13.758,nan,nan,0
0,0.03331,623.5,111.5,76.932,13.758,nan,nan,0
0,0.03331,639.5,111.5,78.906,13.758,nan,nan,0
0,0.03331,655.5,111.5,80.880,13.758,nan,nan,0
0,0.03331,671.5,111.5,82.854,13.758,nan,nan,0
0,0.03331,687.5,111.5,84.829,13.758,nan,nan,0
0,0.03331,703.5,111.5,86.803,13.758,nan,nan,0
0,0.03331,719.5,111.5,88.777,13.758,nan,nan,0
0,0.03331,735.5,111.5,90.751,13.758,nan,nan,0
0,0.03331,751.5,111.5,92.725,13.758,nan,nan,0
0,0.03331,767.5,111.5,94.699,13.758,nan,nan,0
0,0.03331,783.5,111.5,96.674,13.758,16.1424,0.6684,1
0,0.03331,799.5,111.5,98.648,13.758,nan,nan,0
0,0.03331,815.5,111.5,100.622,13.758,nan,nan,0
0,0.03331,831.5,111.5,102.596,13.758,nan,nan,0
0,0.03331,847.5,111.5,104.570,13.758,16.5501,6.1903,1
0,0.03331,863.5,111.5,106.545,13.758,15.7968,8.0889,1
0,0.03331,879.5,111.5,108.519,13.758,nan,nan,0
0,0.03331,895.5,111.5,110.493,13.758,nan,nan,0
0,0.03331,911.5,111.5,112.467,13.758,13.0072,7.7058,1
0,0.03331,927.5,111.5,114.441,13.758,12.6738,7.6150,1
0,0.03331,943.5,111.5,116.416,13.758,nan,nan,0
0,0.03331,959.5,111.5,118.390,13.758,nan,nan,0
0,0.03331,975.5,111.5,120.364,13.758,nan,nan,0
0,0.03331,575.5,127.5,71.009,15.732,-0.1004,-5.4527,1
0,0.03331,591.5,127.5,72.983,15.732,nan,nan,0
0,0.03331,607.5,127.5,74.958,15.732,nan,nan,0
0,0.03331,623.5,127.5,76.932,15.732,nan,nan,0
0,0.03331,639.5,127.5,78.906,15.732,nan,nan,0
0,0.03331,655.5,127.5,80.880,15.732,nan,nan,0
0,0.03331,671.5,127.5,82.854,15.732,nan,nan,0
0,0.03331,687.5,127.5,84.829,15.732,nan,nan,0
0,0.03331,703.5,127.5,86.803,15.732,nan,nan,0
0,0.03331,719.5,127.5,88.777,15.732,nan,nan,0
0,0.03331,735.5,127.5,90.751,15.732,17.5628,-5.5055,1
0,0.03331,751.5,127.5,92.725,15.732,nan,nan,0
0,0.03331,767.5,127.5,94.699,15.732,nan,nan,0
0,0.03331,783.5,127.5,96.674,15.732,nan,nan,0
0,0.03331,799.5,127.5,98.648,15.732,nan,nan,0
0,0.03331,815.5,127.5,100.622,15.732,20.2901,3.9822,1
0,0.03331,831.5,127.5,102.596,15.732,20.5865,6.1403,1
0,0.03331,847.5,127.5,104.570,15.732,nan,nan,0
0,0.03331,863.5,127.5,106.545,15.732,nan,nan,0
0,0.03331,879.5,127.5,108.519,15.732,nan,nan,0
0,0.03331,895.5,127.5,110.493,15.732,nan,nan,0
0,0.03331,911.5,127.5,112.467,15.732,nan,nan,0
0,0.03331,927.5,127.5,114.441,15.732,nan,nan,0
0,0.03331,943.5,127.5,116.416,15.732,14.8789,8.5077,1
0,0.03331,959.5,127.5,118.390,15.732,nan,nan,0
0,0.03331,975.5,127.5,120.364,15.732,7.7085,7.8154,1
0,0.03331,991.5,127.5,122.338,15.732,6.4170,4.0777,1
0,0.03331,1007.5,127.5,124.312,15.732,4.3918,2.8951,1
0,0.03331,543.5,143.5,67.061,17.706,nan,nan,0
0,0.03331,559.5,143.5,69.035,17.706,nan,nan,0
0,0.03331,575.5,143.5,71.009,17.706,nan,nan,0
0,0.03331,591.5,143.5,72.983,17.706,nan,nan,0
0,0.03331,607.5,143.5,74.958,17.706,nan,nan,0
0,0.03331,623.5,143.5,76.932,17.706,nan,nan,0
0,0.03331,639.5,143.5,78.906,17.706,nan,nan,0
0,0.03331,655.5,143.5,80.880,17.706,nan,nan,0
0,0.03331,671.5,143.5,82.854,17.706,nan,nan,0
0,0.03331,687.5,143.5,84.829,17.706,nan,nan,0
0,0.03331,703.5,143.5,86.803,17.706,nan,nan,0
0,0.03331,719.5,143.5,88.777,17.706,nan,nan,0
0,0.03331,735.5,143.5,90.751,17.706,nan,nan,0
0,0.03331,751.5,143.5,92.725,17.706,nan,nan,0
0,0.03331,767.5,143.5,94.699,17.706,nan,nan,0
0,0.03331,783.5,143.5,96.674,17.706,nan,nan,0
0,0.03331,799.5,143.5,98.648,17.706,nan,nan,0
0,0.03331,815.5,143.5,100.622,17.706,nan,nan,0
0,0.03331,831.5,143.5,102.596,17.706,nan,nan,0
0,0.03331,847.5,143.5,104.570,17.706,22.1680,7.9096,1
0,0.03331,863.5,143.5,106.545,17.706,25.4120,7.9002,1
0,0.03331,879.5,143.5,108.519,17.706,nan,nan,0
0,0.03331,895.5,143.5,110.493,17.706,nan,nan,0
0,0.03331,911.5,143.5,112.467,17.706,nan,nan,0
0,0.03331,927.5,143.5,114.441,17.706,12.4770,9.2139,1
0,0.03331,943.5,143.5,116.416,17.706,13.1047,9.6456,1
0,0.03331,959.5,143.5,118.390,17.706,17.1352,8.7504,1
0,0.03331,975.5,143.5,120.364,17.706,9.3828,7.5071,1
0,0.03331,991.5,143.5,122.338,17.706,6.4905,3.4071,1
0,0.03331,1007.5,143.5,124.312,17.706,4.6861,2.1016,1
0,0.03331,1023.5,143.5,126.287,17.706,2.9984,1.1789,1
0,0.03331,1039.5,143.5,128.261,17.706,nan,nan,0
0,0.03331,527.5,159.5,65.087,19.680,nan,nan,0
0,0.03331,543.5,159.5,67.061,19.680,nan,nan,0
0,0.03331,559.5,159.5,69.035,19.680,3.2993,-8.4213,1
0,0.03331,575.5,159.5,71.009,19.680,-8.2725,-8.8979,1
0,0.03331,591.5,159.5,72.983,19.680,nan,nan,0
0,0.03331,607.5,159.5,74.958,19.680,nan,nan,0
0,0.03331,623.5,159.5,76.932,19.680,nan,nan,0
0,0.03331,639.5,159.5,78.906,19.680,nan,nan,0
0,0.03331,655.5,159.5,80.880,19.680,25.5238,-8.2936,1
0,0.03331,671.5,159.5,82.854,19.680,nan,nan,0
0,0.03331,687.5,159.5,84.829,19.680,30.0612,-4.6910,1
0,0.03331,703.5,159.5,86.803,19.680,32.2250,-3.8264,1
0,0.03331,719.5,159.5,88.777,19.680,nan,nan,0
0,0.03331,735.5,159.5,90.751,19.680,nan,nan,0
0,0.03331,751.5,159.5,92.725,19.680,nan,nan,0
0,0.03331,767.5,159.5,94.699,19.680,nan,nan,0
0,0.03331,783.5,159.5,96.674,19.680,nan,nan,0
0,0.03331,799.5,159.5,98.648,19.680,nan,nan,0
0,0.03331,815.5,159.5,100.622,19.680,nan,nan,0
0,0.03331,831.5,159.5,102.596,19.680,26.4195,7.9345,1
0,0.03331,847.5,159.5,104.570,19.680,24.7864,6.1873,1
0,0.03331,863.5,159.5,106.545,19.680,nan,nan,0
0,0.03331,879.5,159.5,108.519,19.680,21.8355,7.2649,1
0,0.03331,895.5,159.5,110.493,19.680,nan,nan,0
0,0.03331,911.5,159.5,112.467,19.680,nan,nan,0
0,0.03331,927.5,159.5,114.441,19.680,nan,nan,0
0,0.03331,943.5,159.5,116.416,19.680,nan,nan,0
0,0.03331,959.5,159.5,118.390,19.680,nan,nan,0
0,0.03331,975.5,159.5,120.364,19.680,7.0034,5.4703,1
0,0.03331,991.5,159.5,122.338,19.680,6.4402,7.9092,1
0,0.03331,1007.5,159.5,124.312,19.680,4.9740,2.9978,1
0,0.03331,1023.5,159.5,126.287,19.680,2.8608,1.7495,1
0,0.03331,1039.5,159.5,128.261,19.680,2.0430,1.4511,1
0,0.03331,1055.5,159.5,130.235,19.680,nan,nan,0
0,0.03331,511.5,175.5,63.112,21.654,nan,nan,0
0,0.03331,527.5,175.5,65.087,21.654,nan,nan,0
0,0.03331,543.5,175.5,67.061,21.654,nan,nan,0
0,0.03331,559.5,175.5,69.035,21.654,nan,nan,0
0,0.03331,575.5,175.5,71.009,21.654,3.5811,-9.3032,1
0,0.03331,591.5,175.5,72.983,21.654,nan,nan,0
0,0.03331,607.5,175.5,74.958,21.654,nan,nan,0
0,0.03331,623.5,175.5,76.932,21.654,nan,nan,0
0,0.03331,639.5,175.5,78.906,21.654,nan,nan,0
0,0.03331,655.5,175.5,80.880,21.654,nan,nan,0
0,0.03331,671.5,175.5,82.854,21.654,nan,nan,0
0,0.03331,687.5,175.5,84.829,21.654,26.2320,-4.5144,1
0,0.03331,703.5,175.5,86.803,21.654,nan,nan,0
0,0.03331,719.5,175.5,88.777,21.654,40.0136,-2.9194,1
0,0.03331,735.5,175.5,90.751,21.654,nan,nan,0
0,0.03331,751.5,175.5,92.725,21.654,nan,nan,0
0,0.03331,767.5,175.5,94.699,21.654,34.0457,0.8879,1
0,0.03331,783.5,175.5,96.674,21.654,nan,nan,0
0,0.03331,799.5,175.5,98.648,21.654,nan,nan,0
0,0.03331,815.5,175.5,100.622,21.654,nan,nan,0
0,0.03331,831.5,175.5,102.596,21.654,nan,nan,0
0,0.03331,847.5,175.5,104.570,21.654,nan,nan,0
0,0.03331,863.5,175.5,106.545,21.654,27.2197,4.7613,1
0,0.03331,879.5,175.5,108.519,21.654,nan,nan,0
0,0.03331,895.5,175.5,110.493,21.654,21.9915,5.4569,1
0,0.03331,911.5,175.5,112.467,21.654,nan,nan,0
0,0.03331,927.5,175.5,114.441,21.654,nan,nan,0
0,0.03331,943.5,175.5,116.416,21.654,15.6571,8.3142,1
0,0.03331,959.5,175.5,118.390,21.654,25.1549,7.1271,1
0,0.03331,975.5,175.5,120.364,21.654,nan,nan,0
0,0.03331,991.5,175.5,122.338,21.654,nan,nan,0
0,0.03331,1007.5,175.5,124.312,21.654,nan,nan,0
0,0.03331,1023.5,175.5,126.287,21.654,3.0489,1.5799,1
0,0.03331,1039.5,175.5,128.261,21.654,2.0930,1.2450,1
0,0.03331,1055.5,175.5,130.235,21.654,1.5657,0.6372,1
0,0.03331,1071.5,175.5,132.209,21.654,0.1691,0.7420,1
0,0.03331,479.5,191.5,59.164,23.629,nan,nan,0
0,0.03331,495.5,191.5,61.138,23.629,nan,nan,0
0,0.03331,511.5,191.5,63.112,23.629,nan,nan,0
0,0.03331,527.5,191.5,65.087,23.629,nan,nan,0
0,0.03331,543.5,191.5,67.061,23.629,nan,nan,0
0,0.03331,559.5,191.5,69.035,23.629,nan,nan,0
0,0.03331,575.5,191.5,71.009,23.629,nan,nan,0
0,0.03331,591.5,191.5,72.983,23.629,nan,nan,0
0,0.03331,607.5,191.5,74.958,23.629,nan,nan,0
0,0.03331,623.5,191.5,76.932,23.629,nan,nan,0
