frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03331,791.753,527.276,97.6919,65.0590,0,0
1,0.06662,791.753,527.276,97.6919,65.0590,0,0
2,0.09993,791.753,527.276,97.6919,65.0590,0,0
3,0.13324,791.753,527.276,97.6919,65.0590,0,0
4,0.16655,791.753,527.276,97.6919,65.0590,0,0
5,0.19986,791.753,527.276,97.6919,65.0590,0,0
6,0.23317,791.753,527.276,97.6919,65.0590,0,0
7,0.26648,791.753,527.276,97.6919,65.0590,0,0
8,0.29979,791.753,527.276,97.6919,65.0590,0,0
9,0.33310,791.753,527.276,97.6919,65.0590,0,0
10,0.36641,791.753,527.276,97.6919,65.0590,0,0
11,0.39973,791.753,527.276,97.6919,65.0590,0,0
12,0.43304,791.753,527.276,97.6919,65.0590,0,0
13,0.46635,791.753,527.276,97.6919,65.0590,0,0
14,0.49966,791.753,527.276,97.6919,65.0590,0,0
15,0.53297,791.753,527.276,97.6919,65.0590,0,0
16,0.56628,791.753,527.276,97.6919,65.0590,0,0
17,0.59959,791.753,527.276,97.6919,65.0590,0,0
18,0.63290,791.753,527.276,97.6919,65.0590,0,0
19,0.66621,791.753,527.276,97.6919,65.0590,0,0
20,0.69952,791.753,527.276,97.6919,65.0590,0,0
21,0.73283,791.753,527.276,97.6919,65.0590,0,0
22,0.76614,791.753,527.276,97.6919,65.0590,0,0
23,0.79945,791.753,527.276,97.6919,65.0590,0,0
24,0.83276,791.753,527.276,97.6919,65.0590,0,0
25,0.86607,791.753,527.276,97.6919,65.0590,0,0
26,0.89938,791.753,527.276,97.6919,65.0590,0,0
27,0.93269,791.753,527.276,97.6919,65.0590,0,0
28,0.96600,791.753,527.276,97.6919,65.0590,0,0
29,0.99931,791.753,527.276,97.6919,65.0590,0,0
30,1.03262,791.753,527.276,97.6919,65.0590,0,0
31,1.06593,791.753,527.276,97.6919,65.0590,0,0
32,1.09924,791.753,527.276,97.6919,65.0590,0,0
33,1.13255,791.753,527.276,97.6919,65.0590,0,0
34,1.16587,791.753,527.276,97.6919,65.0590,0,0
35,1.19918,791.753,527.276,97.6919,65.0590,0,0
36,1.23249,791.753,527.276,97.6919,65.0590,0,0
37,1.26580,791.753,527.276,97.6919,65.0590,0,0
38,1.29911,791.753,527.276,97.6919,65.0590,0,0
39,1.33242,791.753,527.276,97.6919,65.0590,0,0
40,1.36573,791.753,527.276,97.6919,65.0590,0,0
41,1.39904,791.753,527.276,97.6919,65.0590,0,0
42,1.43235,791.753,527.276,97.6919,65.0590,0,0
43,1.46566,791.753,527.276,97.6919,65.0590,0,0
44,1.49897,791.753,527.276,97.6919,65.0590,0,0
45,1.53228,791.753,527.276,97.6919,65.0590,0,0
46,1.56559,791.753,527.276,97.6919,65.0590,0,0
47,1.59890,791.753,527.276,97.6919,65.0590,0,0
48,1.63221,791.753,527.276,97.6919,65.0590,0,0
49,1.66552,791.753,527.276,97.6919,65.0590,0,0
50,1.69883,791.753,527.276,97.6919,65.0590,0,0
51,1.73214,791.753,527.276,97.6919,65.0590,0,0
52,1.76545,791.753,527.276,97.6919,65.0590,0,0
53,1.79876,791.753,527.276,97.6919,65.0590,0,0
54,1.83207,791.753,527.276,97.6919,65.0590,0,0
55,1.86538,791.753,527.276,97.6919,65.0590,0,0
56,1.89870,791.753,527.276,97.6919,65.0590,0,0
57,1.93201,791.753,527.276,97.6919,65.0590,0,0
58,1.96532,791.753,527.276,97.6919,65.0590,0,0
59,1.99863,791.753,527.276,97.6919,65.0590,0,0
60,2.03194,791.753,527.276,97.6919,65.0590,0,0
61,2.06525,791.753,527.276,97.6919,65.0590,0,0
62,2.09856,791.753,527.276,97.6919,65.0590,0,0
63,2.13187,791.753,527.276,97.6919,65.0590,0,0
64,2.16518,791.753,527.276,97.6919,65.0590,0,0
65,2.19849,791.753,527.276,97.6919,65.0590,0,0
66,2.23180,791.753,527.276,97.6919,65.0590,0,0
67,2.26511,791.753,527.276,97.6919,65.0590,0,0
68,2.29842,791.753,527.276,97.6919,65.0590,0,0
69,2.33173,791.753,527.276,97.6919,65.0590,0,0
70,2.36504,791.753,527.276,97.6919,65.0590,0,0
71,2.39835,791.753,527.276,97.6919,65.0590,0,0
72,2.43166,791.753,527.276,97.6919,65.0590,0,0
73,2.46497,791.753,527.276,97.6919,65.0590,0,0
74,2.49828,791.753,527.276,97.6919,65.0590,0,0
75,2.53159,791.753,527.276,97.6919,65.0590,0,0
76,2.56490,791.753,527.276,97.6919,65.0590,0,0
77,2.59821,791.753,527.276,97.6919,65.0590,0,0
78,2.63152,791.753,527.276,97.6919,65.0590,0,0
79,2.66484,791.753,527.276,97.6919,65.0590,0,0
80,2.69815,791.753,527.276,97.6919,65.0590,0,0
81,2.73146,791.753,527.276,97.6919,65.0590,0,0
82,2.76477,791.753,527.276,97.6919,65.0590,0,0
83,2.79808,791.753,527.276,97.6919,65.0590,0,0
84,2.83139,791.753,527.276,97.6919,65.0590,0,0
85,2.86470,791.753,527.276,97.6919,65.0590,0,0
86,2.89801,791.753,527.276,97.6919,65.0590,0,0
87,2.93132,791.753,527.276,97.6919,65.0590,0,0
88,2.96463,791.753,527.276,97.6919,65.0590,0,0
89,2.99794,791.753,527.276,97.6919,65.0590,0,0
