frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03342,639.5,271.5,73.968,31.403,nan,nan,0
0,0.03342,655.5,271.5,75.818,31.403,nan,nan,0
0,0.03342,671.5,271.5,77.669,31.403,nan,nan,0
0,0.03342,687.5,271.5,79.520,31.403,nan,nan,0
0,0.03342,703.5,271.5,81.370,31.403,5.8773,1.0482,1
0,0.03342,719.5,271.5,83.221,31.403,nan,nan,0
0,0.03342,735.5,271.5,85.072,31.403,10.8540,-0.2707,1
0,0.03342,751.5,271.5,86.922,31.403,nan,nan,0
0,0.03342,767.5,271.5,88.773,31.403,nan,nan,0
0,0.03342,783.5,271.5,90.624,31.403,0.0470,0.3305,1
0,0.03342,799.5,271.5,92.474,31.403,0.7078,0.4016,1
0,0.03342,815.5,271.5,94.325,31.403,nan,nan,0
0,0.03342,591.5,287.5,68.416,33.254,nan,nan,0
0,0.03342,607.5,287.5,70.266,33.254,nan,nan,0
0,0.03342,623.5,287.5,72.117,33.254,nan,nan,0
0,0.03342,639.5,287.5,73.968,33.254,nan,nan,0
0,0.03342,655.5,287.5,75.818,33.254,nan,nan,0
0,0.03342,671.5,287.5,77.669,33.254,nan,nan,0
0,0.03342,687.5,287.5,79.520,33.254,nan,nan,0
0,0.03342,703.5,287.5,81.370,33.254,nan,nan,0
0,0.03342,719.5,287.5,83.221,33.254,nan,nan,0
0,0.03342,735.5,287.5,85.072,33.254,10.0148,-0.1572,1
0,0.03342,751.5,287.5,86.922,33.254,nan,nan,0
0,0.03342,767.5,287.5,88.773,33.254,nan,nan,0
0,0.03342,783.5,287.5,90.624,33.254,nan,nan,0
0,0.03342,799.5,287.5,92.474,33.254,nan,nan,0
0,0.03342,815.5,287.5,94.325,33.254,6.6979,0.9875,1
0,0.03342,831.5,287.5,96.175,33.254,nan,nan,0
0,0.03342,847.5,287.5,98.026,33.254,9.6839,0.8394,1
0,0.03342,863.5,287.5,99.877,33.254,0.9989,0.1124,1
0,0.03342,559.5,303.5,64.715,35.104,1.0849,-1.2180,1
0,0.03342,575.5,303.5,66.565,35.104,nan,nan,0
0,0.03342,591.5,303.5,68.416,35.104,5.9719,-0.7449,1
0,0.03342,607.5,303.5,70.266,35.104,nan,nan,0
0,0.03342,623.5,303.5,72.117,35.104,1.1679,-2.1482,1
0,0.03342,639.5,303.5,73.968,35.104,6.0755,-3.1650,1
0,0.03342,655.5,303.5,75.818,35.104,nan,nan,0
0,0.03342,671.5,303.5,77.669,35.104,nan,nan,0
