frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03342,751.5,335.5,103.092,46.025,nan,nan,0
0,0.03342,767.5,335.5,105.287,46.025,nan,nan,0
0,0.03342,783.5,335.5,107.482,46.025,14.7612,2.1327,1
0,0.03342,799.5,335.5,109.677,46.025,15.3727,3.2029,1
0,0.03342,687.5,351.5,94.313,48.220,nan,nan,0
0,0.03342,703.5,351.5,96.508,48.220,nan,nan,0
0,0.03342,719.5,351.5,98.703,48.220,nan,nan,0
0,0.03342,735.5,351.5,100.898,48.220,nan,nan,0
0,0.03342,751.5,351.5,103.092,48.220,nan,nan,0
0,0.03342,767.5,351.5,105.287,48.220,nan,nan,0
0,0.03342,783.5,351.5,107.482,48.220,nan,nan,0
0,0.03342,799.5,351.5,109.677,48.220,17.9531,4.6751,1
0,0.03342,815.5,351.5,111.872,48.220,17.9575,7.0480,1
0,0.03342,831.5,351.5,114.067,48.220,17.8335,6.8945,1
0,0.03342,847.5,351.5,116.262,48.220,24.0352,15.5603,1
0,0.03342,863.5,351.5,118.457,48.220,nan,nan,0
0,0.03342,639.5,367.5,87.728,50.414,nan,nan,0
0,0.03342,655.5,367.5,89.923,50.414,nan,nan,0
0,0.03342,671.5,367.5,92.118,50.414,nan,nan,0
0,0.03342,687.5,367.5,94.313,50.414,nan,nan,0
0,0.03342,703.5,367.5,96.508,50.414,20.0481,-5.6401,1
0,0.03342,719.5,367.5,98.703,50.414,nan,nan,0
0,0.03342,735.5,367.5,100.898,50.414,nan,nan,0
0,0.03342,751.5,367.5,103.092,50.414,27.7340,0.4108,1
0,0.03342,767.5,367.5,105.287,50.414,nan,nan,0
0,0.03342,783.5,367.5,107.482,50.414,nan,nan,0
0,0.03342,799.5,367.5,109.677,50.414,22.0144,5.7196,1
0,0.03342,815.5,367.5,111.872,50.414,30.7646,9.8649,1
0,0.03342,831.5,367.5,114.067,50.414,20.9153,10.5293,1
0,0.03342,847.5,367.5,116.262,50.414,nan,nan,0
0,0.03342,863.5,367.5,118.457,50.414,17.3348,8.8102,1
0,0.03342,879.5,367.5,120.652,50.414,9.6172,3.1258,1
0,0.03342,895.5,367.5,122.847,50.414,7.0020,1.8458,1
0,0.03342,623.5,383.5,85.533,52.609,nan,nan,0
0,0.03342,639.5,383.5,87.728,52.609,nan,nan,0
0,0.03342,655.5,383.5,89.923,52.609,nan,nan,0
0,0.03342,671.5,383.5,92.118,52.609,nan,nan,0
0,0.03342,687.5,383.5,94.313,52.609,nan,nan,0
0,0.03342,703.5,383.5,96.508,52.609,nan,nan,0
0,0.03342,719.5,383.5,98.703,52.609,nan,nan,0
0,0.03342,735.5,383.5,100.898,52.609,nan,nan,0
0,0.03342,751.5,383.5,103.092,52.609,33.3293,0.2260,1
0,0.03342,767.5,383.5,105.287,52.609,24.6344,-0.0709,1
0,0.03342,783.5,383.5,107.482,52.609,24.4315,0.4380,1
0,0.03342,799.5,383.5,109.677,52.609,25.8154,7.6529,1
0,0.03342,815.5,383.5,111.872,52.609,29.4043,12.4981,1
0,0.03342,831.5,383.5,114.067,52.609,25.3327,13.3679,1
0,0.03342,847.5,383.5,116.262,52.609,26.8887,15.9347,1
0,0.03342,863.5,383.5,118.457,52.609,nan,nan,0
0,0.03342,879.5,383.5,120.652,52.609,nan,nan,0
0,0.03342,895.5,383.5,122.847,52.609,7.3859,4.4239,1
0,0.03342,911.5,383.5,125.042,52.609,7.1876,4.2713,1
0,0.03342,927.5,383.5,127.236,52.609,7.2899,5.1317,1
0,0.03342,607.5,399.5,83.338,54.804,6.1122,-10.5072,1
0,0.03342,623.5,399.5,85.533,54.804,11.5060,-9.2880,1
0,0.03342,639.5,399.5,87.728,54.804,22.8909,-14.2597,1
0,0.03342,655.5,399.5,89.923,54.804,nan,nan,0
0,0.03342,671.5,399.5,92.118,54.804,nan,nan,0
0,0.03342,687.5,399.5,94.313,54.804,nan,nan,0
0,0.03342,703.5,399.5,96.508,54.804,nan,nan,0
0,0.03342,719.5,399.5,98.703,54.804,nan,nan,0
0,0.03342,735.5,399.5,100.898,54.804,nan,nan,0
0,0.03342,751.5,399.5,103.092,54.804,nan,nan,0
0,0.03342,767.5,399.5,105.287,54.804,nan,nan,0
0,0.03342,783.5,399.5,107.482,54.804,25.8444,0.4844,1
0,0.03342,799.5,399.5,109.677,54.804,26.5737,2.8996,1
0,0.03342,815.5,399.5,111.872,54.804,24.8584,7.8355,1
0,0.03342,831.5,399.5,114.067,54.804,22.9329,10.0373,1
0,0.03342,847.5,399.5,116.262,54.804,nan,nan,0
0,0.03342,863.5,399.5,118.457,54.804,nan,nan,0
0,0.03342,879.5,399.5,120.652,54.804,14.0811,10.7651,1
0,0.03342,895.5,399.5,122.847,54.804,5.3338,5.1839,1
0,0.03342,911.5,399.5,125.042,54.804,nan,nan,0
0,0.03342,927.5,399.5,127.236,54.804,8.1228,7.5675,1
0,0.03342,943.5,399.5,129.431,54.804,17.5364,17.9612,1
0,0.03342,575.5,415.5,78.948,56.999,nan,nan,0
0,0.03342,591.5,415.5,81.143,56.999,nan,nan,0
0,0.03342,607.5,415.5,83.338,56.999,nan,nan,0
0,0.03342,623.5,415.5,85.533,56.999,11.8278,-13.5570,1
0,0.03342,639.5,415.5,87.728,56.999,20.4948,-16.6532,1
0,0.03342,655.5,415.5,89.923,56.999,30.8992,-17.1661,1
0,0.03342,671.5,415.5,92.118,56.999,nan,nan,0
0,0.03342,687.5,415.5,94.313,56.999,nan,nan,0
0,0.03342,703.5,415.5,96.508,56.999,nan,nan,0
0,0.03342,719.5,415.5,98.703,56.999,nan,nan,0
0,0.03342,735.5,415.5,100.898,56.999,nan,nan,0
0,0.03342,751.5,415.5,103.092,56.999,nan,nan,0
0,0.03342,767.5,415.5,105.287,56.999,nan,nan,0
0,0.03342,783.5,415.5,107.482,56.999,27.2472,3.2839,1
0,0.03342,799.5,415.5,109.677,56.999,27.5080,-0.4832,1
0,0.03342,815.5,415.5,111.872,56.999,25.3798,2.0968,1
0,0.03342,831.5,415.5,114.067,56.999,21.4654,5.5711,1
0,0.03342,847.5,415.5,116.262,56.999,17.3508,7.1241,1
0,0.03342,863.5,415.5,118.457,56.999,nan,nan,0
0,0.03342,879.5,415.5,120.652,56.999,11.2935,5.1654,1
0,0.03342,895.5,415.5,122.847,56.999,8.1178,7.1448,1
0,0.03342,911.5,415.5,125.042,56.999,nan,nan,0
0,0.03342,927.5,415.5,127.236,56.999,14.2789,18.6671,1
0,0.03342,943.5,415.5,129.431,56.999,8.5586,9.8574,1
0,0.03342,959.5,415.5,131.626,56.999,17.3233,8.6409,1
0,0.03342,575.5,431.5,78.948,59.194,nan,nan,0
0,0.03342,591.5,431.5,81.143,59.194,nan,nan,0
0,0.03342,607.5,431.5,83.338,59.194,5.4416,-12.4006,1
0,0.03342,623.5,431.5,85.533,59.194,8.6453,-13.1590,1
0,0.03342,639.5,431.5,87.728,59.194,19.2837,-13.4066,1
0,0.03342,655.5,431.5,89.923,59.194,29.0305,-12.2271,1
0,0.03342,671.5,431.5,92.118,59.194,nan,nan,0
0,0.03342,687.5,431.5,94.313,59.194,12.8584,-8.4485,1
0,0.03342,703.5,431.5,96.508,59.194,12.4054,-6.5363,1
0,0.03342,719.5,431.5,98.703,59.194,nan,nan,0
0,0.03342,735.5,431.5,100.898,59.194,nan,nan,0
0,0.03342,751.5,431.5,103.092,59.194,nan,nan,0
0,0.03342,767.5,431.5,105.287,59.194,nan,nan,0
0,0.03342,783.5,431.5,107.482,59.194,nan,nan,0
0,0.03342,799.5,431.5,109.677,59.194,nan,nan,0
