frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03322,800.377,578.766,109.7975,79.3964,1,58
1,0.06645,800.377,578.766,109.7975,79.3964,0,0
2,0.08306,800.377,578.766,109.7975,79.3964,0,56
3,0.13290,800.377,578.766,109.7975,79.3964,0,0
4,0.19935,805.964,583.189,110.5639,80.0031,1,126
5,0.23257,805.051,585.055,110.4387,80.2591,1,96
6,0.26580,805.074,582.965,110.4418,79.9724,1,60
7,0.29902,805.074,582.965,110.4418,79.9724,0,72
8,0.33225,805.074,582.965,110.4418,79.9724,0,77
9,0.36547,805.074,582.965,110.4418,79.9724,0,0
10,0.39870,805.074,582.965,110.4418,79.9724,0,0
11,0.43192,797.969,589.501,109.4672,80.8690,1,110
12,0.46514,797.969,589.501,109.4672,80.8690,0,83
13,0.49837,797.969,589.501,109.4672,80.8690,0,62
14,0.53159,797.969,589.501,109.4672,80.8690,0,0
15,0.56482,797.969,589.501,109.4672,80.8690,0,0
16,0.59804,797.969,589.501,109.4672,80.8690,0,84
17,0.63127,797.969,589.501,109.4672,80.8690,0,0
18,0.66449,797.969,589.501,109.4672,80.8690,0,0
19,0.69772,797.969,589.501,109.4672,80.8690,0,0
20,0.73094,797.969,589.501,109.4672,80.8690,0,0
21,0.76417,797.969,589.501,109.4672,80.8690,0,96
22,0.79739,797.969,589.501,109.4672,80.8690,0,0
23,0.83061,797.969,589.501,109.4672,80.8690,0,0
24,0.86384,797.969,589.501,109.4672,80.8690,0,0
25,0.89706,797.969,589.501,109.4672,80.8690,0,0
26,0.93029,797.969,589.501,109.4672,80.8690,0,0
27,0.96351,797.969,589.501,109.4672,80.8690,0,0
28,0.99674,797.969,589.501,109.4672,80.8690,0,0
29,1.02996,797.969,589.501,109.4672,80.8690,0,0
30,1.06319,797.969,589.501,109.4672,80.8690,0,44
31,1.09641,797.969,589.501,109.4672,80.8690,0,77
32,1.12964,797.969,589.501,109.4672,80.8690,0,0
33,1.16286,797.969,589.501,109.4672,80.8690,0,0
34,1.19609,797.969,589.501,109.4672,80.8690,0,0
35,1.22931,797.969,589.501,109.4672,80.8690,0,0
36,1.26253,797.969,589.501,109.4672,80.8690,0,0
37,1.29576,797.969,589.501,109.4672,80.8690,0,0
38,1.32898,797.969,589.501,109.4672,80.8690,0,0
39,1.36221,797.969,589.501,109.4672,80.8690,0,0
40,1.39543,797.969,589.501,109.4672,80.8690,0,0
41,1.42866,797.969,589.501,109.4672,80.8690,0,0
42,1.46188,797.969,589.501,109.4672,80.8690,0,0
43,1.49511,797.969,589.501,109.4672,80.8690,0,0
44,1.52833,797.969,589.501,109.4672,80.8690,0,0
45,1.56156,797.969,589.501,109.4672,80.8690,0,0
46,1.59478,797.969,589.501,109.4672,80.8690,0,0
47,1.62801,797.969,589.501,109.4672,80.8690,0,0
48,1.66123,797.969,589.501,109.4672,80.8690,0,70
49,1.69445,797.969,589.501,109.4672,80.8690,0,0
50,1.72768,797.969,589.501,109.4672,80.8690,0,0
51,1.76090,796.411,585.293,109.2535,80.2918,1,23
52,1.79413,796.411,585.293,109.2535,80.2918,0,0
53,1.82735,794.638,580.910,109.0102,79.6905,1,78
54,1.86058,794.638,580.910,109.0102,79.6905,0,0
55,1.89380,794.638,580.910,109.0102,79.6905,0,60
56,1.92703,796.753,578.139,109.3003,79.3104,1,39
57,1.96025,796.753,578.139,109.3003,79.3104,0,0
58,1.99348,796.753,578.139,109.3003,79.3104,0,77
59,2.02670,796.753,578.139,109.3003,79.3104,0,0
60,2.05992,796.753,578.139,109.3003,79.3104,0,0
61,2.09315,796.753,578.139,109.3003,79.3104,0,0
62,2.12637,796.753,578.139,109.3003,79.3104,0,0
63,2.15960,796.753,578.139,109.3003,79.3104,0,0
64,2.19282,796.753,578.139,109.3003,79.3104,0,92
65,2.22605,796.753,578.139,109.3003,79.3104,0,62
66,2.25927,796.753,578.139,109.3003,79.3104,0,0
67,2.29250,796.753,578.139,109.3003,79.3104,0,0
68,2.32572,796.753,578.139,109.3003,79.3104,0,88
69,2.35895,796.753,578.139,109.3003,79.3104,0,0
70,2.39217,796.753,578.139,109.3003,79.3104,0,0
71,2.42540,796.753,578.139,109.3003,79.3104,0,0
72,2.45862,796.753,578.139,109.3003,79.3104,0,0
73,2.49184,796.753,578.139,109.3003,79.3104,0,0
74,2.52507,806.833,592.796,110.6831,81.3211,1,67
75,2.55829,806.833,592.796,110.6831,81.3211,0,71
76,2.59152,806.833,592.796,110.6831,81.3211,0,81
77,2.62474,806.833,592.796,110.6831,81.3211,0,0
78,2.65797,806.833,592.796,110.6831,81.3211,0,0
79,2.69119,806.833,592.796,110.6831,81.3211,0,57
80,2.72442,806.833,592.796,110.6831,81.3211,0,0
81,2.75764,806.833,592.796,110.6831,81.3211,0,0
82,2.79087,806.833,592.796,110.6831,81.3211,0,0
83,2.82409,806.833,592.796,110.6831,81.3211,0,84
84,2.85732,806.833,592.796,110.6831,81.3211,0,0
85,2.89054,806.833,592.796,110.6831,81.3211,0,0
86,2.92376,806.833,592.796,110.6831,81.3211,0,70
87,2.95699,806.833,592.796,110.6831,81.3211,0,36
88,2.99021,806.833,592.796,110.6831,81.3211,0,0
