frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
1,0.000000,0.000000,1,854.808105,761.397888,92.198769,82.123634,96,1,810.387756,522.675659,87.407631,56.375286,71,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
5,0.033325,0.033325,1,819.340271,764.879456,88.373245,82.499153,105,1,811.962341,516.729004,87.577461,55.733891,58,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
7,0.066650,0.066650,1,783.882751,762.865356,84.548828,82.281914,99,1,812.099854,509.139282,87.592300,54.915268,65,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
9,0.099976,0.099976,1,746.807068,755.848938,80.549881,81.525124,95,1,816.064819,502.196533,88.019958,54.166428,68,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
13,0.133301,0.133301,1,713.730713,745.023376,76.982300,80.357498,103,1,817.616333,500.281921,88.187302,53.959919,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
17,0.166626,0.166626,1,681.071228,729.733765,73.459679,78.708366,100,1,817.143311,501.580414,88.136284,54.099976,57,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
20,0.199951,0.199951,1,650.817261,709.684021,70.196510,76.545830,109,1,817.570740,502.242554,88.182381,54.171391,65,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
22,0.233276,0.233276,1,623.904297,686.805054,67.293709,74.078125,105,1,817.249573,499.820557,88.147743,53.910156,57,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
25,0.266602,0.266602,1,598.524414,660.505310,64.556259,71.241455,104,1,818.794067,497.230682,88.314323,53.630814,66,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
28,0.300049,0.300049,1,576.985413,631.770203,62.233086,68.142120,99,1,817.599304,496.691223,88.185463,53.572628,68,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
31,0.333374,0.333374,1,559.956299,599.669067,60.396339,64.679718,101,1,817.786438,494.293030,88.205643,53.313965,61,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
34,0.366699,0.366699,1,548.454468,567.832947,59.155762,61.245911,106,1,817.892029,492.376648,88.217041,53.107265,57,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
37,0.400024,0.400024,1,541.228699,534.580505,58.376400,57.659328,104,1,817.718872,491.681335,88.198357,53.032269,69,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
40,0.433350,0.433350,1,537.928162,500.474548,58.020405,53.980698,99,1,820.812012,491.057220,88.531982,52.964951,73,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
43,0.466675,0.466675,1,538.957642,465.788910,58.131443,50.239536,99,1,823.793091,491.852539,88.853516,53.050735,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
46,1.654907,1.654907,1,544.121033,432.525635,58.688362,46.651794,102,1,825.753540,490.583344,89.064972,52.913841,66,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
50,1.688232,1.688232,1,553.537231,399.714325,59.703987,43.112797,105,1,828.213013,490.929321,89.330246,52.951157,71,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
53,1.721558,1.721558,1,567.265564,368.306152,61.184711,39.725140,94,1,831.244812,493.141724,89.657257,53.189785,48,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
55,1.754883,1.754883,1,584.994019,339.433044,63.096882,36.610916,97,1,831.995239,493.526337,89.738190,53.231266,57,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
57,1.788208,1.788208,1,606.021851,312.645264,65.364929,33.721615,98,1,833.193909,494.778839,89.867477,53.366364,66,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
60,1.821533,1.821533,1,631.618286,287.806152,68.125732,31.042490,103,1,830.845215,495.183350,89.614159,53.409992,60,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
64,1.854980,1.854980,1,659.397156,265.635284,71.121933,28.651161,94,1,829.470520,498.269012,89.465881,53.742809,66,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
66,1.888306,1.888306,1,689.684143,247.282227,74.388657,26.671619,92,1,828.511658,497.764771,89.362457,53.688423,66,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
70,1.921631,1.921631,1,721.361084,233.218872,77.805305,25.154758,110,1,829.369080,495.859314,89.454941,53.482903,59,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
74,1.954956,1.954956,1,755.875305,222.603516,81.527977,24.009798,105,1,830.038696,497.325256,89.527161,53.641018,38,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
76,1.988281,1.988281,1,792.481262,216.607178,85.476257,23.363039,99,1,828.247559,496.118622,89.333977,53.510872,54,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
79,2.021606,2.021606,1,829.611877,215.770813,89.481133,23.272829,100,1,828.549316,495.180542,89.366524,53.409687,75,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
81,2.054932,2.054932,1,866.870605,218.876907,93.499817,23.607849,97,1,831.051880,494.949066,89.636444,53.384724,57,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
85,2.088257,2.088257,1,901.729004,226.137390,97.259613,24.390959,89,1,832.876831,494.882233,89.833282,53.377514,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
88,2.121582,2.121582,1,936.715454,236.809204,101.033211,25.542009,88,1,833.516357,491.651276,89.902260,53.029026,62,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
