frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
1,0.000000,0.000000,1,839.920044,491.622681,90.592957,53.025944,115,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
4,0.033325,0.033325,1,843.548828,493.852448,90.984352,53.266441,82,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
7,0.066650,0.066650,1,845.259521,494.430481,91.168861,53.328789,112,1,617.164124,347.594513,66.566719,37.491203,429,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
11,0.100098,0.100098,1,845.877808,494.407684,91.235558,53.326332,90,1,651.643616,310.368713,70.285645,33.476067,422,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
13,0.133423,0.133423,1,845.889893,496.474213,91.236855,53.549225,80,1,690.165588,279.294800,74.440590,30.124462,424,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
16,0.166748,0.166748,1,847.335693,500.408386,91.392799,53.973560,91,1,732.744202,256.250732,79.033073,27.638952,454,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
19,0.200073,0.200073,1,850.183350,501.974487,91.699951,54.142479,109,1,778.572327,239.626984,83.976051,25.845932,441,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
22,0.233398,0.233398,1,851.879211,502.204620,91.882866,54.167301,113,1,825.460449,230.764908,89.033356,24.890078,442,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
24,0.266724,0.266724,1,849.656799,504.376984,91.643150,54.401608,115,1,872.313110,228.224594,94.086838,24.616081,454,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
28,0.300049,0.300049,1,850.035645,505.701996,91.684013,54.544521,123,1,918.526978,232.218781,99.071426,25.046890,427,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
30,0.333374,0.333374,1,848.135254,503.305054,91.479034,54.285992,133,1,962.664001,243.614655,103.832001,26.276039,419,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
34,0.366699,0.366699,1,846.457886,501.793488,91.298119,54.122955,133,1,1002.551147,261.675964,108.134193,28.224113,436,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
38,0.400024,0.400024,1,847.520569,497.779785,91.412743,53.690041,120,1,1037.884155,285.050964,111.945168,30.745319,424,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
40,0.433472,0.433472,1,841.782898,496.284790,90.793877,53.528793,175,1,1068.526489,312.573761,115.250221,33.713902,421,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
43,0.466797,0.466797,1,835.081909,495.829620,90.071121,53.479698,132,1,1094.368530,343.552399,118.037529,37.055225,416,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
46,0.500122,0.500122,1,838.385437,496.166962,90.427437,53.516083,148,1,1115.242798,376.923187,120.289001,40.654568,404,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
49,0.533447,0.533447,1,840.070068,495.363403,90.609131,53.429413,154,1,1130.533691,411.040436,121.938255,44.334419,403,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
51,0.566772,0.566772,1,840.940918,497.056885,90.703064,53.612068,129,1,1141.848267,446.302734,123.158638,48.137779,390,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
55,0.600098,0.600098,1,840.448669,501.786987,90.649971,54.122253,135,1,1148.548462,481.653870,123.881317,51.950718,386,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
59,0.633423,0.633423,1,840.581665,502.823151,90.664314,54.234013,134,1,1150.712036,516.785339,124.114685,55.739960,390,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
61,0.666748,0.666748,1,845.008667,506.762360,91.141815,54.658894,128,1,1150.379517,552.161682,124.078812,59.555618,375,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
64,0.700073,0.700073,1,845.459839,510.474365,91.190468,55.059265,110,1,1146.287476,586.884277,123.637444,63.300762,364,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
66,0.733521,0.733521,1,847.597473,515.653931,91.421036,55.617928,116,1,1139.485596,621.016541,122.903801,66.982239,368,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
70,0.766846,0.766846,1,850.161072,519.699097,91.697540,56.054234,141,1,1128.936035,653.428528,121.765938,70.478165,370,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
