frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
1,0.000000,0.000000,1,1032.793945,249.346497,111.396141,26.894270,149,1,848.451172,500.581543,91.513115,53.992237,78,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
4,0.033325,0.033325,1,1058.252075,270.139130,114.142029,29.136944,141,1,850.362549,500.840057,91.719276,54.020123,92,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
8,0.066650,0.066650,1,1082.328491,294.824249,116.738892,31.799456,141,1,851.863892,499.659363,91.881210,53.892773,73,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
10,0.099976,0.099976,1,1103.784912,321.173218,119.053162,34.641430,149,1,851.080872,502.591644,91.796753,54.209042,75,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
13,0.133362,0.133362,1,1121.942017,348.266052,121.011566,37.563637,141,1,849.475952,506.785370,91.623642,54.661377,90,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
18,0.166687,0.166687,1,1138.647339,378.292236,122.813393,40.802231,146,1,849.270508,511.353668,91.601486,55.154110,82,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
20,0.200012,0.200012,1,1151.898438,408.589233,124.242645,44.070038,145,1,848.123352,513.989563,91.477753,55.438412,92,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
22,0.233337,0.233337,1,1162.260254,439.514587,125.360252,47.405613,155,1,847.648865,517.574585,91.426582,55.825092,100,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
25,0.266724,0.266724,1,1169.708740,471.108826,126.163643,50.813339,139,1,844.480835,516.667175,91.084877,55.727219,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
27,0.300049,0.300049,1,1174.318481,502.518738,126.660843,54.201180,140,1,846.344543,514.469360,91.285896,55.490162,94,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
31,0.333374,0.333374,1,1175.089111,534.263672,126.743973,57.625160,131,1,845.942627,514.248230,91.242546,55.466312,87,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
34,0.366699,0.366699,1,1172.970093,566.850830,126.515411,61.139977,126,1,845.765930,513.753296,91.223488,55.412933,90,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
38,0.400024,0.400024,1,1168.997681,598.338440,126.086945,64.536201,144,1,845.519226,514.194885,91.196884,55.460560,86,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
40,0.433411,0.433411,1,1162.339600,629.806152,125.368820,67.930275,140,1,843.544250,517.976318,90.983864,55.868420,94,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
44,0.466736,0.466736,1,1152.725342,660.243408,124.331833,71.213203,144,1,842.330383,520.814880,90.852928,56.174583,101,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
46,0.500061,0.500061,1,1141.476562,688.773560,123.118553,74.290443,143,1,840.618225,520.651001,90.668259,56.156910,86,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
49,0.533386,0.533386,1,1126.781494,717.015442,121.533546,77.336586,146,1,836.101318,519.605469,90.181068,56.044140,94,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
53,0.566711,0.566711,1,1110.032837,743.886597,119.727058,80.234886,151,1,832.071106,521.064148,89.746376,56.201473,106,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
55,0.600098,0.600098,1,1092.135132,769.313965,117.796638,82.977455,153,1,832.078674,521.950562,89.747192,56.297077,90,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
58,0.633423,0.633423,1,1072.427124,793.266968,115.670944,85.561005,145,1,831.734070,521.706421,89.710022,56.270744,73,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
62,0.666748,0.666748,1,1051.003174,816.128845,113.360168,88.026855,157,1,831.733643,523.536133,89.709984,56.468094,88,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
64,0.700073,0.700073,1,1028.082886,837.337402,110.888016,90.314392,146,1,831.929321,522.210571,89.731087,56.325127,85,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
67,0.733459,0.733459,1,1004.038330,856.603821,108.294594,92.392448,148,1,831.221741,521.504456,89.654762,56.248959,82,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
71,0.766785,0.766785,1,980.137756,872.905579,105.716705,94.150742,148,1,828.985168,520.385803,89.413528,56.128307,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
73,0.800110,0.800110,1,954.303589,886.781738,102.930252,95.647408,151,1,827.410339,516.594055,89.243668,55.719330,108,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
76,0.833435,0.833435,1,929.428162,899.041626,100.247215,96.969749,145,1,827.159851,514.611877,89.216652,55.505535,106,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
80,0.866760,0.866760,1,903.844360,908.510437,97.487770,97.991051,147,1,828.560547,512.737305,89.367729,55.303345,109,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
83,0.900146,0.900146,1,877.557556,916.472107,94.652496,98.849785,141,1,827.323120,516.372864,89.234261,55.695473,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
85,0.933472,0.933472,1,851.743774,922.309021,91.868256,99.479355,142,1,826.842407,518.044922,89.182411,55.875820,92,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
89,0.966797,0.966797,1,825.658997,926.510620,89.054771,99.932533,149,1,824.290588,519.025635,88.907181,55.981598,99,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
91,1.000122,1.000122,1,799.984863,928.360107,86.285591,100.132019,155,1,822.280457,516.269653,88.690369,55.684338,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
94,1.033447,1.033447,1,774.259644,929.636353,83.510887,100.269669,150,1,822.178101,517.568665,88.679329,55.824448,78,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
96,1.066833,1.066833,1,749.039185,928.808960,80.790634,100.180428,145,1,823.453308,519.376160,88.816872,56.019405,79,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
100,1.100159,1.100159,1,723.749390,926.876526,78.062897,99.972000,147,1,824.464355,524.497192,88.925919,56.571754,84,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
103,1.133484,1.133484,1,699.175415,923.259216,75.412376,99.581841,139,1,820.405457,523.380310,88.488136,56.451290,83,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
107,1.166809,1.166809,1,675.741333,919.767273,72.884804,99.205200,141,1,819.147278,524.447693,88.352425,56.566418,63,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
109,1.200195,1.200195,1,652.375000,913.937378,70.364532,98.576393,146,1,811.434448,526.080017,87.520531,56.742474,81,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
112,1.233521,1.233521,1,630.140259,906.092651,67.966316,97.730263,140,1,809.460632,523.374146,87.307640,56.450626,77,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
116,1.266846,1.266846,1,608.539795,897.849548,65.636513,96.841179,139,1,812.046387,520.134521,87.586533,56.101204,55,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
