frame,t_s,t_b_s,a_p1_ok,a_p1_x_px,a_p1_y_px,a_p1_x_mm,a_p1_y_mm,a_p1_area,a_p2_ok,a_p2_x_px,a_p2_y_px,a_p2_x_mm,a_p2_y_mm,a_p2_area,b_p1_ok,b_p1_h_px,b_p1_z_px,b_p1_h_mm,b_p1_z_mm,b_p1_area,b_p2_ok,b_p2_h_px,b_p2_z_px,b_p2_h_mm,b_p2_z_mm,b_p2_area
1,0.000000,0.000000,1,818.201416,737.668762,88.250404,79.564232,16,1,703.429443,518.694580,75.871216,55.945892,110,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
3,0.033325,0.033325,1,801.018372,736.384705,86.397057,79.425735,15,1,717.515930,504.060272,77.390564,54.367447,114,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
6,0.066650,0.066650,1,786.008545,734.210083,84.778114,79.191185,17,1,732.349121,492.793762,78.990456,53.152252,114,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
8,0.099976,0.099976,1,768.214355,729.214355,82.858849,78.652351,15,1,750.013306,484.103790,80.895706,52.214962,109,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
11,0.133301,0.133301,1,751.181458,722.023621,81.021698,77.876762,13,1,767.918274,478.127655,82.826920,51.570381,105,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
14,0.166626,0.166626,1,737.291016,713.637878,79.523491,76.972290,9,1,787.486206,474.213196,84.937492,51.148174,109,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
17,0.199951,0.199951,1,721.977173,701.182617,77.871750,75.628868,11,1,806.439331,473.839844,86.981758,51.107903,98,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
19,0.233398,0.233398,1,710.206055,687.524597,76.602127,74.155731,9,1,825.901367,476.732971,89.080910,51.419952,92,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
21,0.266724,0.266724,1,697.768921,669.067200,75.260674,72.164940,6,1,844.499573,481.850098,91.086899,51.971882,98,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
23,0.300049,0.300049,1,691.510132,655.504333,74.585609,70.702057,4,1,847.000000,489.000000,91.356590,52.743061,1,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
26,0.333374,0.333374,0,0.000000,0.000000,0.000000,0.000000,0,1,879.324707,499.932159,94.843102,53.922195,109,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
28,0.366699,0.366699,0,0.000000,0.000000,0.000000,0.000000,0,1,895.102539,512.996155,96.544884,55.331264,105,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
30,0.400024,0.400024,0,0.000000,0.000000,0.000000,0.000000,0,1,907.919128,529.004700,97.927277,57.057930,104,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
32,0.433350,0.433350,0,0.000000,0.000000,0.000000,0.000000,0,1,917.460144,547.562622,98.956352,59.059570,103,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
35,0.466675,0.466675,0,0.000000,0.000000,0.000000,0.000000,0,1,924.847839,568.075073,99.753189,61.272022,117,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
39,0.500000,0.500000,0,0.000000,0.000000,0.000000,0.000000,0,1,927.727905,588.937927,100.063828,63.522270,119,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
41,0.533447,0.533447,0,0.000000,0.000000,0.000000,0.000000,0,1,927.946777,613.034546,100.087433,66.121307,117,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
43,0.566772,0.566772,0,0.000000,0.000000,0.000000,0.000000,0,1,921.595154,637.503601,99.402351,68.760513,118,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
46,0.600098,0.600098,0,0.000000,0.000000,0.000000,0.000000,0,1,910.113220,661.415283,98.163925,71.339607,117,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
48,0.633423,0.633423,0,0.000000,0.000000,0.000000,0.000000,0,1,892.772949,681.948975,96.293617,73.554352,125,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
