frame,t_s,t_b_s,a_ok,a_x_px,a_y_px,a_x_mm,a_y_mm,a_area,b_ok,b_h_px,b_z_px,b_h_mm,b_z_mm,b_area
1,0.000000,0.000000,1,905.267273,750.410156,117.048584,97.025978,7,0,0.000000,0.000000,0.000000,0.000000,0
2,0.066650,0.066650,1,880.865234,756.456543,113.893463,97.807755,13,0,0.000000,0.000000,0.000000,0.000000,0
4,0.100098,0.100098,1,870.591187,759.618774,112.565056,98.216629,11,0,0.000000,0.000000,0.000000,0.000000,0
5,0.133545,0.133545,1,856.550415,763.093018,110.749619,98.665840,4,0,0.000000,0.000000,0.000000,0.000000,0
6,0.166748,0.166748,1,845.180725,764.771057,109.279556,98.882805,10,0,0.000000,0.000000,0.000000,0.000000,0
8,0.200195,0.200195,1,834.453247,766.836914,107.892517,99.149918,13,0,0.000000,0.000000,0.000000,0.000000,0
9,0.233398,0.233398,1,822.750916,767.271057,106.379440,99.206047,8,0,0.000000,0.000000,0.000000,0.000000,0
10,0.266846,0.266846,1,811.442383,767.586792,104.917282,99.246872,19,0,0.000000,0.000000,0.000000,0.000000,0
11,0.300049,0.300049,1,803.429504,768.001343,103.881241,99.300468,22,0,0.000000,0.000000,0.000000,0.000000,0
13,0.333496,0.333496,1,790.688782,766.613831,102.233894,99.121071,11,0,0.000000,0.000000,0.000000,0.000000,0
14,0.366699,0.366699,1,778.835266,765.435303,100.701271,98.968689,11,0,0.000000,0.000000,0.000000,0.000000,0
15,0.400146,0.400146,1,772.333313,765.644470,99.860588,98.995728,3,0,0.000000,0.000000,0.000000,0.000000,0
16,0.433594,0.433594,1,756.340149,762.571411,97.792709,98.598396,9,0,0.000000,0.000000,0.000000,0.000000,0
17,0.466797,0.466797,1,748.682556,760.671936,96.802605,98.352798,6,0,0.000000,0.000000,0.000000,0.000000,0
19,0.500244,0.500244,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
20,0.533447,0.533447,1,727.536560,756.099792,94.068489,97.761635,14,0,0.000000,0.000000,0.000000,0.000000,0
21,0.566895,0.566895,1,719.623657,753.107544,93.045372,97.374741,3,0,0.000000,0.000000,0.000000,0.000000,0
23,0.633545,0.633545,0,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0
25,0.666748,0.666748,1,694.362183,737.010803,89.779129,95.293480,6,0,0.000000,0.000000,0.000000,0.000000,0
26,0.700195,0.700195,1,683.799988,731.572815,88.413467,94.590363,12,0,0.000000,0.000000,0.000000,0.000000,0
27,0.733643,0.733643,1,677.570801,728.869263,87.608047,94.240807,14,0,0.000000,0.000000,0.000000,0.000000,0
29,0.766846,0.766846,1,668.735352,721.849854,86.465652,93.333214,12,0,0.000000,0.000000,0.000000,0.000000,0
30,0.800293,0.800293,1,664.005432,717.367554,85.854080,92.753662,11,0,0.000000,0.000000,0.000000,0.000000,0
