frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.01323,601.851,360.152,114.9959,68.8145,1,278
1,0.04476,602.138,359.514,115.0507,68.6926,1,281
2,0.07912,602.534,358.863,115.1265,68.5681,1,277
3,0.11081,602.905,358.263,115.1973,68.4535,1,280
4,0.14272,603.262,357.590,115.2655,68.3249,1,280
5,0.17318,603.639,357.008,115.3376,68.2137,1,282
6,0.20295,604.071,356.434,115.4201,68.1041,1,279
7,0.23501,604.566,355.810,115.5147,67.9848,1,280
8,0.26727,605.026,355.190,115.6026,67.8663,1,281
9,0.29886,605.474,354.539,115.6883,67.7419,1,279
10,0.33120,605.959,353.916,115.7809,67.6229,1,280
11,0.36326,606.486,353.338,115.8817,67.5125,1,282
12,0.39461,607.056,352.734,115.9904,67.3970,1,280
13,0.42774,607.667,352.070,116.1072,67.2701,1,280
14,0.46002,608.277,351.414,116.2238,67.1449,1,277
15,0.48885,608.822,350.853,116.3279,67.0377,1,279
16,0.51929,609.406,350.304,116.4396,66.9327,1,279
17,0.55042,610.076,349.700,116.5675,66.8174,1,277
18,0.58045,610.750,349.120,116.6963,66.7065,1,284
19,0.61214,611.453,348.547,116.8306,66.5971,1,280
20,0.64386,612.165,348.018,116.9666,66.4961,1,280
21,0.67499,612.852,347.450,117.0979,66.3874,1,281
22,0.70703,613.606,346.816,117.2420,66.2662,1,282
23,0.73906,614.336,346.234,117.3815,66.1550,1,280
24,0.77053,615.079,345.623,117.5234,66.0384,1,279
25,0.80122,615.875,345.058,117.6756,65.9303,1,279
26,0.83213,616.657,344.550,117.8250,65.8334,1,281
27,0.86410,617.500,343.961,117.9860,65.7207,1,278
28,0.89537,618.282,343.358,118.1354,65.6056,1,279
29,0.92513,619.046,342.827,118.2815,65.5041,1,280
30,0.95534,619.947,342.314,118.4535,65.4061,1,284
31,0.98772,620.791,341.734,118.6149,65.2953,1,280
32,1.03249,622.041,340.982,118.8537,65.1515,1,279
33,1.07623,623.289,340.254,119.0921,65.0126,1,279
34,1.10820,624.206,339.644,119.2673,64.8960,1,280
35,1.13974,625.137,339.123,119.4452,64.7964,1,281
36,1.16896,625.931,338.666,119.5970,64.7090,1,278
37,1.19945,626.866,338.170,119.7755,64.6143,1,280
38,1.23141,627.814,337.652,119.9568,64.5154,1,279
39,1.26257,628.772,337.147,120.1399,64.4188,1,282
40,1.29463,629.772,336.604,120.3308,64.3151,1,277
41,1.32660,630.726,336.085,120.5131,64.2159,1,280
42,1.35769,631.653,335.630,120.6903,64.1291,1,281
43,1.38950,632.626,335.102,120.8761,64.0281,1,279
44,1.42134,633.625,334.591,121.0671,63.9305,1,280
45,1.45301,634.618,334.136,121.2568,63.8435,1,278
46,1.48565,635.626,333.664,121.4494,63.7533,1,282
47,1.51883,636.681,333.190,121.6509,63.6628,1,278
48,1.55082,637.679,332.732,121.8417,63.5753,1,278
49,1.58263,638.680,332.254,122.0329,63.4839,1,279
50,1.61449,639.695,331.818,122.2268,63.4006,1,278
51,1.64548,640.629,331.429,122.4052,63.3263,1,280
52,1.67742,641.645,330.987,122.5994,63.2419,1,280
53,1.70928,642.627,330.534,122.7871,63.1554,1,280
54,1.74004,643.580,330.140,122.9692,63.0801,1,277
55,1.77156,644.575,329.741,123.1592,63.0038,1,282
56,1.80368,645.610,329.338,123.3571,62.9268,1,278
57,1.83438,646.570,328.935,123.5404,62.8498,1,280
58,1.86445,647.473,328.544,123.7130,62.7751,1,277
59,1.89513,648.387,328.194,123.8877,62.7081,1,278
60,1.92593,649.357,327.819,124.0729,62.6365,1,282
61,1.95746,650.364,327.440,124.2653,62.5642,1,279
62,1.98901,651.249,327.107,124.4344,62.5005,1,280
63,2.01989,652.202,326.771,124.6166,62.4363,1,280
64,2.05328,653.236,326.373,124.8142,62.3602,1,279
65,2.08398,654.110,326.055,124.9811,62.2994,1,282
66,2.11015,654.862,325.834,125.1248,62.2573,1,278
67,2.14001,655.685,325.523,125.2821,62.1978,1,279
68,2.17189,656.640,325.206,125.4646,62.1374,1,280
69,2.20178,657.543,324.898,125.6370,62.0784,1,281
70,2.23172,658.391,324.624,125.7992,62.0260,1,278
71,2.26184,659.198,324.312,125.9532,61.9665,1,281
72,2.29198,660.015,324.012,126.1094,61.9091,1,279
73,2.32221,660.847,323.817,126.2684,61.8719,1,278
74,2.35269,661.636,323.571,126.4190,61.8248,1,280
75,2.38394,662.466,323.327,126.5777,61.7782,1,279
76,2.41592,663.257,323.090,126.7289,61.7330,1,280
77,2.44728,664.036,322.912,126.8777,61.6990,1,280
78,2.47646,664.760,322.688,127.0160,61.6561,1,280
79,2.50641,665.489,322.427,127.1554,61.6063,1,280
80,2.53761,666.253,322.200,127.3013,61.5628,1,277
81,2.56852,667.015,322.003,127.4468,61.5254,1,280
82,2.60055,667.766,321.828,127.5903,61.4918,1,280
83,2.63265,668.499,321.655,127.7304,61.4588,1,278
84,2.66190,669.104,321.509,127.8460,61.4309,1,278
85,2.69150,669.681,321.350,127.9563,61.4005,1,279
86,2.72300,670.337,321.179,128.0816,61.3679,1,278
87,2.75474,671.000,321.027,128.2082,61.3387,1,279
88,2.78575,671.628,320.864,128.3284,61.3077,1,280
89,2.81564,672.160,320.759,128.4300,61.2875,1,279
90,2.84621,672.715,320.694,128.5360,61.2752,1,281
91,2.87797,673.306,320.573,128.6490,61.2520,1,280
92,2.90939,673.833,320.445,128.7496,61.2276,1,283
93,2.93981,674.312,320.312,128.8412,61.2021,1,280
94,2.97015,674.821,320.267,128.9385,61.1935,1,279
95,3.00093,675.290,320.190,129.0280,61.1789,1,279
96,3.03294,675.713,320.127,129.1088,61.1668,1,280
97,3.06682,676.182,320.106,129.1984,61.1628,1,280
98,3.09928,676.587,320.030,129.2758,61.1483,1,279
99,3.13103,676.999,320.002,129.3546,61.1430,1,277
100,3.16421,677.407,320.004,129.4325,61.1433,1,277
101,3.19628,677.680,319.990,129.4847,61.1406,1,281
102,3.22783,678.047,319.995,129.5548,61.1416,1,281
103,3.26037,678.391,320.018,129.6205,61.1459,1,277
104,3.29293,678.576,320.014,129.6558,61.1452,1,280
105,3.32463,678.825,320.044,129.7035,61.1510,1,279
106,3.35711,679.133,320.065,129.7622,61.1549,1,282
107,3.38989,679.336,320.060,129.8011,61.1541,1,279
108,3.42170,679.483,320.087,129.8291,61.1592,1,280
109,3.45428,679.630,320.148,129.8572,61.1708,1,279
110,3.50125,679.806,320.313,129.8908,61.2024,1,281
111,3.54766,679.925,320.485,129.9137,61.2352,1,278
112,3.57988,679.933,320.578,129.9151,61.2531,1,278
113,3.61182,679.940,320.669,129.9165,61.2704,1,279
114,3.64380,679.928,320.771,129.9141,61.2899,1,277
115,3.67669,679.914,320.912,129.9115,61.3168,1,281
116,3.70882,679.907,321.124,129.9101,61.3573,1,283
117,3.73954,679.832,321.266,129.8959,61.3845,1,279
