frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,interpolado
0,0.03952,1119.5,143.5,218.460,28.003,11.2357,-0.3680,1
0,0.03952,1135.5,143.5,221.583,28.003,13.3851,5.2755,0
0,0.03952,1151.5,143.5,224.705,28.003,18.1508,4.2666,1
0,0.03952,1039.5,159.5,202.849,31.125,1.8109,-0.4552,0
0,0.03952,1055.5,159.5,205.971,31.125,-12.3181,-1.1213,0
0,0.03952,1071.5,159.5,209.093,31.125,16.2605,-0.8470,0
0,0.03952,1087.5,159.5,212.216,31.125,16.1665,-3.1617,0
0,0.03952,1103.5,159.5,215.338,31.125,17.0382,-2.8692,0
0,0.03952,1119.5,159.5,218.460,31.125,-6.2358,-6.8219,0
0,0.03952,1135.5,159.5,221.583,31.125,20.7553,2.9437,0
0,0.03952,1151.5,159.5,224.705,31.125,18.7582,2.2501,0
0,0.03952,1167.5,159.5,227.827,31.125,19.7047,6.5970,0
0,0.03952,1183.5,159.5,230.949,31.125,25.0703,8.2224,0
0,0.03952,1199.5,159.5,234.072,31.125,26.9691,8.6147,1
0,0.03952,1215.5,159.5,237.194,31.125,24.4639,7.7418,1
0,0.03952,1231.5,159.5,240.316,31.125,25.8517,4.7730,0
0,0.03952,1247.5,159.5,243.438,31.125,31.9814,5.3210,0
0,0.03952,991.5,175.5,193.482,34.247,15.3638,-5.1051,1
0,0.03952,1007.5,175.5,196.604,34.247,1.8109,-0.4552,1
0,0.03952,1023.5,175.5,199.727,34.247,1.8109,-0.4552,1
0,0.03952,1039.5,175.5,202.849,34.247,-5.2536,-0.7882,1
0,0.03952,1055.5,175.5,205.971,34.247,1.9177,-0.8078,1
0,0.03952,1071.5,175.5,209.093,34.247,6.7029,-1.7100,1
0,0.03952,1087.5,175.5,212.216,34.247,16.4884,-2.2926,1
0,0.03952,1103.5,175.5,215.338,34.247,8.9896,-4.2843,1
0,0.03952,1119.5,175.5,218.460,34.247,10.5192,-2.2491,1
0,0.03952,1135.5,175.5,221.583,34.247,11.0926,-0.5427,1
0,0.03952,1151.5,175.5,224.705,34.247,20.9952,4.1094,1
0,0.03952,1167.5,175.5,227.827,34.247,24.7627,4.6470,0
0,0.03952,1183.5,175.5,230.949,34.247,31.9659,7.7391,0
0,0.03952,1199.5,175.5,234.072,34.247,24.7264,8.9346,0
0,0.03952,1215.5,175.5,237.194,34.247,26.1138,9.5625,0
0,0.03952,1231.5,175.5,240.316,34.247,21.1636,7.6972,0
0,0.03952,1247.5,175.5,243.438,34.247,32.6785,6.8503,0
0,0.03952,1263.5,175.5,246.561,34.247,4.4450,6.2332,0
0,0.03952,1279.5,175.5,249.683,34.247,1.4792,5.1702,0
0,0.03952,1295.5,175.5,252.805,34.247,12.7956,7.8599,1
0,0.03952,959.5,191.5,187.238,37.369,22.0593,-8.7194,1
0,0.03952,975.5,191.5,190.360,37.369,22.4191,-8.7927,1
0,0.03952,991.5,191.5,193.482,37.369,22.9180,-9.0831,1
0,0.03952,1007.5,191.5,196.604,37.369,14.3072,-2.0895,1
0,0.03952,1023.5,191.5,199.727,37.369,12.3348,-2.0456,1
0,0.03952,1039.5,191.5,202.849,37.369,12.8725,-2.0342,1
0,0.03952,1055.5,191.5,205.971,37.369,13.4128,-2.0737,1
0,0.03952,1071.5,191.5,209.093,37.369,15.2481,-2.1464,1
0,0.03952,1087.5,191.5,212.216,37.369,14.3336,-2.7483,1
0,0.03952,1103.5,191.5,215.338,37.369,11.9991,-2.9420,1
0,0.03952,1119.5,191.5,218.460,37.369,10.2005,-2.3587,1
0,0.03952,1135.5,191.5,221.583,37.369,16.8424,1.4912,1
0,0.03952,1151.5,191.5,224.705,37.369,24.7627,4.6470,1
0,0.03952,1167.5,191.5,227.827,37.369,28.3643,6.1930,1
0,0.03952,1183.5,191.5,230.949,37.369,27.8276,7.6832,1
0,0.03952,1199.5,191.5,234.072,37.369,29.8552,9.4121,0
0,0.03952,1215.5,191.5,237.194,37.369,33.9573,11.3385,0
0,0.03952,1231.5,191.5,240.316,37.369,26.3433,10.0278,0
0,0.03952,1247.5,191.5,243.438,37.369,20.4774,7.4355,1
0,0.03952,1263.5,191.5,246.561,37.369,9.0902,7.1351,0
0,0.03952,1279.5,191.5,249.683,37.369,22.1463,10.2461,0
0,0.03952,1295.5,191.5,252.805,37.369,16.3616,11.5785,1
0,0.03952,1311.5,191.5,255.927,37.369,14.7612,8.1635,0
0,0.03952,1327.5,191.5,259.050,37.369,20.4443,10.9129,0
0,0.03952,927.5,207.5,180.993,40.492,20.5507,-8.3177,1
0,0.03952,943.5,207.5,184.115,40.492,21.3398,-8.5728,1
0,0.03952,959.5,207.5,187.238,40.492,21.9202,-8.5023,1
0,0.03952,975.5,207.5,190.360,40.492,22.9180,-9.0831,1
0,0.03952,991.5,207.5,193.482,40.492,23.7228,-9.0704,1
0,0.03952,1007.5,207.5,196.604,40.492,28.0868,-3.9171,1
0,0.03952,1023.5,207.5,199.727,40.492,26.8035,-3.7238,1
0,0.03952,1039.5,207.5,202.849,40.492,25.9784,-3.2151,1
0,0.03952,1055.5,207.5,205.971,40.492,25.9784,-3.2151,1
0,0.03952,1071.5,207.5,209.093,40.492,25.1532,-2.7063,1
0,0.03952,1087.5,207.5,212.216,40.492,26.6442,-2.9202,1
0,0.03952,1103.5,207.5,215.338,40.492,18.0637,-2.7921,1
0,0.03952,1119.5,207.5,218.460,40.492,15.9512,0.2094,1
0,0.03952,1135.5,207.5,221.583,40.492,24.7627,4.6470,1
0,0.03952,1151.5,207.5,224.705,40.492,26.5635,5.4200,1
0,0.03952,1167.5,207.5,227.827,40.492,27.7025,6.9838,1
0,0.03952,1183.5,207.5,230.949,40.492,29.8552,9.4121,1
