frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03952,1142.386,549.896,222.9262,107.3072,0,0
1,0.07904,1142.386,549.896,222.9262,107.3072,0,0
2,0.11855,1142.386,549.896,222.9262,107.3072,0,0
3,0.15807,1142.386,549.896,222.9262,107.3072,0,0
4,0.19759,1142.386,549.896,222.9262,107.3072,0,0
5,0.23711,1142.386,549.896,222.9262,107.3072,0,0
6,0.27662,1142.386,549.896,222.9262,107.3072,0,0
7,0.31614,1142.386,549.896,222.9262,107.3072,0,0
8,0.35566,1142.386,549.896,222.9262,107.3072,0,0
9,0.39518,1142.386,549.896,222.9262,107.3072,0,0
10,0.43469,1142.386,549.896,222.9262,107.3072,0,0
11,0.47421,1142.386,549.896,222.9262,107.3072,0,0
12,0.51373,1142.386,549.896,222.9262,107.3072,0,0
13,0.55325,1142.386,549.896,222.9262,107.3072,0,0
14,0.59276,1142.386,549.896,222.9262,107.3072,0,0
15,0.63228,1142.386,549.896,222.9262,107.3072,0,0
16,0.67180,1142.386,549.896,222.9262,107.3072,0,0
17,0.71132,1142.386,549.896,222.9262,107.3072,0,0
18,0.75083,1142.386,549.896,222.9262,107.3072,0,0
19,0.79035,1142.386,549.896,222.9262,107.3072,0,0
20,0.82987,1142.386,549.896,222.9262,107.3072,0,0
21,0.86939,1142.386,549.896,222.9262,107.3072,0,0
22,0.90890,1142.386,549.896,222.9262,107.3072,0,0
23,0.94842,1142.386,549.896,222.9262,107.3072,0,0
24,0.98794,1142.386,549.896,222.9262,107.3072,0,0
25,1.02746,1142.386,549.896,222.9262,107.3072,0,0
26,1.06698,1142.386,549.896,222.9262,107.3072,0,0
27,1.10649,1142.386,549.896,222.9262,107.3072,0,0
28,1.14601,1142.386,549.896,222.9262,107.3072,0,0
