frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.06061,687.5,95.5,201.239,27.954,2.1302,0.1178,1
0,0.06061,703.5,95.5,205.923,27.954,17.1581,-1.2977,1
0,0.06061,719.5,95.5,210.606,27.954,12.1921,-0.7575,1
0,0.06061,735.5,95.5,215.289,27.954,4.9799,-0.5353,1
0,0.06061,751.5,95.5,219.973,27.954,nan,nan,0
0,0.06061,767.5,95.5,224.656,27.954,15.5478,0.2627,1
0,0.06061,783.5,95.5,229.340,27.954,12.9527,4.4874,1
0,0.06061,799.5,95.5,234.023,27.954,13.6627,3.3234,1
0,0.06061,639.5,111.5,187.189,32.637,nan,nan,0
0,0.06061,655.5,111.5,191.873,32.637,nan,nan,0
0,0.06061,671.5,111.5,196.556,32.637,nan,nan,0
0,0.06061,687.5,111.5,201.239,32.637,nan,nan,0
0,0.06061,703.5,111.5,205.923,32.637,nan,nan,0
0,0.06061,719.5,111.5,210.606,32.637,19.1795,-1.3055,1
0,0.06061,735.5,111.5,215.289,32.637,nan,nan,0
0,0.06061,751.5,111.5,219.973,32.637,18.9571,2.1971,1
0,0.06061,767.5,111.5,224.656,32.637,19.6188,2.9116,1
0,0.06061,783.5,111.5,229.340,32.637,17.2706,5.3146,1
0,0.06061,799.5,111.5,234.023,32.637,17.2506,4.8800,1
0,0.06061,815.5,111.5,238.706,32.637,16.4078,5.6243,1
0,0.06061,831.5,111.5,243.390,32.637,nan,nan,0
0,0.06061,847.5,111.5,248.073,32.637,nan,nan,0
0,0.06061,607.5,127.5,177.822,37.321,nan,nan,0
0,0.06061,623.5,127.5,182.506,37.321,nan,nan,0
0,0.06061,639.5,127.5,187.189,37.321,nan,nan,0
0,0.06061,655.5,127.5,191.873,37.321,nan,nan,0
0,0.06061,671.5,127.5,196.556,37.321,nan,nan,0
0,0.06061,687.5,127.5,201.239,37.321,nan,nan,0
0,0.06061,703.5,127.5,205.923,37.321,nan,nan,0
0,0.06061,719.5,127.5,210.606,37.321,nan,nan,0
0,0.06061,735.5,127.5,215.289,37.321,nan,nan,0
0,0.06061,751.5,127.5,219.973,37.321,nan,nan,0
0,0.06061,767.5,127.5,224.656,37.321,nan,nan,0
0,0.06061,783.5,127.5,229.340,37.321,nan,nan,0
0,0.06061,799.5,127.5,234.023,37.321,21.3353,7.0492,1
0,0.06061,815.5,127.5,238.706,37.321,20.9505,7.5097,1
0,0.06061,831.5,127.5,243.390,37.321,nan,nan,0
0,0.06061,847.5,127.5,248.073,37.321,14.2846,4.6617,1
0,0.06061,863.5,127.5,252.757,37.321,9.4252,3.9636,1
0,0.06061,879.5,127.5,257.440,37.321,13.0134,6.9913,1
0,0.06061,591.5,143.5,173.139,42.004,nan,nan,0
0,0.06061,607.5,143.5,177.822,42.004,nan,nan,0
0,0.06061,623.5,143.5,182.506,42.004,12.6128,-4.9572,1
0,0.06061,639.5,143.5,187.189,42.004,14.2622,-5.0009,1
0,0.06061,655.5,143.5,191.873,42.004,nan,nan,0
0,0.06061,671.5,143.5,196.556,42.004,nan,nan,0
0,0.06061,687.5,143.5,201.239,42.004,16.4223,-2.7578,1
0,0.06061,703.5,143.5,205.923,42.004,16.5890,-2.1900,1
0,0.06061,719.5,143.5,210.606,42.004,nan,nan,0
0,0.06061,735.5,143.5,215.289,42.004,nan,nan,0
0,0.06061,751.5,143.5,219.973,42.004,nan,nan,0
0,0.06061,767.5,143.5,224.656,42.004,nan,nan,0
0,0.06061,783.5,143.5,229.340,42.004,nan,nan,0
0,0.06061,799.5,143.5,234.023,42.004,nan,nan,0
0,0.06061,815.5,143.5,238.706,42.004,nan,nan,0
0,0.06061,831.5,143.5,243.390,42.004,nan,nan,0
0,0.06061,847.5,143.5,248.073,42.004,19.1879,7.5424,1
0,0.06061,863.5,143.5,252.757,42.004,12.4732,7.8480,1
0,0.06061,879.5,143.5,257.440,42.004,15.6908,10.0562,1
0,0.06061,895.5,143.5,262.123,42.004,nan,nan,0
0,0.06061,911.5,143.5,266.807,42.004,12.4112,8.8451,1
0,0.06061,575.5,159.5,168.456,46.688,nan,nan,0
0,0.06061,591.5,159.5,173.139,46.688,nan,nan,0
0,0.06061,607.5,159.5,177.822,46.688,nan,nan,0
0,0.06061,623.5,159.5,182.506,46.688,15.6672,-6.4761,1
0,0.06061,639.5,159.5,187.189,46.688,17.3635,-6.3874,1
0,0.06061,655.5,159.5,191.873,46.688,nan,nan,0
0,0.06061,671.5,159.5,196.556,46.688,nan,nan,0
0,0.06061,687.5,159.5,201.239,46.688,19.6350,-3.3686,1
0,0.06061,703.5,159.5,205.923,46.688,20.6427,-2.6705,1
0,0.06061,719.5,159.5,210.606,46.688,nan,nan,0
0,0.06061,735.5,159.5,215.289,46.688,nan,nan,0
0,0.06061,751.5,159.5,219.973,46.688,nan,nan,0
0,0.06061,767.5,159.5,224.656,46.688,nan,nan,0
0,0.06061,783.5,159.5,229.340,46.688,nan,nan,0
0,0.06061,799.5,159.5,234.023,46.688,20.5919,3.9372,1
0,0.06061,815.5,159.5,238.706,46.688,20.4204,5.5770,1
0,0.06061,831.5,159.5,243.390,46.688,19.2471,6.7741,1
0,0.06061,847.5,159.5,248.073,46.688,16.4599,7.4714,1
0,0.06061,863.5,159.5,252.757,46.688,15.6594,8.2570,1
0,0.06061,879.5,159.5,257.440,46.688,12.8879,7.4309,1
0,0.06061,895.5,159.5,262.123,46.688,14.9542,13.6819,1
0,0.06061,911.5,159.5,266.807,46.688,11.4791,11.0640,1
0,0.06061,927.5,159.5,271.490,46.688,3.0485,10.6448,1
0,0.06061,559.5,175.5,163.772,51.371,nan,nan,0
0,0.06061,575.5,175.5,168.456,51.371,nan,nan,0
0,0.06061,591.5,175.5,173.139,51.371,nan,nan,0
0,0.06061,607.5,175.5,177.822,51.371,nan,nan,0
0,0.06061,623.5,175.5,182.506,51.371,17.7805,-7.6416,1
0,0.06061,639.5,175.5,187.189,51.371,19.1813,-7.1292,1
0,0.06061,655.5,175.5,191.873,51.371,19.9290,-5.5761,1
0,0.06061,671.5,175.5,196.556,51.371,nan,nan,0
0,0.06061,687.5,175.5,201.239,51.371,nan,nan,0
0,0.06061,703.5,175.5,205.923,51.371,nan,nan,0
0,0.06061,719.5,175.5,210.606,51.371,nan,nan,0
0,0.06061,735.5,175.5,215.289,51.371,22.8774,-1.6565,1
0,0.06061,751.5,175.5,219.973,51.371,22.5632,-0.2615,1
0,0.06061,767.5,175.5,224.656,51.371,nan,nan,0
0,0.06061,783.5,175.5,229.340,51.371,nan,nan,0
0,0.06061,799.5,175.5,234.023,51.371,22.4696,4.3148,1
0,0.06061,815.5,175.5,238.706,51.371,22.1424,6.3497,1
0,0.06061,831.5,175.5,243.390,51.371,20.7982,7.9440,1
0,0.06061,847.5,175.5,248.073,51.371,18.1542,9.3039,1
0,0.06061,863.5,175.5,252.757,51.371,19.5284,11.3239,1
0,0.06061,879.5,175.5,257.440,51.371,14.2371,9.2293,1
0,0.06061,895.5,175.5,262.123,51.371,16.7411,15.9711,1
0,0.06061,911.5,175.5,266.807,51.371,12.8212,12.5122,1
0,0.06061,927.5,175.5,271.490,51.371,4.4294,1.8848,1
0,0.06061,943.5,175.5,276.173,51.371,2.2722,1.1673,1
0,0.06061,543.5,191.5,159.089,56.054,nan,nan,0
0,0.06061,559.5,191.5,163.772,56.054,nan,nan,0
0,0.06061,575.5,191.5,168.456,56.054,nan,nan,0
0,0.06061,591.5,191.5,173.139,56.054,nan,nan,0
0,0.06061,607.5,191.5,177.822,56.054,nan,nan,0
0,0.06061,623.5,191.5,182.506,56.054,20.0670,-8.2897,1
0,0.06061,639.5,191.5,187.189,56.054,20.0039,-7.3907,1
0,0.06061,655.5,191.5,191.873,56.054,21.5970,-6.5165,1
0,0.06061,671.5,191.5,196.556,56.054,nan,nan,0
0,0.06061,687.5,191.5,201.239,56.054,24.1889,-4.9010,1
0,0.06061,703.5,191.5,205.923,56.054,25.6724,-3.7981,1
0,0.06061,719.5,191.5,210.606,56.054,nan,nan,0
0,0.06061,735.5,191.5,215.289,56.054,25.6674,-1.8040,1
0,0.06061,751.5,191.5,219.973,56.054,25.1344,-0.2652,1
0,0.06061,767.5,191.5,224.656,56.054,24.1641,0.4613,1
0,0.06061,783.5,191.5,229.340,56.054,22.8569,2.0054,1
0,0.06061,799.5,191.5,234.023,56.054,21.4896,3.6912,1
0,0.06061,815.5,191.5,238.706,56.054,nan,nan,0
0,0.06061,831.5,191.5,243.390,56.054,nan,nan,0
0,0.06061,847.5,191.5,248.073,56.054,19.3531,10.6581,1
0,0.06061,863.5,191.5,252.757,56.054,19.5184,11.7309,1
0,0.06061,879.5,191.5,257.440,56.054,16.1809,10.6982,1
0,0.06061,895.5,191.5,262.123,56.054,nan,nan,0
0,0.06061,911.5,191.5,266.807,56.054,8.4131,5.4496,1
0,0.06061,927.5,191.5,271.490,56.054,5.2770,12.7939,1
0,0.06061,943.5,191.5,276.173,56.054,2.3780,19.5181,1
0,0.06061,959.5,191.5,280.857,56.054,2.0229,11.8750,1
0,0.06061,527.5,207.5,154.405,60.738,nan,nan,0
0,0.06061,543.5,207.5,159.089,60.738,nan,nan,0
0,0.06061,559.5,207.5,163.772,60.738,12.7493,-13.2560,1
0,0.06061,575.5,207.5,168.456,60.738,14.2373,-13.3435,1
