frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03269,879.5,127.5,168.403,24.413,39.6331,-14.7228,1
0,0.03269,895.5,127.5,171.467,24.413,41.3608,-14.4084,1
0,0.03269,911.5,127.5,174.530,24.413,42.7541,-5.1709,1
0,0.03269,927.5,127.5,177.594,24.413,43.0148,-10.6075,1
0,0.03269,943.5,127.5,180.658,24.413,42.0549,-8.1263,1
0,0.03269,959.5,127.5,183.721,24.413,59.4473,-5.5778,1
0,0.03269,975.5,127.5,186.785,24.413,nan,nan,0
0,0.03269,991.5,127.5,189.848,24.413,52.1739,-2.9877,1
0,0.03269,1007.5,127.5,192.912,24.413,45.1733,-6.0909,1
0,0.03269,1023.5,127.5,195.976,24.413,43.7434,1.5780,1
0,0.03269,1039.5,127.5,199.039,24.413,43.2587,2.2011,1
0,0.03269,1055.5,127.5,202.103,24.413,45.6706,2.8373,1
0,0.03269,1071.5,127.5,205.167,24.413,43.2660,3.4455,1
0,0.03269,831.5,143.5,159.212,27.477,40.3878,-18.9597,1
0,0.03269,847.5,143.5,162.276,27.477,40.9399,-16.8991,1
0,0.03269,863.5,143.5,165.340,27.477,43.0723,-13.4674,1
0,0.03269,879.5,143.5,168.403,27.477,48.4103,-10.8420,1
0,0.03269,895.5,143.5,171.467,27.477,43.0041,-17.2348,1
0,0.03269,911.5,143.5,174.530,27.477,44.4426,-14.0085,1
0,0.03269,927.5,143.5,177.594,27.477,38.3372,-8.6090,1
0,0.03269,943.5,143.5,180.658,27.477,41.0132,-7.2018,1
0,0.03269,959.5,143.5,183.721,27.477,58.0416,-4.8615,1
0,0.03269,975.5,143.5,186.785,27.477,59.3566,-3.5736,1
0,0.03269,991.5,143.5,189.848,27.477,53.7689,-1.9691,1
0,0.03269,1007.5,143.5,192.912,27.477,nan,nan,0
0,0.03269,1023.5,143.5,195.976,27.477,nan,nan,0
0,0.03269,1039.5,143.5,199.039,27.477,nan,nan,0
0,0.03269,1055.5,143.5,202.103,27.477,45.3214,-2.9280,1
0,0.03269,1071.5,143.5,205.167,27.477,45.5606,-2.2513,1
0,0.03269,1087.5,143.5,208.230,27.477,46.7914,-0.4069,1
0,0.03269,1103.5,143.5,211.294,27.477,46.1724,3.7048,1
0,0.03269,1119.5,143.5,214.357,27.477,45.3000,4.8733,1
0,0.03269,799.5,159.5,153.085,30.540,37.6368,-23.7308,1
0,0.03269,815.5,159.5,156.149,30.540,37.7300,-23.2879,1
0,0.03269,831.5,159.5,159.212,30.540,nan,nan,0
0,0.03269,847.5,159.5,162.276,30.540,nan,nan,0
0,0.03269,863.5,159.5,165.340,30.540,45.2343,-19.1686,1
0,0.03269,879.5,159.5,168.403,30.540,45.1396,-17.9482,1
0,0.03269,895.5,159.5,171.467,30.540,45.7515,-19.0243,1
0,0.03269,911.5,159.5,174.530,30.540,44.3115,-20.9491,1
0,0.03269,927.5,159.5,177.594,30.540,nan,nan,0
0,0.03269,943.5,159.5,180.658,30.540,44.6591,-7.9517,1
0,0.03269,959.5,159.5,183.721,30.540,nan,nan,0
0,0.03269,975.5,159.5,186.785,30.540,nan,nan,0
0,0.03269,991.5,159.5,189.848,30.540,44.1946,1.2655,1
0,0.03269,1007.5,159.5,192.912,30.540,nan,nan,0
0,0.03269,1023.5,159.5,195.976,30.540,47.1837,3.0578,1
0,0.03269,1039.5,159.5,199.039,30.540,47.8752,2.3592,1
0,0.03269,1055.5,159.5,202.103,30.540,47.8682,-5.9717,1
0,0.03269,1071.5,159.5,205.167,30.540,46.5280,-5.3860,1
0,0.03269,1087.5,159.5,208.230,30.540,48.9799,-2.6693,1
0,0.03269,1103.5,159.5,211.294,30.540,47.7131,0.7998,1
0,0.03269,1119.5,159.5,214.357,30.540,48.2886,5.4275,1
0,0.03269,1135.5,159.5,217.421,30.540,43.6543,7.2404,1
0,0.03269,1151.5,159.5,220.485,30.540,43.1421,9.2092,1
0,0.03269,767.5,175.5,146.958,33.604,nan,nan,0
0,0.03269,783.5,175.5,150.021,33.604,32.6867,-34.2329,1
0,0.03269,799.5,175.5,153.085,33.604,35.6890,-23.1226,1
0,0.03269,815.5,175.5,156.149,33.604,34.3888,-23.3745,1
0,0.03269,831.5,175.5,159.212,33.604,33.9589,-27.8150,1
0,0.03269,847.5,175.5,162.276,33.604,36.7272,-22.5539,1
0,0.03269,863.5,175.5,165.340,33.604,54.9859,-16.7000,1
0,0.03269,879.5,175.5,168.403,33.604,44.0264,-17.4702,1
0,0.03269,895.5,175.5,171.467,33.604,45.3856,-20.5539,1
0,0.03269,911.5,175.5,174.530,33.604,44.0419,-24.8637,1
0,0.03269,927.5,175.5,177.594,33.604,43.8640,-19.8600,1
0,0.03269,943.5,175.5,180.658,33.604,nan,nan,0
0,0.03269,959.5,175.5,183.721,33.604,nan,nan,0
0,0.03269,975.5,175.5,186.785,33.604,nan,nan,0
0,0.03269,991.5,175.5,189.848,33.604,45.9195,12.3347,1
0,0.03269,1007.5,175.5,192.912,33.604,44.9061,8.6907,1
0,0.03269,1023.5,175.5,195.976,33.604,48.6479,0.8875,1
0,0.03269,1039.5,175.5,199.039,33.604,50.1782,-1.1490,1
0,0.03269,1055.5,175.5,202.103,33.604,nan,nan,0
0,0.03269,1071.5,175.5,205.167,33.604,61.0603,4.4060,1
0,0.03269,1087.5,175.5,208.230,33.604,52.6313,-0.6946,1
0,0.03269,1103.5,175.5,211.294,33.604,44.9424,-0.5993,1
0,0.03269,1119.5,175.5,214.357,33.604,47.8489,7.2391,1
0,0.03269,1135.5,175.5,217.421,33.604,44.8945,8.3654,1
0,0.03269,1151.5,175.5,220.485,33.604,41.9493,9.0187,1
0,0.03269,1167.5,175.5,223.548,33.604,38.9384,-2.0457,1
0,0.03269,1183.5,175.5,226.612,33.604,nan,nan,0
0,0.03269,735.5,191.5,140.831,36.668,nan,nan,0
0,0.03269,751.5,191.5,143.894,36.668,28.1463,-25.0825,1
0,0.03269,767.5,191.5,146.958,36.668,nan,nan,0
0,0.03269,783.5,191.5,150.021,36.668,33.1643,-30.9566,1
0,0.03269,799.5,191.5,153.085,36.668,34.6831,-28.9799,1
0,0.03269,815.5,191.5,156.149,36.668,37.2267,-28.8984,1
0,0.03269,831.5,191.5,159.212,36.668,nan,nan,0
0,0.03269,847.5,191.5,162.276,36.668,nan,nan,0
0,0.03269,863.5,191.5,165.340,36.668,nan,nan,0
0,0.03269,879.5,191.5,168.403,36.668,45.4244,-22.9737,1
0,0.03269,895.5,191.5,171.467,36.668,45.6602,-22.1437,1
0,0.03269,911.5,191.5,174.530,36.668,43.9218,-22.2889,1
0,0.03269,927.5,191.5,177.594,36.668,44.4612,-12.1219,1
0,0.03269,943.5,191.5,180.658,36.668,27.3245,-5.8820,1
0,0.03269,959.5,191.5,183.721,36.668,nan,nan,0
0,0.03269,975.5,191.5,186.785,36.668,38.8782,0.9568,1
0,0.03269,991.5,191.5,189.848,36.668,nan,nan,0
