frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03460,1010.000,530.104,192.7155,101.1478,0,0
1,0.06920,1010.000,530.104,192.7155,101.1478,0,0
2,0.10381,1010.000,530.104,192.7155,101.1478,0,0
3,0.13841,1010.000,530.104,192.7155,101.1478,0,0
4,0.17301,1010.000,530.104,192.7155,101.1478,0,0
5,0.20761,1010.000,530.104,192.7155,101.1478,0,0
6,0.24221,1010.000,530.104,192.7155,101.1478,0,0
7,0.27682,1010.000,530.104,192.7155,101.1478,0,0
8,0.31142,1010.000,530.104,192.7155,101.1478,0,0
9,0.34602,1010.000,530.104,192.7155,101.1478,0,0
10,0.38062,1010.000,530.104,192.7155,101.1478,0,0
11,0.41522,1010.000,530.104,192.7155,101.1478,0,0
12,0.44983,1010.000,530.104,192.7155,101.1478,0,0
13,0.48443,1010.000,530.104,192.7155,101.1478,0,0
14,0.51903,1010.000,530.104,192.7155,101.1478,0,0
15,0.55363,1010.000,530.104,192.7155,101.1478,0,0
16,0.58824,1010.000,530.104,192.7155,101.1478,0,0
17,0.62284,1010.000,530.104,192.7155,101.1478,0,0
18,0.65744,1010.000,530.104,192.7155,101.1478,0,0
19,0.69204,1010.000,530.104,192.7155,101.1478,0,0
20,0.72664,1010.000,530.104,192.7155,101.1478,0,0
21,0.76125,1010.000,530.104,192.7155,101.1478,0,0
22,0.79585,1010.000,530.104,192.7155,101.1478,0,0
23,0.83045,1010.000,530.104,192.7155,101.1478,0,0
24,0.86505,1010.000,530.104,192.7155,101.1478,0,0
25,0.89965,1010.000,530.104,192.7155,101.1478,0,0
26,0.93426,1010.000,530.104,192.7155,101.1478,0,0
27,0.96886,1010.000,530.104,192.7155,101.1478,0,0
28,1.00346,1010.000,530.104,192.7155,101.1478,0,0
29,1.03806,1010.000,530.104,192.7155,101.1478,0,0
30,1.07266,1010.000,530.104,192.7155,101.1478,0,0
31,1.10727,1010.000,530.104,192.7155,101.1478,0,0
32,1.14187,1010.000,530.104,192.7155,101.1478,0,0
33,1.17647,1010.000,530.104,192.7155,101.1478,0,0
34,1.21107,1010.000,530.104,192.7155,101.1478,0,0
35,1.24567,1010.000,530.104,192.7155,101.1478,0,0
36,1.28028,1010.000,530.104,192.7155,101.1478,0,0
37,1.31488,1010.000,530.104,192.7155,101.1478,0,0
38,1.34948,1010.000,530.104,192.7155,101.1478,0,0
39,1.38408,1010.000,530.104,192.7155,101.1478,0,0
40,1.41869,1010.000,530.104,192.7155,101.1478,0,0
41,1.45329,1010.000,530.104,192.7155,101.1478,0,0
42,1.50519,1010.000,530.104,192.7155,101.1478,0,0
43,1.53979,1010.000,530.104,192.7155,101.1478,0,0
44,1.59170,1010.000,530.104,192.7155,101.1478,0,0
45,1.62630,1010.000,530.104,192.7155,101.1478,0,0
