frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
14,0.49362,1009.485,549.896,193.1712,105.2261,0,0
1,0.06170,1009.485,549.896,193.1712,105.2261,0,0
2,0.09255,1009.485,549.896,193.1712,105.2261,0,0
3,0.12341,1009.485,549.896,193.1712,105.2261,0,0
4,0.15426,1009.485,549.896,193.1712,105.2261,0,0
5,0.20053,1009.485,549.896,193.1712,105.2261,0,0
6,0.23139,1009.485,549.896,193.1712,105.2261,0,0
7,0.27766,1009.485,549.896,193.1712,105.2261,0,0
8,0.30851,1009.485,549.896,193.1712,105.2261,0,0
9,0.33937,1009.485,549.896,193.1712,105.2261,0,0
10,0.37022,1009.485,549.896,193.1712,105.2261,0,0
11,0.40107,1009.485,549.896,193.1712,105.2261,0,0
12,0.43192,1009.485,549.896,193.1712,105.2261,0,0
13,0.46277,1009.485,549.896,193.1712,105.2261,0,0
14,0.49362,1009.485,549.896,193.1712,105.2261,0,0
15,0.52447,1009.485,549.896,193.1712,105.2261,0,0
16,0.55533,1009.485,549.896,193.1712,105.2261,0,0
17,0.60160,1009.485,549.896,193.1712,105.2261,0,0
18,0.63245,1009.485,549.896,193.1712,105.2261,0,0
19,0.67873,1009.485,549.896,193.1712,105.2261,0,0
20,0.70958,1009.485,549.896,193.1712,105.2261,0,0
21,0.74043,1009.485,549.896,193.1712,105.2261,0,0
22,0.77129,1009.485,549.896,193.1712,105.2261,0,0
23,0.80214,1009.485,549.896,193.1712,105.2261,0,0
24,0.83299,1009.485,549.896,193.1712,105.2261,0,0
25,0.86384,1009.485,549.896,193.1712,105.2261,0,0
26,0.89469,1009.485,549.896,193.1712,105.2261,0,0
27,0.92554,1009.485,549.896,193.1712,105.2261,0,0
28,0.95639,1009.485,549.896,193.1712,105.2261,0,0
29,0.98725,1009.485,549.896,193.1712,105.2261,0,0
30,1.03352,1009.485,549.896,193.1712,105.2261,0,0
31,1.06437,1009.485,549.896,193.1712,105.2261,0,0
32,1.11065,1009.485,549.896,193.1712,105.2261,0,0
33,1.14150,1009.485,549.896,193.1712,105.2261,0,0
34,1.17235,1009.485,549.896,193.1712,105.2261,0,0
35,1.20320,1009.485,549.896,193.1712,105.2261,0,0
36,1.23406,1009.485,549.896,193.1712,105.2261,0,0
37,1.26491,1009.485,549.896,193.1712,105.2261,0,0
38,1.29576,1009.485,549.896,193.1712,105.2261,0,0
39,1.32661,1009.485,549.896,193.1712,105.2261,0,0
40,1.35746,1009.485,549.896,193.1712,105.2261,0,0
41,1.38831,1009.485,549.896,193.1712,105.2261,0,0
42,1.43459,1009.485,549.896,193.1712,105.2261,0,0
43,1.46544,1009.485,549.896,193.1712,105.2261,0,0
44,1.51172,1009.485,549.896,193.1712,105.2261,0,0
45,1.54257,1009.485,549.896,193.1712,105.2261,0,0
46,1.57342,1009.485,549.896,193.1712,105.2261,0,0
47,1.60427,1009.485,549.896,193.1712,105.2261,0,0
48,1.63512,1009.485,549.896,193.1712,105.2261,0,0
49,1.66598,1009.485,549.896,193.1712,105.2261,0,0
50,1.69683,1009.485,549.896,193.1712,105.2261,0,0
51,1.72768,1009.485,549.896,193.1712,105.2261,0,0
52,1.75853,1009.485,549.896,193.1712,105.2261,0,0
53,1.78938,1009.485,549.896,193.1712,105.2261,0,0
54,1.83566,1009.485,549.896,193.1712,105.2261,0,0
55,1.86651,1009.485,549.896,193.1712,105.2261,0,0
56,1.91279,1009.485,549.896,193.1712,105.2261,0,0
57,1.94364,1009.485,549.896,193.1712,105.2261,0,0
58,1.97449,1009.485,549.896,193.1712,105.2261,0,0
59,2.00534,1009.485,549.896,193.1712,105.2261,0,0
60,2.03619,1009.485,549.896,193.1712,105.2261,0,0
61,2.06704,1009.485,549.896,193.1712,105.2261,0,0
62,2.09790,1009.485,549.896,193.1712,105.2261,0,0
63,2.12875,1009.485,549.896,193.1712,105.2261,0,0
64,2.15960,1009.485,549.896,193.1712,105.2261,0,0
65,2.19045,1009.485,549.896,193.1712,105.2261,0,0
66,2.23673,1009.485,549.896,193.1712,105.2261,0,0
67,2.26758,1009.485,549.896,193.1712,105.2261,0,0
68,2.31386,1009.485,549.896,193.1712,105.2261,0,0
69,2.34471,1009.485,549.896,193.1712,105.2261,0,0
70,2.37556,1009.485,549.896,193.1712,105.2261,0,0
71,2.40641,1009.485,549.896,193.1712,105.2261,0,0
72,2.43726,1009.485,549.896,193.1712,105.2261,0,0
73,2.46811,1009.485,549.896,193.1712,105.2261,0,0
74,2.49896,1009.485,549.896,193.1712,105.2261,0,0
75,2.52982,1009.485,549.896,193.1712,105.2261,0,0
76,2.56067,1009.485,549.896,193.1712,105.2261,0,0
77,2.59152,1009.485,549.896,193.1712,105.2261,0,0
78,2.63780,1009.485,549.896,193.1712,105.2261,0,0
79,2.66865,1009.485,549.896,193.1712,105.2261,0,0
80,2.71492,1009.485,549.896,193.1712,105.2261,0,0
81,2.74578,1009.485,549.896,193.1712,105.2261,0,0
82,2.77663,1009.485,549.896,193.1712,105.2261,0,0
83,2.80748,1009.485,549.896,193.1712,105.2261,0,0
84,2.83833,1009.485,549.896,193.1712,105.2261,0,0
85,2.86918,1009.485,549.896,193.1712,105.2261,0,0
86,2.90003,1009.485,549.896,193.1712,105.2261,0,0
87,2.93088,1009.485,549.896,193.1712,105.2261,0,0
88,2.96174,1009.485,549.896,193.1712,105.2261,0,0
89,2.99259,1009.485,549.896,193.1712,105.2261,0,0
