frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03085,959.5,159.5,183.606,30.521,34.8968,-2.8078,1
0,0.03085,975.5,159.5,186.668,30.521,35.7724,-3.2160,1
0,0.03085,991.5,159.5,189.730,30.521,nan,nan,0
0,0.03085,1007.5,159.5,192.791,30.521,27.7597,0.3945,1
0,0.03085,1023.5,159.5,195.853,30.521,nan,nan,0
0,0.03085,1039.5,159.5,198.915,30.521,34.1511,2.8500,1
0,0.03085,1055.5,159.5,201.977,30.521,33.7657,3.7278,1
0,0.03085,1071.5,159.5,205.038,30.521,33.4454,4.2237,1
0,0.03085,895.5,175.5,171.360,33.583,37.9996,-19.8634,1
0,0.03085,911.5,175.5,174.421,33.583,26.6115,-19.1143,1
0,0.03085,927.5,175.5,177.483,33.583,nan,nan,0
0,0.03085,943.5,175.5,180.545,33.583,36.2308,-5.8855,1
0,0.03085,959.5,175.5,183.606,33.583,36.1620,-3.0537,1
0,0.03085,975.5,175.5,186.668,33.583,nan,nan,0
0,0.03085,991.5,175.5,189.730,33.583,35.9241,-4.1373,1
0,0.03085,1007.5,175.5,192.791,33.583,34.0271,-1.2465,1
0,0.03085,1023.5,175.5,195.853,33.583,32.5797,1.0139,1
0,0.03085,1039.5,175.5,198.915,33.583,34.2656,2.7287,1
0,0.03085,1055.5,175.5,201.977,33.583,34.0272,4.0244,1
0,0.03085,1071.5,175.5,205.038,33.583,34.0786,5.3193,1
0,0.03085,1087.5,175.5,208.100,33.583,33.9551,6.7273,1
0,0.03085,1103.5,175.5,211.162,33.583,33.0583,8.4919,1
0,0.03085,1119.5,175.5,214.223,33.583,31.7427,10.1040,1
0,0.03085,1135.5,175.5,217.285,33.583,33.6959,12.6656,1
0,0.03085,847.5,191.5,162.174,36.645,37.4776,-20.6920,1
0,0.03085,863.5,191.5,165.236,36.645,48.7487,-18.6870,1
0,0.03085,879.5,191.5,168.298,36.645,39.3337,-16.7118,1
0,0.03085,895.5,191.5,171.360,36.645,38.9542,-14.4896,1
0,0.03085,911.5,191.5,174.421,36.645,29.2574,-22.2263,1
0,0.03085,927.5,191.5,177.483,36.645,nan,nan,0
0,0.03085,943.5,191.5,180.545,36.645,nan,nan,0
0,0.03085,959.5,191.5,183.606,36.645,36.6499,-3.8804,1
0,0.03085,975.5,191.5,186.668,36.645,36.2667,-2.8857,1
0,0.03085,991.5,191.5,189.730,36.645,36.3719,-1.5618,1
0,0.03085,1007.5,191.5,192.791,36.645,35.3729,-0.2547,1
0,0.03085,1023.5,191.5,195.853,36.645,34.3508,0.4209,1
0,0.03085,1039.5,191.5,198.915,36.645,34.0139,3.5047,1
0,0.03085,1055.5,191.5,201.977,36.645,nan,nan,0
0,0.03085,1071.5,191.5,205.038,36.645,34.2416,6.3160,1
0,0.03085,1087.5,191.5,208.100,36.645,34.4127,6.6385,1
0,0.03085,1103.5,191.5,211.162,36.645,36.3013,9.2262,1
0,0.03085,1119.5,191.5,214.223,36.645,32.6010,9.1693,1
0,0.03085,1135.5,191.5,217.285,36.645,31.0100,11.5525,1
0,0.03085,1151.5,191.5,220.347,36.645,29.2706,15.7228,1
0,0.03085,1167.5,191.5,223.408,36.645,31.9806,16.4379,1
0,0.03085,815.5,207.5,156.051,39.706,35.9218,-26.0211,1
0,0.03085,831.5,207.5,159.113,39.706,36.1634,-33.9645,1
0,0.03085,847.5,207.5,162.174,39.706,nan,nan,0
0,0.03085,863.5,207.5,165.236,39.706,nan,nan,0
0,0.03085,879.5,207.5,168.298,39.706,40.0342,-17.6646,1
0,0.03085,895.5,207.5,171.360,39.706,39.5039,-15.1452,1
0,0.03085,911.5,207.5,174.421,39.706,37.9567,-11.7361,1
0,0.03085,927.5,207.5,177.483,39.706,nan,nan,0
0,0.03085,943.5,207.5,180.545,39.706,nan,nan,0
0,0.03085,959.5,207.5,183.606,39.706,34.4489,-6.7021,1
0,0.03085,975.5,207.5,186.668,39.706,37.7913,-3.8408,1
0,0.03085,991.5,207.5,189.730,39.706,35.4834,-2.1514,1
0,0.03085,1007.5,207.5,192.791,39.706,35.0584,0.2646,1
0,0.03085,1023.5,207.5,195.853,39.706,34.6536,2.1612,1
0,0.03085,1039.5,207.5,198.915,39.706,34.0285,3.9536,1
0,0.03085,1055.5,207.5,201.977,39.706,34.5530,5.4010,1
0,0.03085,1071.5,207.5,205.038,39.706,nan,nan,0
0,0.03085,1087.5,207.5,208.100,39.706,34.2018,8.7244,1
0,0.03085,1103.5,207.5,211.162,39.706,34.9992,10.3956,1
0,0.03085,1119.5,207.5,214.223,39.706,33.1642,11.1865,1
0,0.03085,1135.5,207.5,217.285,39.706,26.8248,13.3814,1
0,0.03085,1151.5,207.5,220.347,39.706,28.7330,23.0523,1
0,0.03085,1167.5,207.5,223.408,39.706,24.1297,20.5000,1
0,0.03085,1183.5,207.5,226.470,39.706,nan,nan,0
0,0.03085,1199.5,207.5,229.532,39.706,11.1576,25.1106,1
0,0.03085,799.5,223.5,152.989,42.768,nan,nan,0
0,0.03085,815.5,223.5,156.051,42.768,nan,nan,0
0,0.03085,831.5,223.5,159.113,42.768,36.4323,-26.7737,1
0,0.03085,847.5,223.5,162.174,42.768,36.7641,-25.7522,1
0,0.03085,863.5,223.5,165.236,42.768,39.8658,-31.6873,1
0,0.03085,879.5,223.5,168.298,42.768,nan,nan,0
0,0.03085,895.5,223.5,171.360,42.768,39.7399,-15.4602,1
0,0.03085,911.5,223.5,174.421,42.768,38.4858,-13.2724,1
0,0.03085,927.5,223.5,177.483,42.768,41.5668,-11.0036,1
0,0.03085,943.5,223.5,180.545,42.768,29.2495,-13.9882,1
0,0.03085,959.5,223.5,183.606,42.768,35.3866,-6.5269,1
0,0.03085,975.5,223.5,186.668,42.768,nan,nan,0
0,0.03085,991.5,223.5,189.730,42.768,34.6335,-2.6654,1
0,0.03085,1007.5,223.5,192.791,42.768,34.7430,-0.4578,1
0,0.03085,1023.5,223.5,195.853,42.768,34.7102,1.9876,1
0,0.03085,1039.5,223.5,198.915,42.768,35.6299,3.7521,1
0,0.03085,1055.5,223.5,201.977,42.768,35.0162,5.6133,1
0,0.03085,1071.5,223.5,205.038,42.768,34.5449,7.5528,1
0,0.03085,1087.5,223.5,208.100,42.768,34.5558,8.9350,1
0,0.03085,1103.5,223.5,211.162,42.768,34.0625,10.8243,1
0,0.03085,1119.5,223.5,214.223,42.768,33.7264,12.1611,1
0,0.03085,1135.5,223.5,217.285,42.768,32.0688,14.0908,1
0,0.03085,1151.5,223.5,220.347,42.768,29.0878,16.9549,1
0,0.03085,1167.5,223.5,223.408,42.768,23.6655,19.3797,1
0,0.03085,1183.5,223.5,226.470,42.768,22.4603,21.5554,1
0,0.03085,1199.5,223.5,229.532,42.768,nan,nan,0
0,0.03085,1215.5,223.5,232.594,42.768,6.7432,30.3836,1
0,0.03085,1231.5,223.5,235.655,42.768,17.9426,25.6120,1
0,0.03085,767.5,239.5,146.866,45.830,31.6297,-33.4743,1
0,0.03085,783.5,239.5,149.928,45.830,23.0605,-35.4387,1
0,0.03085,799.5,239.5,152.989,45.830,nan,nan,0
0,0.03085,815.5,239.5,156.051,45.830,28.4170,-34.7671,1
0,0.03085,831.5,239.5,159.113,45.830,37.3089,-29.2051,1
0,0.03085,847.5,239.5,162.174,45.830,nan,nan,0
0,0.03085,863.5,239.5,165.236,45.830,41.0520,-25.0875,1
0,0.03085,879.5,239.5,168.298,45.830,41.1431,-21.4670,1
0,0.03085,895.5,239.5,171.360,45.830,40.3192,-12.8791,1
0,0.03085,911.5,239.5,174.421,45.830,37.7188,-13.9595,1
0,0.03085,927.5,239.5,177.483,45.830,nan,nan,0
0,0.03085,943.5,239.5,180.545,45.830,32.5282,-10.3752,1
0,0.03085,959.5,239.5,183.606,45.830,35.9614,-8.5006,1
0,0.03085,975.5,239.5,186.668,45.830,nan,nan,0
0,0.03085,991.5,239.5,189.730,45.830,nan,nan,0
0,0.03085,1007.5,239.5,192.791,45.830,31.6755,-1.0438,1
0,0.03085,1023.5,239.5,195.853,45.830,36.0702,1.2243,1
0,0.03085,1039.5,239.5,198.915,45.830,36.4427,3.4786,1
0,0.03085,1055.5,239.5,201.977,45.830,35.8028,6.4344,1
0,0.03085,1071.5,239.5,205.038,45.830,34.9028,9.1142,1
0,0.03085,1087.5,239.5,208.100,45.830,34.8294,10.8418,1
0,0.03085,1103.5,239.5,211.162,45.830,34.5500,12.0648,1
0,0.03085,1119.5,239.5,214.223,45.830,34.3416,12.4515,1
0,0.03085,1135.5,239.5,217.285,45.830,34.2630,14.9871,1
0,0.03085,1151.5,239.5,220.347,45.830,28.9674,15.5282,1
0,0.03085,1167.5,239.5,223.408,45.830,30.2534,23.5405,1
0,0.03085,1183.5,239.5,226.470,45.830,25.5155,24.7414,1
0,0.03085,1199.5,239.5,229.532,45.830,12.1378,26.0680,1
0,0.03085,1215.5,239.5,232.594,45.830,6.1157,31.9085,1
0,0.03085,1231.5,239.5,235.655,45.830,15.4939,34.1857,1
0,0.03085,1247.5,239.5,238.717,45.830,24.6339,26.1122,1
0,0.03085,751.5,255.5,143.804,48.892,30.0182,-32.8859,1
0,0.03085,767.5,255.5,146.866,48.892,30.7527,-34.6304,1
0,0.03085,783.5,255.5,149.928,48.892,nan,nan,0
0,0.03085,799.5,255.5,152.989,48.892,nan,nan,0
0,0.03085,815.5,255.5,156.051,48.892,nan,nan,0
0,0.03085,831.5,255.5,159.113,48.892,nan,nan,0
0,0.03085,847.5,255.5,162.174,48.892,40.0076,-25.0737,1
0,0.03085,863.5,255.5,165.236,48.892,40.7647,-22.6908,1
0,0.03085,879.5,255.5,168.298,48.892,41.3428,-19.9026,1
0,0.03085,895.5,255.5,171.360,48.892,nan,nan,0
0,0.03085,911.5,255.5,174.421,48.892,40.4674,-4.1524,1
0,0.03085,927.5,255.5,177.483,48.892,nan,nan,0
0,0.03085,943.5,255.5,180.545,48.892,38.8934,-15.1275,1
0,0.03085,959.5,255.5,183.606,48.892,36.1432,-17.2893,1
0,0.03085,975.5,255.5,186.668,48.892,nan,nan,0
0,0.03085,991.5,255.5,189.730,48.892,37.2550,-4.6028,1
0,0.03085,1007.5,255.5,192.791,48.892,37.5869,-1.2108,1
0,0.03085,1023.5,255.5,195.853,48.892,37.0707,1.2170,1
0,0.03085,1039.5,255.5,198.915,48.892,37.0723,4.1277,1
0,0.03085,1055.5,255.5,201.977,48.892,36.5625,7.2037,1
0,0.03085,1071.5,255.5,205.038,48.892,35.6140,10.0047,1
0,0.03085,1087.5,255.5,208.100,48.892,35.1378,12.6986,1
0,0.03085,1103.5,255.5,211.162,48.892,34.3286,13.8278,1
0,0.03085,1119.5,255.5,214.223,48.892,33.4263,15.0892,1
0,0.03085,1135.5,255.5,217.285,48.892,36.5105,16.4449,1
0,0.03085,1151.5,255.5,220.347,48.892,34.3731,18.6854,1
0,0.03085,1167.5,255.5,223.408,48.892,29.2132,20.5161,1
0,0.03085,1183.5,255.5,226.470,48.892,25.6439,22.2510,1
0,0.03085,1199.5,255.5,229.532,48.892,10.9472,24.7982,1
0,0.03085,1215.5,255.5,232.594,48.892,nan,nan,0
0,0.03085,1231.5,255.5,235.655,48.892,nan,nan,0
0,0.03085,1247.5,255.5,238.717,48.892,nan,nan,0
0,0.03085,1263.5,255.5,241.779,48.892,27.1169,26.6691,1
0,0.03085,735.5,271.5,140.743,51.953,22.2273,-33.9381,1
0,0.03085,751.5,271.5,143.804,51.953,23.1392,-34.8623,1
0,0.03085,767.5,271.5,146.866,51.953,25.9545,-38.5082,1
0,0.03085,783.5,271.5,149.928,51.953,nan,nan,0
0,0.03085,799.5,271.5,152.989,51.953,nan,nan,0
0,0.03085,815.5,271.5,156.051,51.953,nan,nan,0
0,0.03085,831.5,271.5,159.113,51.953,nan,nan,0
0,0.03085,847.5,271.5,162.174,51.953,39.3175,-24.7988,1
0,0.03085,863.5,271.5,165.236,51.953,nan,nan,0
0,0.03085,879.5,271.5,168.298,51.953,40.7319,-21.1677,1
0,0.03085,895.5,271.5,171.360,51.953,40.8787,-15.4768,1
0,0.03085,911.5,271.5,174.421,51.953,nan,nan,0
0,0.03085,927.5,271.5,177.483,51.953,40.5377,-8.0797,1
