frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03251,719.5,111.5,89.884,13.929,nan,nan,0
0,0.03251,735.5,111.5,91.883,13.929,nan,nan,0
0,0.03251,751.5,111.5,93.882,13.929,26.3835,-7.5923,1
0,0.03251,767.5,111.5,95.880,13.929,nan,nan,0
0,0.03251,783.5,111.5,97.879,13.929,nan,nan,0
0,0.03251,799.5,111.5,99.878,13.929,nan,nan,0
0,0.03251,815.5,111.5,101.877,13.929,29.4953,0.4876,1
0,0.03251,831.5,111.5,103.876,13.929,nan,nan,0
0,0.03251,847.5,111.5,105.874,13.929,nan,nan,0
0,0.03251,863.5,111.5,107.873,13.929,40.4362,3.1611,1
0,0.03251,879.5,111.5,109.872,13.929,28.4053,3.1205,1
0,0.03251,895.5,111.5,111.871,13.929,28.0611,3.0636,1
0,0.03251,655.5,127.5,81.889,15.928,nan,nan,0
0,0.03251,671.5,127.5,83.888,15.928,nan,nan,0
0,0.03251,687.5,127.5,85.886,15.928,nan,nan,0
0,0.03251,703.5,127.5,87.885,15.928,nan,nan,0
0,0.03251,719.5,127.5,89.884,15.928,nan,nan,0
0,0.03251,735.5,127.5,91.883,15.928,nan,nan,0
0,0.03251,751.5,127.5,93.882,15.928,nan,nan,0
0,0.03251,767.5,127.5,95.880,15.928,34.9779,-7.9454,1
0,0.03251,783.5,127.5,97.879,15.928,nan,nan,0
0,0.03251,799.5,127.5,99.878,15.928,36.6960,1.2999,1
0,0.03251,815.5,127.5,101.877,15.928,35.8328,3.6298,1
0,0.03251,831.5,127.5,103.876,15.928,34.9243,3.2024,1
0,0.03251,847.5,127.5,105.874,15.928,39.2393,5.8082,1
0,0.03251,863.5,127.5,107.873,15.928,42.7772,5.8843,1
0,0.03251,879.5,127.5,109.872,15.928,31.1804,4.5303,1
0,0.03251,895.5,127.5,111.871,15.928,31.7677,5.3363,1
0,0.03251,911.5,127.5,113.870,15.928,nan,nan,0
0,0.03251,927.5,127.5,115.869,15.928,nan,nan,0
0,0.03251,943.5,127.5,117.867,15.928,nan,nan,0
0,0.03251,623.5,143.5,77.891,17.927,nan,nan,0
0,0.03251,639.5,143.5,79.890,17.927,nan,nan,0
0,0.03251,655.5,143.5,81.889,17.927,nan,nan,0
0,0.03251,671.5,143.5,83.888,17.927,nan,nan,0
0,0.03251,687.5,143.5,85.886,17.927,nan,nan,0
0,0.03251,703.5,143.5,87.885,17.927,nan,nan,0
0,0.03251,719.5,143.5,89.884,17.927,nan,nan,0
0,0.03251,735.5,143.5,91.883,17.927,nan,nan,0
0,0.03251,751.5,143.5,93.882,17.927,nan,nan,0
0,0.03251,767.5,143.5,95.880,17.927,26.0172,-6.2969,1
0,0.03251,783.5,143.5,97.879,17.927,nan,nan,0
0,0.03251,799.5,143.5,99.878,17.927,38.7130,0.2286,1
0,0.03251,815.5,143.5,101.877,17.927,37.4755,3.9157,1
0,0.03251,831.5,143.5,103.876,17.927,36.1015,4.3538,1
0,0.03251,847.5,143.5,105.874,17.927,nan,nan,0
0,0.03251,863.5,143.5,107.873,17.927,43.3235,12.7185,1
0,0.03251,879.5,143.5,109.872,17.927,37.6880,3.7767,1
