frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03322,805.891,538.586,100.6765,67.2832,0,0
1,0.06645,805.891,538.586,100.6765,67.2832,0,0
2,0.11629,805.891,538.586,100.6765,67.2832,0,0
3,0.14951,805.891,538.586,100.6765,67.2832,0,0
4,0.19935,805.891,538.586,100.6765,67.2832,0,0
5,0.23257,805.891,538.586,100.6765,67.2832,0,0
6,0.26580,805.891,538.586,100.6765,67.2832,0,0
7,0.29902,805.891,538.586,100.6765,67.2832,0,0
8,0.33225,805.891,538.586,100.6765,67.2832,0,0
9,0.36547,805.891,538.586,100.6765,67.2832,0,0
10,0.39870,805.891,538.586,100.6765,67.2832,0,0
11,0.43192,805.891,538.586,100.6765,67.2832,0,0
12,0.46514,805.891,538.586,100.6765,67.2832,0,0
13,0.49837,805.891,538.586,100.6765,67.2832,0,0
14,0.53159,805.891,538.586,100.6765,67.2832,0,0
15,0.56482,805.891,538.586,100.6765,67.2832,0,0
16,0.59804,805.891,538.586,100.6765,67.2832,0,0
17,0.63127,805.891,538.586,100.6765,67.2832,0,0
18,0.66449,805.891,538.586,100.6765,67.2832,0,0
19,0.69772,805.891,538.586,100.6765,67.2832,0,0
20,0.73094,805.891,538.586,100.6765,67.2832,0,0
21,0.76417,805.891,538.586,100.6765,67.2832,0,0
22,0.79739,805.891,538.586,100.6765,67.2832,0,0
23,0.83061,805.891,538.586,100.6765,67.2832,0,0
24,0.86384,805.891,538.586,100.6765,67.2832,0,0
25,0.89706,805.891,538.586,100.6765,67.2832,0,0
26,0.93029,805.891,538.586,100.6765,67.2832,0,0
27,0.96351,805.891,538.586,100.6765,67.2832,0,0
28,0.99674,805.891,538.586,100.6765,67.2832,0,0
29,1.02996,805.891,538.586,100.6765,67.2832,0,0
30,1.06319,805.891,538.586,100.6765,67.2832,0,0
31,1.09641,805.891,538.586,100.6765,67.2832,0,0
32,1.12964,805.891,538.586,100.6765,67.2832,0,0
33,1.16286,805.891,538.586,100.6765,67.2832,0,0
34,1.19609,805.891,538.586,100.6765,67.2832,0,0
35,1.22931,805.891,538.586,100.6765,67.2832,0,0
36,1.26253,805.891,538.586,100.6765,67.2832,0,0
37,1.29576,805.891,538.586,100.6765,67.2832,0,0
38,1.32898,805.891,538.586,100.6765,67.2832,0,0
39,1.36221,805.891,538.586,100.6765,67.2832,0,0
40,1.39543,805.891,538.586,100.6765,67.2832,0,0
41,1.42866,805.891,538.586,100.6765,67.2832,0,0
42,1.46188,805.891,538.586,100.6765,67.2832,0,0
43,1.49511,805.891,538.586,100.6765,67.2832,0,0
44,1.52833,805.891,538.586,100.6765,67.2832,0,0
45,1.56156,805.891,538.586,100.6765,67.2832,0,0
46,1.59478,805.891,538.586,100.6765,67.2832,0,0
47,1.62801,805.891,538.586,100.6765,67.2832,0,0
48,1.66123,805.891,538.586,100.6765,67.2832,0,0
49,1.69445,805.891,538.586,100.6765,67.2832,0,0
50,1.72768,805.891,538.586,100.6765,67.2832,0,0
51,1.76090,805.891,538.586,100.6765,67.2832,0,0
52,1.79413,805.891,538.586,100.6765,67.2832,0,0
53,1.82735,805.891,538.586,100.6765,67.2832,0,0
54,1.86058,805.891,538.586,100.6765,67.2832,0,0
55,1.89380,805.891,538.586,100.6765,67.2832,0,0
56,1.92703,805.891,538.586,100.6765,67.2832,0,0
57,1.96025,805.891,538.586,100.6765,67.2832,0,0
58,1.99348,805.891,538.586,100.6765,67.2832,0,0
59,2.02670,805.891,538.586,100.6765,67.2832,0,0
60,2.05992,805.891,538.586,100.6765,67.2832,0,0
61,2.09315,805.891,538.586,100.6765,67.2832,0,0
62,2.12637,805.891,538.586,100.6765,67.2832,0,0
63,2.15960,805.891,538.586,100.6765,67.2832,0,0
64,2.19282,805.891,538.586,100.6765,67.2832,0,0
65,2.22605,805.891,538.586,100.6765,67.2832,0,0
66,2.25927,805.891,538.586,100.6765,67.2832,0,0
67,2.29250,805.891,538.586,100.6765,67.2832,0,0
68,2.32572,805.891,538.586,100.6765,67.2832,0,0
69,2.35895,805.891,538.586,100.6765,67.2832,0,0
70,2.39217,805.891,538.586,100.6765,67.2832,0,0
71,2.42540,805.891,538.586,100.6765,67.2832,0,0
72,2.45862,805.891,538.586,100.6765,67.2832,0,0
73,2.49184,805.891,538.586,100.6765,67.2832,0,0
74,2.52507,805.891,538.586,100.6765,67.2832,0,0
75,2.55829,805.891,538.586,100.6765,67.2832,0,0
76,2.59152,805.891,538.586,100.6765,67.2832,0,0
77,2.62474,805.891,538.586,100.6765,67.2832,0,0
78,2.65797,805.891,538.586,100.6765,67.2832,0,0
79,2.69119,805.891,538.586,100.6765,67.2832,0,0
80,2.72442,805.891,538.586,100.6765,67.2832,0,0
81,2.75764,805.891,538.586,100.6765,67.2832,0,0
82,2.79087,805.891,538.586,100.6765,67.2832,0,0
83,2.82409,805.891,538.586,100.6765,67.2832,0,0
84,2.85732,805.891,538.586,100.6765,67.2832,0,0
85,2.89054,805.891,538.586,100.6765,67.2832,0,0
86,2.92376,805.891,538.586,100.6765,67.2832,0,0
87,2.95699,805.891,538.586,100.6765,67.2832,0,0
88,2.99021,805.891,538.586,100.6765,67.2832,0,0
