frame,t_s,x_px,y_px,x_mm,y_mm,u_mm_s,v_mm_s,valido
0,0.03085,719.5,111.5,89.884,13.929,nan,nan,0
0,0.03085,735.5,111.5,91.883,13.929,nan,nan,0
0,0.03085,751.5,111.5,93.882,13.929,nan,nan,0
0,0.03085,767.5,111.5,95.880,13.929,nan,nan,0
0,0.03085,783.5,111.5,97.879,13.929,nan,nan,0
0,0.03085,799.5,111.5,99.878,13.929,nan,nan,0
0,0.03085,815.5,111.5,101.877,13.929,nan,nan,0
0,0.03085,831.5,111.5,103.876,13.929,nan,nan,0
0,0.03085,847.5,111.5,105.874,13.929,nan,nan,0
0,0.03085,863.5,111.5,107.873,13.929,nan,nan,0
0,0.03085,879.5,111.5,109.872,13.929,nan,nan,0
0,0.03085,895.5,111.5,111.871,13.929,11.9349,1.1462,1
0,0.03085,655.5,127.5,81.889,15.928,10.1541,-2.0887,1
0,0.03085,671.5,127.5,83.888,15.928,11.1029,-2.8234,1
0,0.03085,687.5,127.5,85.886,15.928,11.2233,-3.1678,1
0,0.03085,703.5,127.5,87.885,15.928,13.1554,-6.3556,1
0,0.03085,719.5,127.5,89.884,15.928,12.2968,-5.8663,1
0,0.03085,735.5,127.5,91.883,15.928,14.4490,-5.7648,1
0,0.03085,751.5,127.5,93.882,15.928,15.2857,-4.6623,1
0,0.03085,767.5,127.5,95.880,15.928,16.1326,-3.6253,1
0,0.03085,783.5,127.5,97.879,15.928,16.6118,-2.0481,1
0,0.03085,799.5,127.5,99.878,15.928,nan,nan,0
0,0.03085,815.5,127.5,101.877,15.928,17.8941,-2.6544,1
0,0.03085,831.5,127.5,103.876,15.928,nan,nan,0
0,0.03085,847.5,127.5,105.874,15.928,nan,nan,0
0,0.03085,863.5,127.5,107.873,15.928,6.7501,-1.9373,1
0,0.03085,879.5,127.5,109.872,15.928,nan,nan,0
0,0.03085,895.5,127.5,111.871,15.928,nan,nan,0
0,0.03085,911.5,127.5,113.870,15.928,nan,nan,0
0,0.03085,927.5,127.5,115.869,15.928,nan,nan,0
0,0.03085,943.5,127.5,117.867,15.928,nan,nan,0
0,0.03085,623.5,143.5,77.891,17.927,11.0353,-1.6915,1
0,0.03085,639.5,143.5,79.890,17.927,11.6288,-2.1416,1
0,0.03085,655.5,143.5,81.889,17.927,12.6106,-2.9326,1
0,0.03085,671.5,143.5,83.888,17.927,13.6648,-4.4997,1
0,0.03085,687.5,143.5,85.886,17.927,13.5654,-5.0093,1
0,0.03085,703.5,143.5,87.885,17.927,14.4210,-4.7290,1
0,0.03085,719.5,143.5,89.884,17.927,14.9643,-4.8566,1
0,0.03085,735.5,143.5,91.883,17.927,13.6152,-4.2528,1
0,0.03085,751.5,143.5,93.882,17.927,nan,nan,0
0,0.03085,767.5,143.5,95.880,17.927,nan,nan,0
0,0.03085,783.5,143.5,97.879,17.927,19.4475,-3.3243,1
0,0.03085,799.5,143.5,99.878,17.927,19.2156,-3.0515,1
0,0.03085,815.5,143.5,101.877,17.927,nan,nan,0
0,0.03085,831.5,143.5,103.876,17.927,19.8416,-1.4518,1
0,0.03085,847.5,143.5,105.874,17.927,18.8502,-2.6146,1
0,0.03085,863.5,143.5,107.873,17.927,7.5487,-2.3802,1
0,0.03085,879.5,143.5,109.872,17.927,nan,nan,0
0,0.03085,895.5,143.5,111.871,17.927,nan,nan,0
0,0.03085,911.5,143.5,113.870,17.927,nan,nan,0
0,0.03085,927.5,143.5,115.869,17.927,nan,nan,0
0,0.03085,943.5,143.5,117.867,17.927,nan,nan,0
0,0.03085,959.5,143.5,119.866,17.927,3.4773,1.0540,1
0,0.03085,975.5,143.5,121.865,17.927,nan,nan,0
0,0.03085,991.5,143.5,123.864,17.927,2.1630,5.2663,1
0,0.03085,591.5,159.5,73.894,19.926,12.3434,-1.9464,1
0,0.03085,607.5,159.5,75.892,19.926,12.9698,-2.3812,1
0,0.03085,623.5,159.5,77.891,19.926,13.6808,-3.0617,1
0,0.03085,639.5,159.5,79.890,19.926,14.2950,-4.6233,1
0,0.03085,655.5,159.5,81.889,19.926,15.2835,-5.0947,1
0,0.03085,671.5,159.5,83.888,19.926,16.1453,-6.6669,1
0,0.03085,687.5,159.5,85.886,19.926,nan,nan,0
0,0.03085,703.5,159.5,87.885,19.926,nan,nan,0
0,0.03085,719.5,159.5,89.884,19.926,19.9645,-4.3670,1
0,0.03085,735.5,159.5,91.883,19.926,nan,nan,0
0,0.03085,751.5,159.5,93.882,19.926,nan,nan,0
0,0.03085,767.5,159.5,95.880,19.926,nan,nan,0
0,0.03085,783.5,159.5,97.879,19.926,nan,nan,0
0,0.03085,799.5,159.5,99.878,19.926,nan,nan,0
0,0.03085,815.5,159.5,101.877,19.926,nan,nan,0
0,0.03085,831.5,159.5,103.876,19.926,19.9193,-3.1966,1
0,0.03085,847.5,159.5,105.874,19.926,nan,nan,0
0,0.03085,863.5,159.5,107.873,19.926,nan,nan,0
0,0.03085,879.5,159.5,109.872,19.926,16.8639,-2.4025,1
0,0.03085,895.5,159.5,111.871,19.926,nan,nan,0
0,0.03085,911.5,159.5,113.870,19.926,nan,nan,0
0,0.03085,927.5,159.5,115.869,19.926,nan,nan,0
0,0.03085,943.5,159.5,117.867,19.926,nan,nan,0
0,0.03085,959.5,159.5,119.866,19.926,nan,nan,0
0,0.03085,975.5,159.5,121.865,19.926,nan,nan,0
0,0.03085,991.5,159.5,123.864,19.926,-2.1564,0.5436,1
0,0.03085,1007.5,159.5,125.863,19.926,2.0737,1.7815,1
0,0.03085,1023.5,159.5,127.861,19.926,nan,nan,0
0,0.03085,575.5,175.5,71.895,21.924,12.3750,-4.4386,1
0,0.03085,591.5,175.5,73.894,21.924,16.9223,-5.1830,1
0,0.03085,607.5,175.5,75.892,21.924,16.8920,-5.5952,1
0,0.03085,623.5,175.5,77.891,21.924,15.4288,-4.7517,1
0,0.03085,639.5,175.5,79.890,21.924,16.1340,-4.3595,1
0,0.03085,655.5,175.5,81.889,21.924,17.2070,-4.8455,1
0,0.03085,671.5,175.5,83.888,21.924,nan,nan,0
0,0.03085,687.5,175.5,85.886,21.924,19.5029,-5.3562,1
0,0.03085,703.5,175.5,87.885,21.924,20.7923,-4.4107,1
0,0.03085,719.5,175.5,89.884,21.924,25.4137,-4.2461,1
0,0.03085,735.5,175.5,91.883,21.924,nan,nan,0
0,0.03085,751.5,175.5,93.882,21.924,17.5566,-3.9301,1
0,0.03085,767.5,175.5,95.880,21.924,21.9557,-3.4643,1
0,0.03085,783.5,175.5,97.879,21.924,24.6071,-3.3488,1
0,0.03085,799.5,175.5,99.878,21.924,nan,nan,0
0,0.03085,815.5,175.5,101.877,21.924,nan,nan,0
0,0.03085,831.5,175.5,103.876,21.924,nan,nan,0
0,0.03085,847.5,175.5,105.874,21.924,24.7540,-2.8966,1
0,0.03085,863.5,175.5,107.873,21.924,nan,nan,0
0,0.03085,879.5,175.5,109.872,21.924,8.9979,-3.0505,1
0,0.03085,895.5,175.5,111.871,21.924,nan,nan,0
0,0.03085,911.5,175.5,113.870,21.924,nan,nan,0
0,0.03085,927.5,175.5,115.869,21.924,nan,nan,0
0,0.03085,943.5,175.5,117.867,21.924,nan,nan,0
0,0.03085,959.5,175.5,119.866,21.924,nan,nan,0
0,0.03085,975.5,175.5,121.865,21.924,nan,nan,0
0,0.03085,991.5,175.5,123.864,21.924,nan,nan,0
0,0.03085,1007.5,175.5,125.863,21.924,1.8946,0.8150,1
0,0.03085,1023.5,175.5,127.861,21.924,0.7157,0.8873,1
0,0.03085,1039.5,175.5,129.860,21.924,nan,nan,0
0,0.03085,543.5,191.5,67.897,23.923,10.9757,-5.0444,1
0,0.03085,559.5,191.5,69.896,23.923,11.8717,-4.5708,1
0,0.03085,575.5,191.5,71.895,23.923,12.9607,-3.5857,1
0,0.03085,591.5,191.5,73.894,23.923,18.9668,-4.8302,1
0,0.03085,607.5,191.5,75.892,23.923,nan,nan,0
0,0.03085,623.5,191.5,77.891,23.923,21.5254,-4.4347,1
0,0.03085,639.5,191.5,79.890,23.923,19.9361,-5.2786,1
0,0.03085,655.5,191.5,81.889,23.923,22.9286,-6.9820,1
0,0.03085,671.5,191.5,83.888,23.923,22.5998,-6.1823,1
0,0.03085,687.5,191.5,85.886,23.923,nan,nan,0
0,0.03085,703.5,191.5,87.885,23.923,22.1808,-5.0852,1
