frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03269,721.060,600.790,82.3880,68.6460,0,0
1,0.08173,721.060,600.790,82.3880,68.6460,0,0
2,0.11443,721.060,600.790,82.3880,68.6460,0,0
3,0.17981,721.060,600.790,82.3880,68.6460,0,0
4,0.21251,721.060,600.790,82.3880,68.6460,0,0
5,0.26155,721.060,600.790,82.3880,68.6460,0,0
6,0.29424,721.060,600.790,82.3880,68.6460,0,0
7,0.32694,721.060,600.790,82.3880,68.6460,0,0
8,0.35963,721.060,600.790,82.3880,68.6460,0,0
9,0.39232,721.060,600.790,82.3880,68.6460,0,0
10,0.42502,721.060,600.790,82.3880,68.6460,0,0
11,0.45771,721.060,600.790,82.3880,68.6460,0,0
12,0.49040,721.060,600.790,82.3880,68.6460,0,0
13,0.52310,721.060,600.790,82.3880,68.6460,0,0
14,0.55579,721.060,600.790,82.3880,68.6460,0,0
15,0.58848,721.060,600.790,82.3880,68.6460,0,0
16,0.62118,721.060,600.790,82.3880,68.6460,0,0
17,0.65387,721.060,600.790,82.3880,68.6460,0,0
18,0.68657,721.060,600.790,82.3880,68.6460,0,0
19,0.71926,721.060,600.790,82.3880,68.6460,0,0
20,0.75195,721.060,600.790,82.3880,68.6460,0,0
21,0.78465,721.060,600.790,82.3880,68.6460,0,0
22,0.81734,721.060,600.790,82.3880,68.6460,0,0
23,0.85003,721.060,600.790,82.3880,68.6460,0,0
24,0.88273,721.060,600.790,82.3880,68.6460,0,0
25,0.91542,721.060,600.790,82.3880,68.6460,0,0
26,0.94811,721.060,600.790,82.3880,68.6460,0,0
27,0.98081,721.060,600.790,82.3880,68.6460,0,0
28,1.01350,721.060,600.790,82.3880,68.6460,0,0
29,1.04620,721.060,600.790,82.3880,68.6460,0,0
30,1.07889,721.060,600.790,82.3880,68.6460,0,0
31,1.11158,721.060,600.790,82.3880,68.6460,0,0
32,1.14428,721.060,600.790,82.3880,68.6460,0,0
33,1.17697,721.060,600.790,82.3880,68.6460,0,0
34,1.20966,721.060,600.790,82.3880,68.6460,0,0
35,1.24236,721.060,600.790,82.3880,68.6460,0,0
36,1.27505,721.060,600.790,82.3880,68.6460,0,0
37,1.30774,721.060,600.790,82.3880,68.6460,0,0
38,1.34044,721.060,600.790,82.3880,68.6460,0,0
39,1.37313,721.060,600.790,82.3880,68.6460,0,0
40,1.40583,721.060,600.790,82.3880,68.6460,0,0
41,1.43852,721.060,600.790,82.3880,68.6460,0,0
42,1.47121,721.060,600.790,82.3880,68.6460,0,0
43,1.50391,721.060,600.790,82.3880,68.6460,0,0
44,1.53660,721.060,600.790,82.3880,68.6460,0,0
45,1.56929,721.060,600.790,82.3880,68.6460,0,0
46,1.60199,721.060,600.790,82.3880,68.6460,0,0
47,1.63468,721.060,600.790,82.3880,68.6460,0,0
48,1.66737,721.060,600.790,82.3880,68.6460,0,0
49,1.70007,721.060,600.790,82.3880,68.6460,0,0
50,1.73276,721.060,600.790,82.3880,68.6460,0,0
51,1.76545,721.060,600.790,82.3880,68.6460,0,0
52,1.79815,721.060,600.790,82.3880,68.6460,0,0
53,1.83084,721.060,600.790,82.3880,68.6460,0,0
54,1.86354,721.060,600.790,82.3880,68.6460,0,0
55,1.89623,721.060,600.790,82.3880,68.6460,0,0
56,1.92892,721.060,600.790,82.3880,68.6460,0,0
57,1.96162,721.060,600.790,82.3880,68.6460,0,0
58,1.99431,721.060,600.790,82.3880,68.6460,0,0
59,2.02700,721.060,600.790,82.3880,68.6460,0,0
60,2.05970,721.060,600.790,82.3880,68.6460,0,0
61,2.10874,721.060,600.790,82.3880,68.6460,0,0
62,2.14143,721.060,600.790,82.3880,68.6460,0,0
63,2.19047,721.060,600.790,82.3880,68.6460,0,0
64,2.22317,721.060,600.790,82.3880,68.6460,0,0
65,2.25586,721.060,600.790,82.3880,68.6460,0,0
66,2.28855,721.060,600.790,82.3880,68.6460,0,0
67,2.32125,721.060,600.790,82.3880,68.6460,0,0
68,2.35394,721.060,600.790,82.3880,68.6460,0,0
69,2.38663,721.060,600.790,82.3880,68.6460,0,0
70,2.41933,721.060,600.790,82.3880,68.6460,0,0
71,2.45202,721.060,600.790,82.3880,68.6460,0,0
72,2.48471,721.060,600.790,82.3880,68.6460,0,0
73,2.51741,721.060,600.790,82.3880,68.6460,0,0
74,2.55010,721.060,600.790,82.3880,68.6460,0,0
75,2.58280,721.060,600.790,82.3880,68.6460,0,0
76,2.61549,721.060,600.790,82.3880,68.6460,0,0
77,2.64818,721.060,600.790,82.3880,68.6460,0,0
78,2.68088,721.060,600.790,82.3880,68.6460,0,0
79,2.71357,721.060,600.790,82.3880,68.6460,0,0
80,2.74626,721.060,600.790,82.3880,68.6460,0,0
81,2.77896,721.060,600.790,82.3880,68.6460,0,0
82,2.81165,721.060,600.790,82.3880,68.6460,0,0
83,2.84434,721.060,600.790,82.3880,68.6460,0,0
84,2.87704,721.060,600.790,82.3880,68.6460,0,0
85,2.90973,721.060,600.790,82.3880,68.6460,0,0
86,2.94242,721.060,600.790,82.3880,68.6460,0,0
87,2.97512,721.060,600.790,82.3880,68.6460,0,0
