frame,t_s,xc_px,yc_px,xc_mm,yc_mm,seguido,area_px
0,0.03085,780.442,606.445,108.5118,84.3195,0,0
1,0.06170,780.442,606.445,108.5118,84.3195,0,0
2,0.10798,780.442,606.445,108.5118,84.3195,0,0
3,0.13883,780.442,606.445,108.5118,84.3195,0,0
4,0.20053,780.442,606.445,108.5118,84.3195,0,0
5,0.23139,780.442,606.445,108.5118,84.3195,0,0
6,0.29309,780.442,606.445,108.5118,84.3195,0,0
7,0.32394,780.442,606.445,108.5118,84.3195,0,0
8,0.37022,780.442,606.445,108.5118,84.3195,0,0
9,0.40107,780.442,606.445,108.5118,84.3195,0,0
10,0.43192,780.442,606.445,108.5118,84.3195,0,0
11,0.46277,780.442,606.445,108.5118,84.3195,0,0
12,0.49362,780.442,606.445,108.5118,84.3195,0,0
13,0.52447,780.442,606.445,108.5118,84.3195,0,0
14,0.55533,780.442,606.445,108.5118,84.3195,0,0
15,0.58618,780.442,606.445,108.5118,84.3195,0,0
16,0.61703,780.442,606.445,108.5118,84.3195,0,0
17,0.64788,780.442,606.445,108.5118,84.3195,0,0
18,0.67873,780.442,606.445,108.5118,84.3195,0,0
19,0.72501,780.442,606.445,108.5118,84.3195,0,0
20,0.75586,780.442,606.445,108.5118,84.3195,0,0
21,0.80214,780.442,606.445,108.5118,84.3195,0,0
22,0.83299,780.442,606.445,108.5118,84.3195,0,0
23,0.86384,780.442,606.445,108.5118,84.3195,0,0
24,0.89469,780.442,606.445,108.5118,84.3195,0,0
25,0.92554,780.442,606.445,108.5118,84.3195,0,0
26,0.95639,780.442,606.445,108.5118,84.3195,0,0
27,0.98725,780.442,606.445,108.5118,84.3195,0,0
28,1.01810,780.442,606.445,108.5118,84.3195,0,0
29,1.04895,780.442,606.445,108.5118,84.3195,0,0
30,1.07980,780.442,606.445,108.5118,84.3195,0,0
31,1.12608,780.442,606.445,108.5118,84.3195,0,0
32,1.15693,780.442,606.445,108.5118,84.3195,0,0
33,1.20320,780.442,606.445,108.5118,84.3195,0,0
34,1.23406,780.442,606.445,108.5118,84.3195,0,0
35,1.26491,780.442,606.445,108.5118,84.3195,0,0
36,1.29576,780.442,606.445,108.5118,84.3195,0,0
37,1.32661,780.442,606.445,108.5118,84.3195,0,0
38,1.35746,780.442,606.445,108.5118,84.3195,0,0
39,1.38831,780.442,606.445,108.5118,84.3195,0,0
40,1.41916,780.442,606.445,108.5118,84.3195,0,0
41,1.45002,780.442,606.445,108.5118,84.3195,0,0
42,1.48087,780.442,606.445,108.5118,84.3195,0,0
43,1.52714,780.442,606.445,108.5118,84.3195,0,0
44,1.55800,780.442,606.445,108.5118,84.3195,0,0
45,1.60427,780.442,606.445,108.5118,84.3195,0,0
46,1.63512,780.442,606.445,108.5118,84.3195,0,0
47,1.66598,780.442,606.445,108.5118,84.3195,0,0
48,1.69683,780.442,606.445,108.5118,84.3195,0,0
49,1.72768,780.442,606.445,108.5118,84.3195,0,0
50,1.75853,780.442,606.445,108.5118,84.3195,0,0
51,1.78938,780.442,606.445,108.5118,84.3195,0,0
52,1.82023,780.442,606.445,108.5118,84.3195,0,0
53,1.85108,780.442,606.445,108.5118,84.3195,0,0
54,1.88194,780.442,606.445,108.5118,84.3195,0,0
55,1.92821,780.442,606.445,108.5118,84.3195,0,0
56,1.95906,780.442,606.445,108.5118,84.3195,0,0
57,2.00534,780.442,606.445,108.5118,84.3195,0,0
58,2.03619,780.442,606.445,108.5118,84.3195,0,0
59,2.06704,780.442,606.445,108.5118,84.3195,0,0
60,2.09790,780.442,606.445,108.5118,84.3195,0,0
61,2.12875,780.442,606.445,108.5118,84.3195,0,0
62,2.15960,780.442,606.445,108.5118,84.3195,0,0
63,2.19045,780.442,606.445,108.5118,84.3195,0,0
64,2.22130,780.442,606.445,108.5118,84.3195,0,0
65,2.25215,780.442,606.445,108.5118,84.3195,0,0
66,2.28300,780.442,606.445,108.5118,84.3195,0,0
67,2.32928,780.442,606.445,108.5118,84.3195,0,0
68,2.36013,780.442,606.445,108.5118,84.3195,0,0
69,2.40641,780.442,606.445,108.5118,84.3195,0,0
70,2.43726,780.442,606.445,108.5118,84.3195,0,0
71,2.46811,780.442,606.445,108.5118,84.3195,0,0
72,2.49896,780.442,606.445,108.5118,84.3195,0,0
73,2.52982,780.442,606.445,108.5118,84.3195,0,0
74,2.56067,780.442,606.445,108.5118,84.3195,0,0
75,2.59152,780.442,606.445,108.5118,84.3195,0,0
76,2.62237,780.442,606.445,108.5118,84.3195,0,0
77,2.65322,780.442,606.445,108.5118,84.3195,0,0
78,2.68407,780.442,606.445,108.5118,84.3195,0,0
79,2.73035,780.442,606.445,108.5118,84.3195,0,0
80,2.76120,780.442,606.445,108.5118,84.3195,0,0
81,2.80748,780.442,606.445,108.5118,84.3195,0,0
82,2.83833,780.442,606.445,108.5118,84.3195,0,0
83,2.86918,780.442,606.445,108.5118,84.3195,0,0
84,2.90003,780.442,606.445,108.5118,84.3195,0,0
85,2.93088,780.442,606.445,108.5118,84.3195,0,0
86,2.96174,780.442,606.445,108.5118,84.3195,0,0
87,2.99259,780.442,606.445,108.5118,84.3195,0,0
