Con láser,,,Laser desalineado,,
Corriente (A),intensiadad  (mW),Error intensidad (mW),Corriente (A),intensiadad  (mW),Error intensidad (mW)
0,1.015,0.01,0,1.055,0.01
0.2,1.007,0.01,0.2,1.035,0.01
0.4,1.008,0.01,0.4,1.032,0.01
0.6,1.01,0.01,0.6,1.044,0.01
0.8,1.42,0.02,0.8,1.445,0.01
1,1.77,0.02,1,1.85,0.03
1.1,4.75,0.2,1.1,1.91,0.03
1.2,13.5,0.5,1.2,1.89,0.03
1.4,43,0.5,1.4,1.99,0.03
1.6,76,1,1.6,2.16,0.03
1.8,113.5,0.5,1.8,2.4,0.03
2,143,0.5,2,2.7,0.03
2.2,162,0.5,2.2,2.91,0.03
2.38,188.5,0.5,2.38,3.11,0.03
