Corriente [mA],Potencia nd:yag [mW],dPotencia nd:yag [mW],Potencia bombeo [mW],dPotencia bombeo [mW]
0.000,0.900,0.100,1.17,0.02
0.200,1.040,0.020,1.16,0.01
0.400,1.070,0.010,1.18,0.02
0.600,1.100,0.010,1.18,0.02
0.800,2.230,0.020,2.36,0.03
0.900,2.620,0.020,2.69,0.03
1.000,2.980,0.020,2.93,0.02
1.100,3.000,0.050,3.25,0.03
1.200,2.900,0.050,3,0.2
1.300,3.200,0.100,3.1,0.1
1.400,13.600,0.500,3.15,0.2
1.600,31.000,2.000,3.6,0.02
1.800,56.000,2.000,4.27,0.03
2.000,74.000,3.000,4.9,0.1
2.200,94.000,4.000,5.5,0.1
2.380,121.000,4.000,6.15,0.2
