Con láser,,,,Sin láser,,,,
posicion (10um),intensiadad  (mW),Error intensidad (mW),,posicion (10 um),intensiadad  (mW),Error intensidad (mW),,
1000,130,2,,1000,44,1,,Error posicion: 10 um 
1010,129,2,,1020,42.5,1,,
1020,128,2,,1040,40.8,1,,
1030,130,2,,1060,39.3,1,,
1040,130,2,,1080,37.5,1,,
1045,130,2,,1100,35.8,1,,
1050,132,2,,1120,33.9,1,,
1060,134,2,,1140,32.3,1,,
1070,133,2,,1160,30.7,1,,
1080,136,2,,1180,29,1,,
1090,136,2,,1200,27.5,1,,
1100,135,2,,1220,25.7,1,,
1110,136,2,,1240,24.1,1,,
1120,137,2,,1260,22.6,1,,
1130,134,2,,1280,20.93,1,,
1140,134,2,,1300,19.6,1,,
1150,134,2,,1320,17.96,1,,
1160,132,2,,1340,16.61,1,,
1170,133,2,,1360,15.28,1,,
1180,134,2,,1380,14,1,,
1190,134,2,,1400,13.1,1,,
1200,133,2,,1420,11.9,1,,
1210,132,2,,1440,10.8,1,,
1220,131,2,,1460,9.8,1,,
1230,130,2,,1480,8.8,1,,
1240,129,2,,1500,7.9,1,,
1250,128,2,,,,,,
1255,127,2,,,,,,
1260,127,2,,,,,,
1265,126,2,,,,,,
1270,126,2,,,,,,
1275,125,2,,,,,,
1280,125,2,,,,,,
1285,120,2,,,,,,
1290,114,2,,,,,,
1293,113,2,,,,,,
1296,105,2,,,,,,
1299,103,2,,,,,,
1300,98,2,,,,,,
1301,97,2,,,,,,
1302,87,2,,,,,,
1303,88,2,,,,,,
1304,81,2,,,,,,
1305,79,2,,,,,,
1306,81,2,,,,,,
1308,77,2,,,,,,
1310,68,2,,,,,,
1312,67,2,,,,,,
1314,63,2,,,,,,
1316,54,2,,,,,,
1318,54,2,,,,,,
1320,47,2,,,,,,
1322,45,2,,,,,,
1324,41.2,0.5,,,,,,
1326,33.5,0.5,,,,,,
1328,32,0.5,,,,,,
1330,30.8,0.5,,,,,,
1332,30.9,0.5,,,,,,
1334,31.3,0.5,,,,,,
1336,26,0.5,,,,,,
1338,24.2,0.5,,,,,,
1340,23.9,0.5,,,,,,
1342,23.1,0.5,,,,,,
1344,21.8,0.5,,,,,,
1346,20.9,0.5,,,,,,
1348,20.4,0.5,,,,,,
1350,20.1,0.5,,,,,,
1355,19.6,0.5,,,,,,
1360,18.8,0.5,,,,,,
1365,18.5,0.5,,,,,,
1370,17.8,0.5,,,,,,
1375,17.3,0.5,,,,,,
1380,16.9,0.5,,,,,,
1390,16,0.5,,,,,,
1400,15.3,0.5,,,,,,
1410,14.7,0.5,,,,,,
1420,13.9,0.5,,,,,,
1430,13.2,0.5,,,,,,
1440,12.5,0.5,,,,,,
1450,11.9,0.5,,,,,,
1460,11.3,0.5,,,,,,
1470,10.6,0.5,,,,,,
1480,10.1,0.5,,,,,,
1490,9.4,0.5,,,,,,
1500,8.9,0.5,,,,,,
