Tiempo,VoltajeCH1,ResolucionVCH1
-2.56e-05,0.006,0.002
-2.556e-05,0.004,0.002
-2.552e-05,0.004,0.002
-2.548e-05,0.002,0.002
-2.544e-05,0.004,0.002
-2.5399999999999997e-05,0.004,0.002
-2.5359999999999998e-05,0.004,0.002
-2.5319999999999998e-05,0.004,0.002
-2.528e-05,0.004,0.002
-2.524e-05,0.004,0.002
-2.52e-05,0.002,0.002
-2.516e-05,0.002,0.002
-2.512e-05,0.004,0.002
-2.508e-05,0.004,0.002
-2.5039999999999997e-05,0.004,0.002
-2.4999999999999998e-05,0.004,0.002
-2.4959999999999998e-05,0.004,0.002
-2.492e-05,0.002,0.002
-2.488e-05,0.004,0.002
-2.484e-05,0.004,0.002
-2.48e-05,0.002,0.002
-2.476e-05,0.004,0.002
-2.472e-05,0.002,0.002
-2.4679999999999997e-05,0.004,0.002
-2.4639999999999998e-05,0.002,0.002
-2.4599999999999998e-05,0.002,0.002
-2.456e-05,0.002,0.002
-2.452e-05,0.006,0.002
-2.448e-05,0.004,0.002
-2.444e-05,0.004,0.002
-2.44e-05,0.004,0.002
-2.4359999999999997e-05,0.002,0.002
-2.4319999999999998e-05,0.002,0.002
-2.4279999999999998e-05,0.004,0.002
-2.424e-05,0.004,0.002
-2.42e-05,0.004,0.002
-2.416e-05,0.004,0.002
-2.412e-05,0.004,0.002
-2.408e-05,0.002,0.002
-2.404e-05,0.002,0.002
-2.4e-05,0.002,0.002
-2.3959999999999998e-05,0.002,0.002
-2.3919999999999998e-05,0.004,0.002
-2.388e-05,0.004,0.002
-2.384e-05,0.002,0.002
-2.38e-05,0.002,0.002
-2.376e-05,0.004,0.002
-2.372e-05,0.002,0.002
-2.3679999999999997e-05,0.006,0.002
-2.3639999999999997e-05,0.008,0.002
-2.3599999999999998e-05,0.002,0.002
-2.3559999999999998e-05,0.004,0.002
-2.352e-05,0.002,0.002
-2.348e-05,0.0,0.002
-2.344e-05,0.004,0.002
-2.34e-05,0.004,0.002
-2.336e-05,0.004,0.002
