Tiempo,VoltajeCH1,ResolucionVCH1
-4.8e-05,0.006,0.002
-4.79e-05,0.0,0.002
-4.78e-05,0.006,0.002
-4.77e-05,0.004,0.002
-4.76e-05,0.0,0.002
-4.75e-05,0.004,0.002
-4.74e-05,0.002,0.002
-4.7300000000000005e-05,0.002,0.002
-4.72e-05,0.002,0.002
-4.71e-05,0.004,0.002
-4.7000000000000004e-05,0.004,0.002
-4.69e-05,0.004,0.002
-4.68e-05,0.0,0.002
-4.6700000000000003e-05,0.002,0.002
-4.66e-05,0.0,0.002
-4.65e-05,0.002,0.002
-4.64e-05,0.002,0.002
-4.63e-05,0.004,0.002
-4.62e-05,0.002,0.002
-4.61e-05,0.004,0.002
-4.6e-05,0.004,0.002
-4.5900000000000004e-05,0.004,0.002
-4.58e-05,0.004,0.002
-4.57e-05,0.002,0.002
-4.5600000000000004e-05,0.004,0.002
-4.55e-05,0.004,0.002
-4.54e-05,0.002,0.002
-4.53e-05,0.004,0.002
-4.52e-05,0.002,0.002
-4.51e-05,0.0,0.002
-4.5e-05,0.004,0.002
-4.49e-05,0.002,0.002
-4.4800000000000005e-05,0.002,0.002
-4.47e-05,0.004,0.002
-4.46e-05,0.002,0.002
-4.4500000000000004e-05,0.006,0.002
-4.44e-05,0.004,0.002
-4.43e-05,0.004,0.002
-4.4200000000000004e-05,0.004,0.002
-4.41e-05,0.002,0.002
-4.4e-05,0.0,0.002
-4.39e-05,0.004,0.002
-4.38e-05,0.002,0.002
-4.3700000000000005e-05,0.004,0.002
-4.36e-05,0.0,0.002
-4.35e-05,-0.002,0.002
-4.34e-05,-0.002,0.002
-4.33e-05,0.0,0.002
-4.32e-05,0.004,0.002
-4.3100000000000004e-05,0.002,0.002
-4.3e-05,0.002,0.002
-4.29e-05,0.0,0.002
-4.2800000000000004e-05,0.004,0.002
-4.27e-05,0.002,0.002
-4.26e-05,0.002,0.002
-4.25e-05,0.004,0.002
-4.24e-05,0.002,0.002
-4.23e-05,0.0,0.002
-4.22e-05,0.006,0.002
-4.21e-05,0.0,0.002
-4.2000000000000004e-05,0.0,0.002
-4.19e-05,0.004,0.002
-4.18e-05,0.002,0.002
-4.1700000000000004e-05,0.002,0.002
-4.16e-05,0.0,0.002
-4.15e-05,0.002,0.002
-4.1400000000000003e-05,0.004,0.002
-4.13e-05,0.008,0.002
-4.12e-05,0.002,0.002
-4.11e-05,0.002,0.002
-4.1e-05,0.004,0.002
-4.0900000000000005e-05,0.002,0.002
-4.08e-05,0.004,0.002
-4.07e-05,0.006,0.002
-4.0600000000000004e-05,0.002,0.002
-4.05e-05,0.006,0.002
-4.04e-05,0.002,0.002
-4.0300000000000004e-05,0.0,0.002
-4.02e-05,0.004,0.002
-4.01e-05,0.006,0.002
-4e-05,-0.002,0.002
-3.99e-05,0.004,0.002
-3.9800000000000005e-05,0.002,0.002
-3.97e-05,0.006,0.002
-3.96e-05,0.004,0.002
-3.95e-05,0.004,0.002
-3.94e-05,0.002,0.002
-3.93e-05,0.004,0.002
-3.9200000000000004e-05,0.004,0.002
-3.91e-05,0.004,0.002
-3.9e-05,0.002,0.002
-3.8900000000000004e-05,0.002,0.002
-3.88e-05,0.004,0.002
-3.8700000000000006e-05,0.004,0.002
-3.86e-05,0.002,0.002
-3.85e-05,0.002,0.002
-3.84e-05,0.0,0.002
-3.83e-05,0.004,0.002
-3.82e-05,0.004,0.002
-3.8100000000000005e-05,0.008,0.002
